Colegiado;AreaAtuacao;Membro;Posse;Exoneracao;StatusMembroColegiado
Comissão Técnica da Moeda e do Crédito - Comoc;Presidente da Comissão de Valores Mobliários (CVM);Otto Eduardo Fonseca de Albuquerque Lobo;2026-06-03T03:00:00Z;null;Em exercício
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva de Planejamento, Orçamento e Coordenação/Ministério do Planejamento/Ministério do Planejamento e Orçamento;Guilherme Santos Mello;2026-04-17T03:00:00Z;null;Em exercício
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria de Política Econômica do Ministério da Fazenda;Débora Freire Cardoso;2026-04-17T03:00:00Z;null;Em exercício
Conselho Monetário Nacional - CMN;Ministro do Planejamento e Orçamento;Bruno Moretti;2026-03-31T03:00:00Z;null;Em exercício
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria do Tesouro Nacional;Daniel Cardoso Leal;2026-03-24T03:00:00Z;null;Em exercício
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva do Ministério da Fazenda;Rogério Ceron de Oliveira;2026-03-24T03:00:00Z;null;Em exercício
Conselho Monetário Nacional - CMN;Ministro da Fazenda;Dario Carnevali Durigan;2026-03-20T03:00:00Z;null;Em exercício
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria de Reformas Econômicas do Ministério da Fazenda;Regis Anderson Dudena;2026-01-29T03:00:00Z;null;Em exercício
Diretoria Colegiada;Diretor de Política Econômica - Dipec;Paulo Picchetti;2026-01-01T03:00:00Z;null;Em exercício
Comissão Técnica da Moeda e do Crédito - Comoc;Presidente da Comissão de Valores Mobliários (CVM), interino;João Carlos de Andrade Uzêda Accioly;2026-01-01T03:00:00Z;null;Em exercício
Diretoria Colegiada;Diretor de Organização do Sistema Financeiro e de Resolução - Diorf;Gilneu Francisco Astolfi Vivan;2026-01-01T03:00:00Z;null;Em exercício
Comissão Técnica da Moeda e do Crédito - Comoc;Presidente da Comissão de Valores Mobliários (CVM), interino;Otto Eduardo Fonseca de Albuquerque Lobo;2025-07-21T03:00:00Z;2025-12-31T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Nilton José Schneider David ;2025-01-01T03:00:00Z;null;Em exercício
Diretoria Colegiada;Presidente do Banco Central do Brasil;Gabriel Muricca Galípolo;2025-01-01T03:00:00Z;null;Em exercício
Diretoria Colegiada;Diretor de Cidadania e Supervisão de Conduta - Direc;Izabela Moreira Correa ;2025-01-01T03:00:00Z;null;Em exercício
Conselho Monetário Nacional - CMN;Presidente do Banco Central do Brasil;Gabriel Muricca Galípolo;2025-01-01T03:00:00Z;null;Em exercício
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Izabela Moreira Correa;2025-01-01T03:00:00Z;null;Em exercício
Diretoria Colegiada;Diretor de Política Monetária - Dipom;Nilton José Schneider David ;2025-01-01T03:00:00Z;null;Em exercício
Comissão Técnica da Moeda e do Crédito - Comoc;Presidente do Banco Central do Brasil;Gabriel Muricca Galípolo;2025-01-01T03:00:00Z;null;Em exercício
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil ;Gilneu Francisco Astolfi Vivan;2025-01-01T03:00:00Z;null;Em exercício
Diretoria Colegiada;Diretor de Regulação - Dinor;Gilneu Francisco Astolfi Vivan;2025-01-01T03:00:00Z;null;Em exercício
Diretoria Colegiada;Diretor de Assuntos Internacionais e de Gestão de Riscos Corporativos - Direx;Paulo Picchetti;2024-01-02T03:00:00Z;null;Em exercício
Diretoria Colegiada;Diretor de Relacionamento Institucional, Cidadania e Supervisão de Conduta - Direc;Carolina de Assis Barros;2024-01-02T03:00:00Z;2024-12-31T03:00:00Z;Exonerado
