year,month_name,period,vol_import_bbl,dispendio_importacao_usd_fob,custo_prod_c1_usd,custo_prod_c2_usd,lucro_liquido_incremental_c1_usd,lucro_liquido_incremental_c2_usd
2010,Janeiro,2010-01,9414530.99971,682319587,188290619.9942,235363274.99275,494028967.00579995,446956312.0072501
2010,Fevereiro,2010-02,12749633.862420136,891695310,254992677.2484027,318740846.5605034,636702632.7515974,572954463.4394971
2010,Março,2010-03,15058432.006269248,1167815369,301168640.125385,376460800.1567312,866646728.874615,791354568.8432691
2010,Abril,2010-04,16372735.436989969,1308780539,327454708.7397994,409318385.9247492,981325830.2602007,899462153.0752509
2010,Maio,2010-05,13572992.682709452,1015238456,271459853.65418905,339324817.06773627,743778602.3458112,675913638.9322636
2010,Junho,2010-06,13569329.32653739,1045314172,271386586.5307478,339233233.16343474,773927585.4692523,706080938.8365653
2010,Julho,2010-07,14021750.600336974,974862038,280435012.0067395,350543765.00842434,694427025.9932603,624318272.9915763
2010,Agosto,2010-08,17758629.931046564,1289382395,355172598.62093127,443965748.2761641,934209796.3790684,845416646.7238355
2010,Setembro,2010-09,19163696.068049554,1405488544,383273921.36099106,479092401.7012389,1022214622.6390088,926396142.2987615
2010,Outubro,2010-10,15372437.473983316,1188914621,307448749.4796663,384310936.8495829,881465871.520334,804603684.1504173
2010,Novembro,2010-11,14827029.699770605,1217851202,296540593.9954121,370675742.49426514,921310608.0045879,847175459.5057349
2010,Dezembro,2010-12,10304742.929692386,792475458,206094858.59384772,257618573.24230963,586380599.4061522,534856884.75769055
2011,Janeiro,2011-01,9632416.860468877,771397585,192648337.20937756,240810421.51172194,578749247.7906225,530587163.48827803
2011,Fevereiro,2011-02,10036231.65215312,864987761,200724633.0430624,250905791.303828,664263127.9569376,614081969.696172
2011,Março,2011-03,14005857.878066886,1230655288,280117157.5613377,350146446.95167214,950538130.4386624,880508841.0483279
2011,Abril,2011-04,15502598.150982644,1614444784,310051963.0196529,387564953.7745661,1304392820.9803474,1226879830.2254338
2011,Maio,2011-05,14864840.05901,1633243538,297296801.18020004,371621001.47525,1335946736.8198001,1261622536.5247498
2011,Junho,2011-06,15852170.278343799,1691977924,317043405.566876,396304256.958595,1374934518.433124,1295673667.0414054
2011,Julho,2011-07,15815136.00286,1674552948,316302720.0572,395378400.0715,1358250227.9428,1279174547.9284995
2011,Agosto,2011-08,20484597.49048796,2155523584,409691949.8097592,512114937.262199,1745831634.1902404,1643408646.7378008
2011,Setembro,2011-09,20923663.076570004,2193799524,418473261.5314001,523091576.91425014,1775326262.4685998,1670707947.0857503
2011,Outubro,2011-10,20519674.870079998,2171286712,410393497.40159994,512991871.752,1760893214.5984,1658294840.248
2011,Novembro,2011-11,17965219.49402,1874875710,359304389.8804,449130487.3505,1515571320.1195998,1425745222.6495
