year,month,month_name,period,vol_import_bbl,spend_import_usd_fob,price_import_usd_bbl,vol_national_bbl,vol_total_bbl,wac_c1_usd_bbl,wac_c2_usd_bbl,diff_wac_minus_20,diff_wac_minus_25,foregone_revenue_c1_usd,foregone_revenue_c2_usd
2010,1,Janeiro,2010-01,9414530.99971,682319587,72.47515431422106,56302387.57512494,65716918.57483494,27.517530914709976,31.801236602386947,7.517530914709976,6.801236602386947,494028967.00579995,446956312.0072501
2010,2,Fevereiro,2010-02,12749633.862420136,891695310,69.9388954712099,50964109.98240437,63713743.84482451,29.99317563730509,33.99263532268538,9.99317563730509,8.99263532268538,636702632.7515974,572954463.4394971
2010,3,Março,2010-03,15058432.006269248,1167815369,77.55225567401743,50380151.146763295,65438583.15303254,33.24366584844759,37.093088369481244,13.243665848447591,12.093088369481244,866646728.874615,791354568.8432691
2010,4,Abril,2010-04,16372735.436989969,1308780539,79.93658384310957,51891980.78489384,68264716.2218838,34.375300807968706,38.176091586635906,14.375300807968706,13.176091586635906,981325830.2602007,899462153.0752509
2010,5,Maio,2010-05,13572992.682709452,1015238456,74.79842358519103,53273177.48493058,66846170.16764003,31.126719757923716,35.11147889605605,11.126719757923716,10.111478896056049,743778602.3458112,675913638.9322636
2010,6,Junho,2010-06,13569329.32653739,1045314172,77.03506539233966,56336453.85909462,69905783.185632,31.071009438720093,35.100465321468405,11.071009438720093,10.100465321468405,773927585.4692523,706080938.8365653
2010,7,Julho,2010-07,14021750.600336974,974862038,69.52498769850976,60161342.38109137,74183092.98142834,29.360987768022955,33.415910524893775,9.360987768022955,8.415910524893775,694427025.9932603,624318272.9915763
2010,8,Agosto,2010-08,17758629.931046564,1289382395,72.60596115840188,55242913.6942473,73001543.62529387,32.7971238686983,36.58080507260551,12.7971238686983,11.580805072605507,934209796.3790684,845416646.7238355
2010,9,Setembro,2010-09,19163696.068049554,1405488544,73.34120406675017,53727478.47914253,72891174.54719208,34.02384621991781,37.7093046319206,14.023846219917807,12.709304631920602,1022214622.6390088,926396142.2987615
2010,10,Outubro,2010-10,15372437.473983316,1188914621,77.34067047025871,55334139.88455398,70706577.35853729,32.46653288067696,36.37947436022043,12.466532880676958,11.379474360220428,881465871.520334,804603684.1504173
2010,11,Novembro,2010-11,14827029.699770605,1217851202,82.13723359701922,58292369.65759262,73119399.35736322,32.6000844659812,36.58619281546961,12.600084465981197,11.586192815469609,921310608.0045879,847175459.5057349
2010,12,Dezembro,2010-12,10304742.929692386,792475458,76.90395222927282,60617340.516996756,70922083.44668914,28.267955069973713,32.541471693506196,8.267955069973713,7.541471693506196,586380599.4061522,534856884.75769055
2011,1,Janeiro,2011-01,9632416.860468877,771397585,80.08349266587396,56709084.92228832,66341501.7827572,28.72378876326621,32.99781658886388,8.72378876326621,7.997816588863877,578749247.7906225,530587163.48827803
2011,2,Fevereiro,2011-02,10036231.65215312,864987761,86.1865081416719,52038029.500084184,62074261.1522373,30.701104058698828,34.892698814249826,10.701104058698828,9.892698814249826,664263127.9569376,614081969.696172
2011,3,Março,2011-03,14005857.878066886,1230655288,87.86718376795761,59550626.888694406,73556484.76676129,32.922560579841516,36.97051278130426,12.922560579841516,11.970512781304258,950538130.4386624,880508841.0483279
2011,4,Abril,2011-04,15502598.150982644,1614444784,104.14027173230103,55391868.77339336,70894466.92437601,38.399077919180336,42.30572050896668,18.399077919180336,17.30572050896668,1304392820.9803474,1226879830.2254338
2011,5,Maio,2011-05,14864840.05901,1633243538,109.87293045309592,60096032.95663164,74960873.01564164,37.821920731113096,41.830414131669656,17.821920731113096,16.830414131669656,1335946736.8198001,1261622536.5247498
2011,6,Junho,2011-06,15852170.278343799,1691977924,106.73478106095479,50877252.93313647,66729423.21148027,40.60462165356432,44.41682701100427,20.604621653564323,19.416827011004273,1374934518.433124,1295673667.0414054
2011,7,Julho,2011-07,15815136.00286,1674552948,105.88293061135704,54667849.65631581,70482985.65917581,39.27061141408922,43.148699802729915,19.270611414089217,18.148699802729915,1358250227.9428,1279174547.9284995
2011,8,Agosto,2011-08,20484597.49048796,2155523584,105.22655302360319,58357551.77629791,78842149.26678587,42.14337953018885,45.84429029422877,22.143379530188852,20.84429029422877,1745831634.1902404,1643408646.7378008
2011,9,Setembro,2011-09,20923663.076570004,2193799524,104.84777526630043,56346351.32799594,77270014.40456595,42.9756170766767,46.62168546181903,22.9756170766767,21.621685461819027,1775326262.4685998,1670707947.0857503
