reuniao,data,titulo,url_pdf,link,ident
55,2001-01-17,55ª Reunião,,/publicacoes/atascopom/17012001,17012001
56,2001-02-14,56ª Reunião,,/publicacoes/atascopom/14022001,14022001
57,2001-03-21,57ª Reunião,,/publicacoes/atascopom/21032001,21032001
58,2001-04-18,58ª Reunião,,/publicacoes/atascopom/18042001,18042001
59,2001-05-23,59ª Reunião,,/publicacoes/atascopom/23052001,23052001
60,2001-06-20,60ª Reunião,,/publicacoes/atascopom/20062001,20062001
61,2001-07-18,61ª Reunião,,/publicacoes/atascopom/18072001,18072001
62,2001-08-22,62ª Reunião,,/publicacoes/atascopom/22082001,22082001
63,2001-09-19,63ª Reunião,,/publicacoes/atascopom/19092001,19092001
64,2001-10-17,64ª Reunião,,/publicacoes/atascopom/17102001,17102001
65,2001-11-21,65ª Reunião,,/publicacoes/atascopom/21112001,21112001
66,2001-12-19,66ª Reunião,,/publicacoes/atascopom/19122001,19122001
67,2002-01-23,67ª Reunião,,/publicacoes/atascopom/23012002,23012002
68,2002-02-20,68ª Reunião,,/publicacoes/atascopom/20022002,20022002
69,2002-03-20,69ª Reunião,,/publicacoes/atascopom/20032002,20032002
70,2002-04-17,70ª Reunião,,/publicacoes/atascopom/17042002,17042002
71,2002-05-22,71ª Reunião,,/publicacoes/atascopom/22052002,22052002
72,2002-06-19,72ª Reunião,,/publicacoes/atascopom/19062002,19062002
73,2002-07-17,73ª Reunião,,/publicacoes/atascopom/17072002,17072002
74,2002-08-21,74ª Reunião,,/publicacoes/atascopom/21082002,21082002
75,2002-09-18,75ª Reunião,,/publicacoes/atascopom/18092002,18092002
76,2002-10-14,76ª Reunião,,/publicacoes/atascopom/01102002,01102002
77,2002-10-22,77ª Reunião,,/publicacoes/atascopom/23102002,23102002
78,2002-11-20,78ª Reunião,,/publicacoes/atascopom/20112002,20112002
79,2002-12-18,79ª Reunião,,/publicacoes/atascopom/18122002,18122002
80,2003-01-22,80ª Reunião,,/publicacoes/atascopom/22012003,22012003
81,2003-02-19,81ª Reunião,,/publicacoes/atascopom/19022003,19022003
82,2003-03-19,82ª Reunião,,/publicacoes/atascopom/19032003,19032003
83,2003-04-23,83ª Reunião,,/publicacoes/atascopom/23042003,23042003
84,2003-05-21,84ª Reunião,,/publicacoes/atascopom/21052003,21052003
85,2003-06-18,85ª Reunião,,/publicacoes/atascopom/18062003,18062003
86,2003-07-23,86ª Reunião,,/publicacoes/atascopom/23072003,23072003
87,2003-08-20,87ª Reunião,,/publicacoes/atascopom/20082003,20082003
88,2003-09-17,88ª Reunião,,/publicacoes/atascopom/17092003,17092003
89,2003-10-22,89ª Reunião,,/publicacoes/atascopom/22102003,22102003
90,2003-11-19,90ª Reunião,,/publicacoes/atascopom/19112003,19112003
91,2003-12-17,91ª Reunião,,/publicacoes/atascopom/17122003,17122003
92,2004-01-21,92ª Reunião,,/publicacoes/atascopom/21012004,21012004
93,2004-02-17,93ª Reunião,,/publicacoes/atascopom/18022004,18022004
94,2004-03-17,94ª Reunião,,/publicacoes/atascopom/17032004,17032004
95,2004-04-14,95ª Reunião,,/publicacoes/atascopom/14042004,14042004
96,2004-05-19,96ª Reunião,,/publicacoes/atascopom/19052004,19052004
97,2004-06-16,97ª Reunião,,/publicacoes/atascopom/16062004,16062004
98,2004-07-21,98ª Reunião,,/publicacoes/atascopom/21072004,21072004
99,2004-08-18,99ª Reunião,,/publicacoes/atascopom/18082004,18082004
100,2004-09-15,100ª Reunião,,/publicacoes/atascopom/15092004,15092004
101,2004-10-19,101ª Reunião,,/publicacoes/atascopom/20102004,20102004
102,2004-11-17,102ª Reunião,,/publicacoes/atascopom/17112004,17112004
103,2004-12-15,103ª Reunião,,/publicacoes/atascopom/15122004,15122004
104,2005-01-19,104ª Reunião,,/publicacoes/atascopom/19012005,19012005
105,2005-02-16,105ª Reunião,,/publicacoes/atascopom/16022005,16022005
106,2005-03-16,106ª Reunião,,/publicacoes/atascopom/16032005,16032005
107,2005-04-20,107ª Reunião,,/publicacoes/atascopom/20042005,20042005
108,2005-05-18,108ª Reunião,,/publicacoes/atascopom/18052005,18052005
109,2005-06-15,109ª Reunião,,/publicacoes/atascopom/15062005,15062005
110,2005-07-20,110ª Reunião,,/publicacoes/atascopom/20072005,20072005
111,2005-08-17,111ª Reunião,,/publicacoes/atascopom/17082005,17082005
112,2005-09-14,112ª Reunião,,/publicacoes/atascopom/14092005,14092005
113,2005-10-19,113ª Reunião,,/publicacoes/atascopom/19102005,19102005
114,2005-11-23,114ª Reunião,,/publicacoes/atascopom/23112005,23112005
115,2005-12-14,115ª Reunião,,/publicacoes/atascopom/14122005,14122005
116,2006-01-18,116ª Reunião,,/publicacoes/atascopom/18012006,18012006
117,2006-03-08,117ª Reunião,,/publicacoes/atascopom/08032006,08032006
118,2006-04-19,118ª Reunião,,/publicacoes/atascopom/19042006,19042006
119,2006-05-31,119ª Reunião,,/publicacoes/atascopom/31052006,31052006
120,2006-07-19,120ª Reunião,,/publicacoes/atascopom/19072006,19072006
121,2006-08-30,121ª Reunião,,/publicacoes/atascopom/30082006,30082006
122,2006-10-17,122ª Reunião,,/publicacoes/atascopom/18102006,18102006
123,2006-11-29,123ª Reunião,,/publicacoes/atascopom/29112006,29112006
124,2007-01-24,124ª Reunião,,/publicacoes/atascopom/24012007,24012007
125,2007-03-07,125ª Reunião,,/publicacoes/atascopom/07032007,07032007
126,2007-04-18,126ª Reunião,,/publicacoes/atascopom/18042007,18042007
127,2007-06-06,127ª Reunião,,/publicacoes/atascopom/06062007,06062007
128,2007-07-18,128ª Reunião,,/publicacoes/atascopom/18072007,18072007
129,2007-09-05,129ª Reunião,,/publicacoes/atascopom/05092007,05092007
130,2007-10-17,130ª Reunião,,/publicacoes/atascopom/17102007,17102007
131,2007-12-05,131ª Reunião,,/publicacoes/atascopom/05122007,05122007
132,2008-01-23,132ª Reunião,,/publicacoes/atascopom/23012008,23012008
133,2008-03-05,133ª Reunião,,/publicacoes/atascopom/05032008,05032008
134,2008-04-16,134ª Reunião,,/publicacoes/atascopom/16042008,16042008
135,2008-06-04,135ª Reunião,,/publicacoes/atascopom/04062008,04062008
