year,net_income_brl,net_income_usd,usd_brl_avg,yoy_brl_pct,yoy_usd_pct,form,filed,concept,taxonomy
2015,-28211981200.0,-8450000000.0,3.338696,,,20-F,2018-04-18,ProfitLossAttributableToOwnersOfParent,ifrs-full
2016,-16852336469.32271,-4838000000.0,3.483327091633466,0.40265320787457815,0.42745562130177517,20-F,2019-04-01,ProfitLossAttributableToOwnersOfParent,ifrs-full
2017,-290521629.7188755,-91000000.0,3.1925453815261045,0.9827607506978199,0.9811905746176106,20-F,2020-03-23,ProfitLossAttributableToOwnersOfParent,ifrs-full
2018,26222941501.2,7173000000.0,3.6557844,91.26158061475402,79.82417582417582,20-F,2021-03-25,ProfitLossAttributableToOwnersOfParent,ifrs-full
2019,40057049675.88933,10151000000.0,3.946118577075099,0.5275574509463882,0.4151679910776523,20-F,2022-03-30,ProfitLossAttributableToOwnersOfParent,ifrs-full
2020,5885018888.446215,1141000000.0,5.157772908366534,-0.853084065450071,-0.8875972810560536,20-F,2023-03-29,ProfitLossAttributableToOwnersOfParent,ifrs-full
2021,107236766085.65736,19875000000.0,5.395560557768924,17.221991826770573,16.418930762489044,20-F,2024-04-12,ProfitLossAttributableToOwnersOfParent,ifrs-full
2022,189175464503.18726,36623000000.0,5.165482470119522,0.7640914716887287,0.8426666666666667,20-F,2025-04-03,ProfitLossAttributableToOwnersOfParent,ifrs-full
2023,124304244428.91566,24884000000.0,4.995348192771084,-0.3429156114120636,-0.320536275018431,20-F,2025-04-03,ProfitLossAttributableToOwnersOfParent,ifrs-full
2024,40591097995.25692,7528000000.0,5.392016205533597,-0.6734536444693227,-0.6974762899855329,20-F,2025-04-03,ProfitLossAttributableToOwnersOfParent,ifrs-full
