OPERAÇÃO;ESPECIFICAÇÃO;VALORES DA IMPORTAÇÃO E DA EXPORTAÇÃO DE PETRÓLEO E PREÇOS MÉDIOS;ANO
Importação1;Dispêndio (mil US$ FOB);7380844;2015
Importação1;Dispêndio (mil US$ FOB);2898855,786;2016
Importação1;Dispêndio (mil US$ FOB);2966954,176;2017
Importação1;Dispêndio (mil US$ FOB);5042501,227;2018
Importação1;Dispêndio (mil US$ FOB);4651641,478;2019
Importação1;Dispêndio (mil US$ FOB);2613731,569;2020
Importação1;Dispêndio (mil US$ FOB);3995255,654;2021
Importação1;Dispêndio (mil US$ FOB);9914865,806;2022
Importação1;Dispêndio (mil US$ FOB);9058456,152;2023
Importação1;Dispêndio (mil US$ FOB);8690210,062;2024
Importação1;Preço médio (US$/b);62,4;2015
Importação1;Preço médio (US$/b);44,47538839;2016
Importação1;Preço médio (US$/b);54,46433474;2017
Importação1;Preço médio (US$/b);74,19678794;2018
Importação1;Preço médio (US$/b);67,33357037;2019
Importação1;Preço médio (US$/b);53,20147881;2020
Importação1;Preço médio (US$/b);67,07484013;2021
Importação1;Preço médio (US$/b);98,8834506;2022
Importação1;Preço médio (US$/b);85,5016833;2023
Importação1;Preço médio (US$/b);84,21781106;2024
Exportação;Receita (mil US$ FOB);11781308;2015
Exportação;Receita (mil US$ FOB);10073797,27;2016
Exportação;Receita (mil US$ FOB);16624996,82;2017
Exportação;Receita (mil US$ FOB);25096773,3;2018
Exportação;Receita (mil US$ FOB);24002331,85;2019
Exportação;Receita (mil US$ FOB);19613857,91;2020
Exportação;Receita (mil US$ FOB);30608981,65;2021
Exportação;Receita (mil US$ FOB);42553764,09;2022
Exportação;Receita (mil US$ FOB);42611078,67;2023
Exportação;Receita (mil US$ FOB);44963878,52;2024
Exportação;Preço médio (US$/b);43,81;2015
Exportação;Preço médio (US$/b);34,57536012;2016
Exportação;Preço médio (US$/b);45,70476761;2017
Exportação;Preço médio (US$/b);61,21021791;2018
Exportação;Preço médio (US$/b);56,08989422;2019
Exportação;Preço médio (US$/b);39,19660259;2020
Exportação;Preço médio (US$/b);63,38306085;2021
Exportação;Preço médio (US$/b);86,63552829;2022
Exportação;Preço médio (US$/b);73,23054155;2023
Exportação;Preço médio (US$/b);70,54862037;2024
