REGIÃO GEOGRÁFICA;PAÍS;EXPORTAÇÃO DE PETRÓLEO;ANO
América do Norte;Canadá;1914;2015
América do Norte;Canadá;0;2016
América do Norte;Canadá;0;2017
América do Norte;Canadá;0;2018
América do Norte;Canadá;1,39996E-05;2019
América do Norte;Canadá;0;2020
América do Norte;Canadá;0;2021
América do Norte;Canadá;0,000192983;2022
América do Norte;Canadá;0;2023
América do Norte;Canadá;0;2024
América do Norte;Estados Unidos;43955;2015
América do Norte;Estados Unidos;34425,66551;2016
América do Norte;Estados Unidos;62226,30779;2017
América do Norte;Estados Unidos;50761,36326;2018
América do Norte;Estados Unidos;60014,59635;2019
América do Norte;Estados Unidos;35989,20378;2020
América do Norte;Estados Unidos;47280,21034;2021
América do Norte;Estados Unidos;58852,19952;2022
América do Norte;Estados Unidos;65168,15839;2023
América do Norte;Estados Unidos;87174,54637;2024
Américas Central e do Sul;Argentina;0;2015
Américas Central e do Sul;Argentina;0;2016
Américas Central e do Sul;Argentina;479,3618568;2017
Américas Central e do Sul;Argentina;0;2018
Américas Central e do Sul;Argentina;0;2019
Américas Central e do Sul;Argentina;0;2020
Américas Central e do Sul;Argentina;0;2021
Américas Central e do Sul;Argentina;0;2022
Américas Central e do Sul;Argentina;0;2023
Américas Central e do Sul;Argentina;0;2024
Américas Central e do Sul;Aruba;328;2015
Américas Central e do Sul;Aruba;1417,216055;2016
Américas Central e do Sul;Aruba;0;2017
Américas Central e do Sul;Aruba;0;2018
Américas Central e do Sul;Aruba;0;2019
Américas Central e do Sul;Aruba;0;2020
Américas Central e do Sul;Aruba;0;2021
Américas Central e do Sul;Aruba;0;2022
Américas Central e do Sul;Aruba;0;2023
Américas Central e do Sul;Aruba;0;2024
Américas Central e do Sul;Bahamas;13165;2015
Américas Central e do Sul;Bahamas;9379,627213;2016
Américas Central e do Sul;Bahamas;3763,646343;2017
Américas Central e do Sul;Bahamas;0;2018
Américas Central e do Sul;Bahamas;490,4059797;2019
Américas Central e do Sul;Bahamas;1008,274755;2020
Américas Central e do Sul;Bahamas;2423,386764;2021
Américas Central e do Sul;Bahamas;0;2022
Américas Central e do Sul;Bahamas;766,9269043;2023
Américas Central e do Sul;Bahamas;0;2024
Américas Central e do Sul;Bolívia;0;2015
Américas Central e do Sul;Bolívia;0;2016
Américas Central e do Sul;Bolívia;0;2017
Américas Central e do Sul;Bolívia;0;2018
Américas Central e do Sul;Bolívia;0;2019
Américas Central e do Sul;Bolívia;0;2020
Américas Central e do Sul;Bolívia;0;2021
Américas Central e do Sul;Bolívia;0;2022
Américas Central e do Sul;Bolívia;0;2023
Américas Central e do Sul;Bolívia;0;2024
Américas Central e do Sul;Bonaire, Saint Eustatius e Saba;0;2015
Américas Central e do Sul;Bonaire, Saint Eustatius e Saba;0;2016
Américas Central e do Sul;Bonaire, Saint Eustatius e Saba;0;2017
Américas Central e do Sul;Bonaire, Saint Eustatius e Saba;0;2018
Américas Central e do Sul;Bonaire, Saint Eustatius e Saba;0;2019
Américas Central e do Sul;Bonaire, Saint Eustatius e Saba;0;2020
Américas Central e do Sul;Bonaire, Saint Eustatius e Saba;982,038149;2021
Américas Central e do Sul;Bonaire, Saint Eustatius e Saba;0,962505323;2022
Américas Central e do Sul;Bonaire, Saint Eustatius e Saba;0;2023
Américas Central e do Sul;Bonaire, Saint Eustatius e Saba;0;2024
Américas Central e do Sul;Chile;22612;2015
Américas Central e do Sul;Chile;29838,98534;2016
Américas Central e do Sul;Chile;31160,91146;2017
Américas Central e do Sul;Chile;33857,92264;2018
Américas Central e do Sul;Chile;20551,26573;2019
Américas Central e do Sul;Chile;16166,92306;2020
Américas Central e do Sul;Chile;30562,67827;2021
Américas Central e do Sul;Chile;34869,76273;2022
Américas Central e do Sul;Chile;40829,90782;2023
Américas Central e do Sul;Chile;26244,7043;2024
Américas Central e do Sul;Colômbia;0;2015
Américas Central e do Sul;Colômbia;3799,657404;2016
Américas Central e do Sul;Colômbia;0;2017
Américas Central e do Sul;Colômbia;488,4118068;2018
Américas Central e do Sul;Colômbia;0;2019
Américas Central e do Sul;Colômbia;0;2020
