ticker,name,year,revenue,net_income,total_assets,total_liabilities,equity,operating_income,current_assets,current_liabilities,cash
AAPL,Apple Inc.,2020,274515000000,57411000000,323888000000,258549000000,65339000000,66288000000,143713000000,105392000000,38016000000
AAPL,Apple Inc.,2021,365817000000,94680000000,351002000000,287912000000,63090000000,108949000000,134836000000,125481000000,34940000000
AAPL,Apple Inc.,2022,394328000000,99803000000,352755000000,302083000000,50672000000,119437000000,135405000000,153982000000,23646000000
AAPL,Apple Inc.,2023,383285000000,96995000000,352583000000,290437000000,62146000000,114301000000,143566000000,145308000000,29965000000
AAPL,Apple Inc.,2024,391035000000,93736000000,364980000000,308030000000,56950000000,123216000000,152987000000,176392000000,29943000000
MSFT,Microsoft Corporation,2020,143015000000,44281000000,301311000000,183007000000,118304000000,52959000000,181915000000,72310000000,13652700000
MSFT,Microsoft Corporation,2021,168088000000,61271000000,333779000000,191791000000,141988000000,69916000000,184406000000,88657000000,13076800000
MSFT,Microsoft Corporation,2022,198270000000,72738000000,364840000000,198298000000,166542000000,83383000000,169684000000,95082000000,13931000000
MSFT,Microsoft Corporation,2023,211915000000,72361000000,411976000000,205753000000,206223000000,88523000000,184257000000,104149000000,34704000000
MSFT,Microsoft Corporation,2024,245122000000,88136000000,512163000000,243686000000,268477000000,109433000000,242708000000,125213000000,18288000000
TSLA,Tesla Inc.,2020,31536000000,690000000,52148000000,28418000000,22225000000,1994000000,26717000000,14218000000,19384000000
TSLA,Tesla Inc.,2021,53823000000,5519000000,62131000000,30548000000,30189000000,6523000000,27100000000,19705000000,17576000000
TSLA,Tesla Inc.,2022,81462000000,12556000000,82338000000,36440000000,44706000000,13656000000,40917000000,26709000000,16253000000
TSLA,Tesla Inc.,2023,96773000000,14997000000,106618000000,43009000000,62609000000,8891000000,49616000000,28748000000,16398000000
TSLA,Tesla Inc.,2024,97690000000,7130000000,122070000000,48390000000,72925000000,7076000000,58274000000,31587000000,16139000000
