data_da_contratacao;valor_desembolsado_reais;juros;prazo_carencia_meses;prazo_amortizacao_meses;instituicao_financeira_credenciada
2009-03-15;100000,0;6,0;6;48;BANCO DO BRASIL SA
2009-04-20;250000,0;5,5;3;60;BANCO DO BRASIL SA
2009-06-01;50000,0;7,0;0;36;CAIXA ECONOMICA FEDERAL
2009-07-10;180000,0;4,5;12;72;BANCO BRADESCO SA
2009-08-22;90000,0;6,5;6;48;BANCO BRADESCO SA
2009-09-05;320000,0;5,0;6;60;ITAU UNIBANCO SA
2009-10-12;75000,0;8,0;0;24;BANCO COOPERATIVO SICREDI SA
2009-11-18;150000,0;6,0;3;36;BANCO COOPERATIVO SICREDI SA
2009-12-01;210000,0;5,5;6;48;BANCO DO BRASIL SA
2010-01-15;40000,0;7,5;0;24;CAIXA ECONOMICA FEDERAL
2010-02-28;500000,0;4,0;12;84;BANCO SANTANDER BRASIL SA
2010-03-10;120000,0;6,0;6;60;BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
2010-04-05;95000,0;5,5;3;48;BANCO DO BRASIL SA
2010-05-20;275000,0;5,0;6;72;ITAU UNIBANCO SA
2010-06-30;60000,0;7,0;0;36;BANCO COOPERATIVO DO BRASIL SA - BANCOOB
2010-08-01;340000,0;4,5;12;60;BANCO BRADESCO SA
2010-09-14;88000,0;6,5;3;36;CAIXA ECONOMICA FEDERAL
2010-10-25;155000,0;5,5;6;48;BANCO DO BRASIL SA
2010-11-11;220000,0;5,0;6;60;BANCO SANTANDER BRASIL SA
2010-12-20;110000,0;6,0;0;48;BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
