mes,valor
2001-12-01,-60091.36
2002-01-01,-60274.27
2002-02-01,-61138.27
2002-03-01,-61138.27
2002-04-01,-61138.27
2002-05-01,-63728.55
2002-06-01,-63728.55
2002-07-01,-63728.55
2002-08-01,-63728.55
2002-09-01,-63728.55
2002-10-01,-63728.55
2002-11-01,-63728.55
2002-12-01,-63728.55
2003-01-01,-63728.55
2003-02-01,-63728.55
2003-03-01,-63728.55
2003-04-01,-63728.55
2003-05-01,-63728.55
2003-06-01,-63728.55
2003-07-01,-63728.55
2003-08-01,-63728.55
2003-09-01,-63728.55
2003-10-01,-63728.55
2003-11-01,-63728.55
2003-12-01,-63728.55
2004-01-01,-63728.55
2004-02-01,-63806.55
2004-03-01,-63806.55
2004-04-01,-63806.55
2004-05-01,-63806.55
2004-06-01,-63806.55
2004-07-01,-63806.55
2004-08-01,-63806.55
2004-09-01,-63806.55
2004-10-01,-63806.55
2004-11-01,-64481.55
2004-12-01,-64481.55
2005-01-01,-64481.55
2005-02-01,-64481.55
2005-03-01,-64481.55
2005-04-01,-64481.55
2005-05-01,-64481.55
2005-06-01,-64481.55
2005-07-01,-64481.55
2005-08-01,-64481.55
2005-09-01,-64481.55
2005-10-01,-64481.55
2005-11-01,-65435.51
2005-12-01,-65435.51
2006-01-01,-66135.51
2006-02-01,-66018.85
2006-03-01,-66018.85
2006-04-01,-66018.85
2006-05-01,-66018.85
2006-06-01,-66018.85
2006-07-01,-67232.02
2006-08-01,-67484.96
2006-09-01,-67484.96
2006-10-01,-67484.96
2006-11-01,-67484.96
2006-12-01,-67484.96
2007-01-01,-67484.96
2007-02-01,-67484.96
2007-03-01,-67484.96
2007-04-01,-67484.96
2007-05-01,-67484.96
2007-06-01,-67484.96
2007-07-01,-68749.91
2007-08-01,-68749.91
2007-09-01,-68749.91
2007-10-01,-68749.91
2007-11-01,-68749.91
2007-12-01,-68749.91
2008-01-01,-68749.91
2008-02-01,-68749.91
2008-03-01,-68749.91
2008-04-01,-68749.91
2008-05-01,-68749.91
2008-06-01,-68749.91
2008-07-01,-68749.91
2008-08-01,-68749.91
2008-09-01,-68749.91
2008-10-01,-68749.91
2008-11-01,-69434.91
2008-12-01,-69516.59
2009-01-01,-69516.59
2009-02-01,-69516.59
2009-03-01,-69827.52
2009-04-01,-70140.94
2009-05-01,-70456.67
2009-06-01,-70775.08
2009-07-01,-71095.84
2009-08-01,-71418.87
2009-09-01,-71744.25
2009-10-01,-72072.0
2009-11-01,-72401.81
2009-12-01,-72734.01
2010-01-01,-73068.4
2010-02-01,-73405.23
2010-03-01,-73744.06
2010-04-01,-74085.35
2010-05-01,-74428.85
2010-06-01,-74775.05
2010-07-01,-75124.19
2010-08-01,-75476.23
2010-09-01,-75476.23
2010-10-01,-75476.23
2010-11-01,-75476.23
