mes,valor
2001-12-01,92678.24
2002-01-01,93544.45
2002-02-01,97653.5
2002-03-01,97771.33
2002-04-01,97772.72
2002-05-01,97774.95
2002-06-01,98911.98
2002-07-01,96797.01
2002-08-01,96647.79
2002-09-01,97346.12
2002-10-01,97092.68
2002-11-01,96931.56
2002-12-01,99372.07
2003-01-01,100042.88
2003-02-01,100042.88
2003-03-01,100042.88
2003-04-01,100042.88
2003-05-01,100099.79
2003-06-01,100754.33
2003-07-01,100754.33
2003-08-01,101751.53
2003-09-01,101334.38
2003-10-01,101074.67
2003-11-01,101259.13
2003-12-01,99976.35
2004-01-01,99976.35
2004-02-01,100078.48
2004-03-01,100078.48
2004-04-01,100078.48
2004-05-01,100078.48
2004-06-01,99456.96
2004-07-01,99654.47
2004-08-01,100769.48
2004-09-01,100455.6
2004-10-01,100124.34
2004-11-01,100124.34
2004-12-01,106492.04
2005-01-01,106262.28
2005-02-01,106262.28
2005-03-01,106262.28
2005-04-01,106262.28
2005-05-01,106262.28
2005-06-01,113167.12
2005-07-01,113167.12
2005-08-01,113167.12
2005-09-01,113167.12
2005-10-01,111535.48
2005-11-01,111535.48
2005-12-01,109753.56
2006-01-01,109797.18
2006-02-01,109797.18
2006-03-01,108715.0
2006-04-01,108720.13
2006-05-01,108724.28
2006-06-01,109222.83
2006-07-01,108858.72
2006-08-01,109265.05
2006-09-01,109289.24
2006-10-01,109284.58
2006-11-01,109128.08
2006-12-01,109378.52
2007-01-01,107475.52
2007-02-01,109351.52
2007-03-01,110139.68
2007-04-01,109891.05
2007-05-01,110072.37
2007-06-01,109590.9
2007-07-01,110674.88
2007-08-01,110196.82
2007-09-01,110311.15
2007-10-01,110593.54
2007-11-01,110515.48
2007-12-01,108748.79
2008-01-01,108742.89
2008-02-01,109241.8
2008-03-01,108801.48
2008-04-01,108650.01
2008-05-01,108578.08
2008-06-01,109031.83
2008-07-01,110064.76
2008-08-01,109886.06
2008-09-01,108737.39
2008-10-01,110226.1
2008-11-01,108873.07
2008-12-01,108884.23
2009-01-01,109219.94
2009-02-01,109314.63
2009-03-01,109105.01
2009-04-01,109212.97
2009-05-01,109580.45
2009-06-01,109680.42
2009-07-01,109518.73
2009-08-01,109167.05
2009-09-01,109091.02
2009-10-01,109054.85
2009-11-01,109050.72
2009-12-01,108539.32
2010-01-01,107929.98
2010-02-01,107993.21
2010-03-01,107724.63
2010-04-01,107631.79
2010-05-01,107418.36
2010-06-01,106994.75
2010-07-01,107169.42
2010-08-01,106310.61
2010-09-01,106393.13
2010-10-01,106451.45
2010-11-01,106483.63
2010-12-01,111507.94
2011-01-01,111338.43
2011-02-01,113438.68
2011-03-01,113671.74
2011-04-01,114180.62
2011-05-01,114339.93
2011-06-01,113080.31
2011-07-01,113203.81
2011-08-01,112482.11
2011-09-01,111143.38
2011-10-01,112116.47
2011-11-01,110438.33
2011-12-01,111995.02
2012-01-01,114885.02
2012-02-01,115577.77
2012-03-01,112845.95
2012-04-01,111942.83
2012-05-01,110729.75
2012-06-01,109994.2
2012-07-01,111160.68
2012-08-01,111085.59
2012-09-01,110960.59
2012-10-01,110558.59
2012-11-01,110215.71
2012-12-01,106190.22
2013-01-01,105171.22
2013-02-01,105504.5
2013-03-01,105166.08
2013-04-01,102645.71
2013-05-01,102555.29
2013-06-01,106278.29
2013-07-01,106084.29
2013-08-01,106607.29
2013-09-01,106506.29
2013-10-01,106253.29
2013-11-01,102751.29
2013-12-01,103763.29
2014-01-01,103816.29
2014-02-01,104054.29
2014-03-01,103976.29
2014-04-01,103523.29
2014-05-01,102885.29
2014-06-01,102127.29
2014-07-01,102488.29
2014-08-01,100850.29
2014-09-01,100357.29
2014-10-01,100545.29
2014-11-01,100547.29
2014-12-01,100252.29
2015-01-01,99883.29
2015-02-01,99627.29
2015-03-01,99533.29
2015-04-01,99175.29
2015-05-01,99637.29
2015-06-01,99319.29
2015-07-01,98857.29
2015-08-01,98887.29
2015-09-01,100066.29
2015-10-01,102359.32
2015-11-01,103859.81
2015-12-01,104871.11
2016-01-01,104987.11
2016-02-01,104567.11
2016-03-01,103114.11
2016-04-01,102031.11
2016-05-01,101034.11
2016-06-01,105317.8
2016-07-01,102902.8
2016-08-01,104148.8
2016-09-01,103208.8
2016-10-01,102523.8
2016-11-01,102838.28
2016-12-01,102429.62
2017-01-01,102118.62
2017-02-01,101486.62
2017-03-01,100067.8
2017-04-01,99549.8
2017-05-01,99711.8
2017-06-01,107191.96
2017-07-01,106713.96
2017-08-01,107505.73
2017-09-01,110466.37
2017-10-01,110215.37
2017-11-01,110479.37
2017-12-01,110571.37
2018-01-01,109647.37
2018-02-01,109173.37
2018-03-01,110028.37
2018-04-01,111466.4
2018-05-01,112198.98
2018-06-01,112094.98
2018-07-01,109663.04
2018-08-01,109173.04
2018-09-01,109121.42
2018-10-01,110745.43
2018-11-01,110094.43
2018-12-01,109112.43
2019-01-01,107851.43
2019-02-01,107363.43
2019-03-01,107123.43
2019-04-01,107882.43
2019-05-01,107093.43
2019-06-01,104854.43
2019-07-01,103699.58
2019-08-01,112582.53
2019-09-01,113514.53
2019-10-01,116322.43
2019-11-01,114693.25
2019-12-01,114084.07
2020-01-01,113650.39
2020-02-01,112530.98
2020-03-01,112839.93
2020-04-01,110904.7
2020-05-01,110220.82
2020-06-01,108415.14
2020-07-01,108346.28
2020-08-01,107690.64
2020-09-01,108477.64
2020-10-01,109682.79
2020-11-01,110321.28
2020-12-01,108749.36
2021-01-01,109160.18
2021-02-01,110058.16
2021-03-01,111004.73
2021-04-01,103499.09
2021-05-01,103429.84
2021-06-01,102528.22
2021-07-01,100187.0
2021-08-01,101244.54
2021-09-01,100982.39
2021-10-01,100244.08
2021-11-01,105189.49
2021-12-01,103124.15
2022-01-01,104581.52
2022-02-01,103209.22
2022-03-01,103042.07
2022-04-01,103142.61
2022-05-01,103490.65
2022-06-01,103247.39
2022-07-01,103497.53
2022-08-01,104975.14
2022-09-01,102979.55
2022-10-01,102240.59
2022-11-01,103477.2
2022-12-01,103503.35
2023-01-01,103641.06
2023-02-01,103590.75
2023-03-01,108392.79
2023-04-01,108762.98
2023-05-01,107583.46
2023-06-01,104696.24
2023-07-01,103263.45
2023-08-01,104378.92
2023-09-01,77918.36
2023-10-01,82513.02
2023-11-01,81080.92
2023-12-01,83395.82
2024-01-01,82842.17
2024-02-01,91733.72
2024-03-01,90664.13
2024-04-01,92636.4
2024-05-01,100131.73
2024-06-01,107008.14
2024-07-01,106882.37
2024-08-01,106972.42
2024-09-01,107541.33
2024-10-01,107552.48
2024-11-01,107254.49
2024-12-01,112301.18
2025-01-01,105735.22
2025-02-01,107524.71
2025-03-01,108701.51
2025-04-01,111793.89
2025-05-01,114825.02
2025-06-01,118203.67
2025-07-01,117824.64
2025-08-01,122394.0
2025-09-01,122603.52
2025-10-01,122331.28
2025-11-01,122997.07
2025-12-01,122432.39
2026-01-01,123406.93
2026-02-01,124120.07
2026-03-01,124207.84
2026-04-01,124984.17
2026-05-01,124901.9
2026-06-01,126250.54
