mes,valor
2001-12-01,55337.09
2002-01-01,61318.47
2002-02-01,53527.05
2002-03-01,51968.84
2002-04-01,54942.66
2002-05-01,63641.12
2002-06-01,78946.08
2002-07-01,114163.67
2002-08-01,96164.8
2002-09-01,151963.39
2002-10-01,136534.94
2002-11-01,134708.86
2002-12-01,124734.69
2003-01-01,123090.86
2003-02-01,130342.41
2003-03-01,115413.7
2003-04-01,86184.04
2003-05-01,91952.94
2003-06-01,86317.51
2003-07-01,93684.67
2003-08-01,98798.48
2003-09-01,96210.25
2003-10-01,94322.77
2003-11-01,100064.08
2003-12-01,97687.2
2004-01-01,100992.08
2004-02-01,99701.47
2004-03-01,96866.46
2004-04-01,100217.25
2004-05-01,111657.57
2004-06-01,111931.27
2004-07-01,107191.75
2004-08-01,102767.39
2004-09-01,97779.99
2004-10-01,100055.68
2004-11-01,94351.8
2004-12-01,89324.92
2005-01-01,87825.75
2005-02-01,85381.06
2005-03-01,88435.67
2005-04-01,83277.52
2005-05-01,77848.53
2005-06-01,74163.12
2005-07-01,76424.54
2005-08-01,75495.54
2005-09-01,69230.15
2005-10-01,71655.71
2005-11-01,69278.71
2005-12-01,72300.94
2006-01-01,70463.96
2006-02-01,69683.88
2006-03-01,70779.71
2006-04-01,70564.09
2006-05-01,73345.77
2006-06-01,71567.32
2006-07-01,71999.29
2006-08-01,72398.07
2006-09-01,72125.22
2006-10-01,72352.7
2006-11-01,70866.14
2006-12-01,70944.65
2007-01-01,72790.6
2007-02-01,74328.08
2007-03-01,78133.89
2007-04-01,80487.26
2007-05-01,88631.29
2007-06-01,88773.95
2007-07-01,91639.11
2007-08-01,82069.28
2007-09-01,92238.3
2007-10-01,101170.17
2007-11-01,92268.87
2007-12-01,92519.86
2008-01-01,88403.13
2008-02-01,96042.0
2008-03-01,85991.35
2008-04-01,100684.04
2008-05-01,111346.96
2008-06-01,115867.54
2008-07-01,119674.8
2008-08-01,109893.03
2008-09-01,66849.36
2008-10-01,37640.37
2008-11-01,-4211.3
2008-12-01,-15471.5
2009-01-01,-3828.47
2009-02-01,-8443.63
2009-03-01,-5502.95
2009-04-01,17618.72
2009-05-01,45180.85
2009-06-01,49523.17
2009-07-01,61915.56
2009-08-01,60020.95
2009-09-01,75284.72
2009-10-01,80225.42
2009-11-01,76399.09
2009-12-01,79723.98
2010-01-01,57634.31
2010-02-01,69577.99
2010-03-01,75446.57
2010-04-01,84406.51
2010-05-01,71827.87
2010-06-01,73015.47
2010-07-01,79240.07
2010-08-01,80604.02
2010-09-01,89633.52
2010-10-01,86688.92
2010-11-01,87017.78
2010-12-01,97418.6
2011-01-01,96483.71
2011-02-01,98234.7
2011-03-01,106291.61
2011-04-01,114409.65
2011-05-01,112666.52
2011-06-01,118503.23
2011-07-01,116453.06
2011-08-01,104688.74
2011-09-01,33361.72
2011-10-01,76865.06
2011-11-01,43973.51
2011-12-01,25108.68
2012-01-01,62057.32
2012-02-01,71071.95
2012-03-01,39891.32
2012-04-01,16029.33
2012-05-01,-19224.79
2012-06-01,-20655.01
2012-07-01,-31993.74
2012-08-01,-30003.94
2012-09-01,-30499.78
2012-10-01,-28073.97
2012-11-01,-53723.73
2012-12-01,-33282.79
2013-01-01,-12581.15
2013-02-01,-5991.9
2013-03-01,-18191.64
2013-04-01,-17049.0
2013-05-01,-48136.34
2013-06-01,-66143.24
2013-07-01,-92323.65
2013-08-01,-113944.08
2013-09-01,-76363.28
2013-10-01,-68554.25
2013-11-01,-104775.69
2013-12-01,-106950.09
2014-01-01,-129642.71
2014-02-01,-104136.22
2014-03-01,-81593.71
2014-04-01,-75711.24
2014-05-01,-77600.11
2014-06-01,-68668.34
2014-07-01,-83444.59
2014-08-01,-73914.87
2014-09-01,-130601.97
2014-10-01,-129331.82
2014-11-01,-163051.57
2014-12-01,-187701.64
2015-01-01,-182368.17
2015-02-01,-246598.55
2015-03-01,-341923.33
2015-04-01,-282455.74
2015-05-01,-334228.68
2015-06-01,-312201.6
2015-07-01,-391977.39
2015-08-01,-465995.44
2015-09-01,-563351.46
2015-10-01,-530330.34
2015-11-01,-520018.86
2015-12-01,-534768.01
2016-01-01,-577064.92
2016-02-01,-564598.96
2016-03-01,-448383.8
2016-04-01,-419552.56
2016-05-01,-455518.28
2016-06-01,-344410.11
2016-07-01,-352999.02
2016-08-01,-350725.98
2016-09-01,-355284.06
2016-10-01,-328645.66
2016-11-01,-386620.12
