mes,valor
2001-12-01,75414.09
2002-01-01,82735.71
2002-02-01,77367.05
2002-03-01,75463.07
2002-04-01,78345.55
2002-05-01,90037.87
2002-06-01,113289.65
2002-07-01,147607.35
2002-08-01,125315.64
2002-09-01,168660.86
2002-10-01,156864.09
2002-11-01,156165.3
2002-12-01,152075.78
2003-01-01,151674.27
2003-02-01,153131.82
2003-03-01,145395.14
2003-04-01,129195.91
2003-05-01,131731.7
2003-06-01,128729.89
2003-07-01,131547.31
2003-08-01,131600.24
2003-09-01,130333.53
2003-10-01,128422.59
2003-11-01,131015.77
2003-12-01,129361.03
2004-01-01,130748.21
2004-02-01,130032.6
2004-03-01,129891.86
2004-04-01,130723.73
2004-05-01,134959.26
2004-06-01,134490.82
2004-07-01,132748.92
2004-08-01,130887.49
2004-09-01,129428.16
2004-10-01,129382.28
2004-11-01,127238.22
2004-12-01,126026.04
2005-01-01,125661.41
2005-02-01,125233.3
2005-03-01,126221.34
2005-04-01,124362.09
2005-05-01,122625.79
2005-06-01,121893.73
2005-07-01,122443.37
2005-08-01,122075.71
2005-09-01,120116.22
2005-10-01,120563.26
2005-11-01,119967.8
2005-12-01,121471.69
2006-01-01,120060.76
2006-02-01,119148.29
2006-03-01,119557.96
2006-04-01,118656.71
2006-05-01,120919.37
2006-06-01,119457.05
2006-07-01,119584.17
2006-08-01,119178.47
2006-09-01,119556.82
2006-10-01,119263.6
2006-11-01,119439.8
2006-12-01,119249.25
2007-01-01,119160.55
2007-02-01,119117.54
2007-03-01,118663.81
2007-04-01,118553.05
2007-05-01,117861.61
2007-06-01,117843.63
2007-07-01,117521.88
2007-08-01,118078.21
2007-09-01,117262.63
2007-10-01,116640.45
2007-11-01,116899.1
2007-12-01,116817.85
2008-01-01,116745.69
2008-02-01,116239.74
2008-03-01,116674.48
2008-04-01,116264.73
2008-05-01,115888.05
2008-06-01,115643.5
2008-07-01,115493.82
2008-08-01,115894.67
2008-09-01,117543.1
2008-10-01,118722.64
2008-11-01,119967.38
2008-12-01,119989.35
2009-01-01,119870.16
2009-02-01,120230.22
2009-03-01,119864.42
2009-04-01,119076.74
2009-05-01,117913.76
