mes,valor
2000-03-01,-15945
2000-04-01,0
2000-05-01,-8134
2000-06-01,-16626
2000-07-01,0
2000-08-01,-8485
2000-09-01,-8599
2000-10-01,-37620
2000-11-01,-519562
2000-12-01,0
2001-01-01,0
2001-02-01,0
2001-03-01,0
2001-04-01,0
2001-05-01,0
2001-06-01,0
2001-07-01,0
2001-08-01,0
2001-09-01,0
2001-10-01,0
2001-11-01,0
2001-12-01,0
2002-01-01,0
2002-02-01,0
2002-03-01,0
2002-04-01,489333
2002-05-01,2207015
2002-06-01,-269493
2002-07-01,-2025339
2002-08-01,-786
2002-09-01,2990
2002-10-01,-3395
2002-11-01,982
2002-12-01,-932
2003-01-01,-167
2003-02-01,1596
2003-03-01,-2544
2003-04-01,-240
2003-05-01,-56
2003-06-01,42758
2003-07-01,-42962
2003-08-01,28532
2003-09-01,-29611
2003-10-01,-84
2003-11-01,8990
2003-12-01,-3965
2004-01-01,-5730
2004-02-01,66286
2004-03-01,-66360
2004-04-01,0
2004-05-01,5889
2004-06-01,-6022
2004-07-01,-15
2004-08-01,-521
2004-09-01,3658
2004-10-01,-2047
2004-11-01,-947
2004-12-01,-1331
2005-01-01,21787
2005-02-01,-23591
2005-03-01,-2
2005-04-01,-207
2005-05-01,-356
2005-06-01,-339
2005-07-01,-51
2005-08-01,-22
2005-09-01,-347
2005-10-01,-45
2005-11-01,-68
2005-12-01,-102
2006-01-01,-273
2006-02-01,-104
2006-03-01,34852
2006-04-01,-35026
2006-05-01,1882
2006-06-01,-2471
2006-07-01,1356
2006-08-01,-1371
2006-09-01,0
2006-10-01,-1
2006-11-01,-281
2006-12-01,-39
2007-01-01,-959
2007-02-01,-7
2007-03-01,-26
2007-04-01,92810
2007-05-01,-93260
2007-06-01,-2
2007-07-01,37205
2007-08-01,-38569
2007-09-01,0
2007-10-01,-136
2007-11-01,-23
2007-12-01,-50
2008-01-01,0
2008-02-01,-117
2008-03-01,805
2008-04-01,18064
2008-05-01,-19463
2008-06-01,-13
2008-07-01,-5
2008-08-01,-9
2008-09-01,28064
2008-10-01,-28327
2008-11-01,-65
2008-12-01,-7
2009-01-01,-95
2009-02-01,-72
2009-03-01,-47
2009-04-01,695
2009-05-01,-758
2009-06-01,22106
2009-07-01,-22533
2009-08-01,76078
2009-09-01,-76170
2009-10-01,435772
2009-11-01,-436126
2009-12-01,-31
2010-01-01,-122
2010-02-01,-2
2010-03-01,-4
2010-04-01,-85
2010-05-01,-38
2010-06-01,0
2010-07-01,0
2010-08-01,0
2010-09-01,0
2010-10-01,20197
2010-11-01,113829
2010-12-01,-134314
2011-01-01,0
2011-02-01,-2
2011-03-01,-5
