mes,valor
2002-06-01,1825471
2002-07-01,247697
2002-08-01,-517426
2002-09-01,8943072
2002-10-01,-157010
2002-11-01,-1484468
2002-12-01,1707304
2003-01-01,3676635
2003-02-01,937093
2003-03-01,-2359924
2003-04-01,-11075626
2003-05-01,392471
2003-06-01,-2550952
2003-07-01,923742
2003-08-01,-269682
2003-09-01,-1530431
2003-10-01,-3125358
2003-11-01,1857920
2003-12-01,-2507953
2004-01-01,872495
2004-02-01,-398922
2004-03-01,-684388
2004-04-01,251233
2004-05-01,1461004
2004-06-01,-360516
2004-07-01,-873827
2004-08-01,-1452362
2004-09-01,-1354575
2004-10-01,-82874
2004-11-01,-1827722
2004-12-01,-1581560
2005-01-01,-716974
2005-02-01,-517698
2005-03-01,163975
2005-04-01,-187075
2005-05-01,-236769
2005-06-01,-46488
2005-07-01,-8786
2005-08-01,-33290
2005-09-01,-312470
2005-10-01,-145186
2005-11-01,-471598
2005-12-01,-172064
2006-01-01,1773425
2006-02-01,1348507
2006-03-01,-614535
2006-04-01,1958761
2006-05-01,-3555489
2006-06-01,2853496
2006-07-01,378934
2006-08-01,989169
2006-09-01,-398473
2006-10-01,479604
2006-11-01,-275861
2006-12-01,498916
2007-01-01,406203
2007-02-01,301909
2007-03-01,1024237
2007-04-01,256830
2007-05-01,2088056
2007-06-01,674656
2007-07-01,1144466
2007-08-01,-1891501
2007-09-01,2861343
2007-10-01,1987799
2007-11-01,-526753
2007-12-01,484911
2008-01-01,-376809
2008-02-01,2632245
2008-03-01,-1623411
2008-04-01,995893
2008-05-01,2014489
2008-06-01,1198888
2008-07-01,1039791
2008-08-01,-1336249
2008-09-01,-6506574
2008-10-01,-4383473
2008-11-01,560378
2008-12-01,983582
2009-01-01,-1701943
2009-02-01,415354
2009-03-01,-424052
2009-04-01,-1391114
2009-05-01,-80033
2009-06-01,-14467
2009-07-01,-2661
2009-08-01,0
2009-09-01,0
2009-10-01,0
2009-11-01,0
2009-12-01,0
2010-01-01,0
2010-02-01,0
2010-03-01,0
2010-04-01,0
2010-05-01,0
2010-06-01,0
2010-07-01,0
2010-08-01,0
2010-09-01,0
2010-10-01,0
2010-11-01,0
2010-12-01,0
2011-01-01,-11839
2011-02-01,193056
2011-03-01,408273
2011-04-01,921982
2011-05-01,-256169
2011-06-01,355155
2011-07-01,124607
2011-08-01,-3856
2011-09-01,-2212625
2011-10-01,44019
2011-11-01,-236436
2011-12-01,-31850
2012-01-01,184584
2012-02-01,83894
2012-03-01,-343849
2012-04-01,-131806
2012-05-01,-525909
2012-06-01,253272
2012-07-01,-281036
2012-08-01,60314
2012-09-01,-105230
2012-10-01,43608
2012-11-01,-278873
2012-12-01,-59770
2013-01-01,-136253
2013-02-01,-52675
2013-03-01,-44548
2013-04-01,-3053
2013-05-01,0
2013-06-01,33039
2013-07-01,1721851
2013-08-01,2379007
2013-09-01,-5941197
2013-10-01,-4676610
2013-11-01,7986410
2013-12-01,48593
2014-01-01,3920326
2014-02-01,-8335709
2014-03-01,-6205747
2014-04-01,-3964205
2014-05-01,-2202330
2014-06-01,-3386523
2014-07-01,2583095
2014-08-01,-2479399
2014-09-01,18393096
2014-10-01,-6762450
2014-11-01,8724025
2014-12-01,17044874
2015-01-01,-10780994
2015-02-01,27292335
2015-03-01,34512061
2015-04-01,-31828985
2015-05-01,22065434
2015-06-01,-8125162
2015-07-01,23905714
2015-08-01,17226116
2015-09-01,38598652
2015-10-01,-19030259
