mes,valor
1995-01-01,16736801
1995-02-01,15821058
1995-03-01,15582104
1995-04-01,13827961
1995-05-01,13812206
1995-06-01,13943397
1995-07-01,15033623
1995-08-01,15613676
1995-09-01,13454019
1995-10-01,15352196
1995-11-01,15559017
1995-12-01,21681591
1996-01-01,22433703
1996-02-01,17007151
1996-03-01,16185537
1996-04-01,15001636
1996-05-01,16271648
1996-06-01,16806685
1996-07-01,18748145
1996-08-01,15686504
1996-09-01,20638304
1996-10-01,15564832
1996-11-01,15668464
1996-12-01,19795697
1997-01-01,23859941
1997-02-01,20285377
1997-03-01,22324340
1997-04-01,27291306
1997-05-01,21740103
1997-06-01,24688145
1997-07-01,24215769
1997-08-01,21867701
1997-09-01,24700091
1997-10-01,26147409
1997-11-01,22972423
1997-12-01,31828332
1998-01-01,30564327
1998-02-01,29091028
1998-03-01,29985079
1998-04-01,30655275
1998-05-01,31099191
1998-06-01,37221147
1998-07-01,32985867
1998-08-01,35412822
1998-09-01,32002091
1998-10-01,32826436
1998-11-01,39737748
1998-12-01,39184378
1999-01-01,39635374
1999-02-01,37856112
1999-03-01,37232284
1999-04-01,36351614
1999-05-01,40434992
1999-06-01,33177584
1999-07-01,41162443
1999-08-01,33870441
1999-09-01,35970589
1999-10-01,35849684
1999-11-01,37337401
1999-12-01,48430157
2000-01-01,41892638
2000-02-01,41920442
2000-03-01,39093507
2000-04-01,37720874
2000-05-01,35875831
2000-06-01,32316217
2000-07-01,36452164
2000-08-01,39122151
2000-09-01,37521173
2000-10-01,38636085
2000-11-01,40730882
2000-12-01,47686213
2001-01-01,42363820
2001-02-01,47891196
2001-03-01,41367748
2001-04-01,40910723
2001-05-01,41452767
2001-06-01,41974056
2001-07-01,41594145
2001-08-01,42629109
2001-09-01,45482012
2001-10-01,43074939
2001-11-01,46234267
2001-12-01,53255971
2002-01-01,49722831
2002-02-01,47891206
2002-03-01,48854685
2002-04-01,46745596
2002-05-01,51513188
2002-06-01,50692546
2002-07-01,52432527
2002-08-01,54985471
2002-09-01,60769701
2002-10-01,60640131
2002-11-01,60558939
2002-12-01,73302272
2003-01-01,64370257
2003-02-01,67494433
2003-03-01,66032455
2003-04-01,68228788
2003-05-01,65113594
2003-06-01,63837941
2003-07-01,67841206
2003-08-01,58430020
2003-09-01,56110109
2003-10-01,57710438
2003-11-01,62417367
2003-12-01,73219136
2004-01-01,68899768
2004-02-01,68868993
2004-03-01,63122628
2004-04-01,65612983
2004-05-01,66822153
2004-06-01,67992270
2004-07-01,73110428
2004-08-01,72201284
2004-09-01,70955261
2004-10-01,71672482
2004-11-01,75097601
2004-12-01,88732677
2005-01-01,83471335
2005-02-01,79115881
2005-03-01,78276441
2005-04-01,77791974
2005-05-01,79731164
2005-06-01,78494175
2005-07-01,80283576
2005-08-01,79820054
2005-09-01,80105571
2005-10-01,79886962
2005-11-01,85515270
2005-12-01,101247235
2006-01-01,92843062
2006-02-01,94627238
2006-03-01,88735299
2006-04-01,88912726
2006-05-01,86158927
2006-06-01,94634877
2006-07-01,94592008
2006-08-01,99860904
2006-09-01,100371553
2006-10-01,99861933
2006-11-01,105335008
2006-12-01,121102001
2007-01-01,109695597
2007-02-01,105136740
2007-03-01,107235704
2007-04-01,114406238
2007-05-01,108250652
2007-06-01,115604131
2007-07-01,115812081
2007-08-01,114488378
2007-09-01,120340059
2007-10-01,122966586
2007-11-01,130847477
2007-12-01,146616867
2008-01-01,130588119
2008-02-01,126329185
2008-03-01,128876813
2008-04-01,124683915
2008-05-01,133158742
2008-06-01,132793112
2008-07-01,129092191
2008-08-01,132071158
2008-09-01,136936175
2008-10-01,132774206
2008-11-01,132318760
2008-12-01,147549705
2009-01-01,137537875
2009-02-01,136267906
2009-03-01,135056365
2009-04-01,144762552
2009-05-01,133322920
2009-06-01,139185835
2009-07-01,135545843
2009-08-01,137018961
2009-09-01,145698459
2009-10-01,147453941
2009-11-01,156868063
2009-12-01,166072835
2010-01-01,155650325
2010-02-01,154334418
2010-03-01,156710266
2010-04-01,154627326
2010-05-01,158687309
2010-06-01,159627969
2010-07-01,162528341
2010-08-01,173242650
2010-09-01,176001728
2010-10-01,177434730
2010-11-01,178485518
2010-12-01,206853322
2011-01-01,193547227
2011-02-01,185606930
2011-03-01,179918782
2011-04-01,172725439
2011-05-01,178297658
2011-06-01,190510862
2011-07-01,182099198
2011-08-01,179285432
2011-09-01,188504749
2011-10-01,188069133
2011-11-01,182670915
2011-12-01,214235311
2012-01-01,212136241
2012-02-01,191488769
2012-03-01,201956126
2012-04-01,193183934
2012-05-01,191663053
2012-06-01,198858463
2012-07-01,203627550
2012-08-01,203575297
2012-09-01,202200005
2012-10-01,204756960
2012-11-01,209024611
2012-12-01,233371452
2013-01-01,216463907
2013-02-01,205022593
2013-03-01,207717486
2013-04-01,209621828
2013-05-01,201046331
2013-06-01,214567507
2013-07-01,210471469
2013-08-01,209608119
2013-09-01,229574843
2013-10-01,211135082
2013-11-01,215546803
2013-12-01,249509778
2014-01-01,222947119
2014-02-01,224671134
2014-03-01,228014047
2014-04-01,222462991
2014-05-01,214771855
2014-06-01,222858595
2014-07-01,223594688
2014-08-01,231344899
2014-09-01,238409382
2014-10-01,231028326
2014-11-01,241625564
2014-12-01,263528517
2015-01-01,238524692
2015-02-01,238815587
2015-03-01,240656354
2015-04-01,235020109
2015-05-01,239513461
2015-06-01,231958724
2015-07-01,225062844
2015-08-01,231716459
