mes,valor
1995-01-01,1808049
1995-02-01,489771
1995-03-01,3243973
1995-04-01,1386369
1995-05-01,-235365
1995-06-01,2332503
1995-07-01,-9728203
1995-08-01,-7511716
1995-09-01,-4096538
1995-10-01,-1588934
1995-11-01,-3161029
1995-12-01,2456133
1996-01-01,-3949421
1996-02-01,-8133227
1996-03-01,-1952829
1996-04-01,-1857626
1996-05-01,-10273805
1996-06-01,-668375
1996-07-01,-2984814
1996-08-01,577506
1996-09-01,4246181
1996-10-01,-3704558
1996-11-01,-3278836
1996-12-01,2309305
1997-01-01,-566011
1997-02-01,1165964
1997-03-01,-1564677
1997-04-01,1236728
1997-05-01,-684419
1997-06-01,1214631
1997-07-01,-163480
1997-08-01,-2380315
1997-09-01,3349629
1997-10-01,3779333
1997-11-01,7039741
1997-12-01,9731576
1998-01-01,-4520336
1998-02-01,-198640
1998-03-01,-11001274
1998-04-01,1150364
1998-05-01,2497375
1998-06-01,6166527
1998-07-01,-2662103
1998-08-01,12888749
1998-09-01,17683978
1998-10-01,-7520486
1998-11-01,6362200
1998-12-01,7008447
1999-01-01,7112856
1999-02-01,-2008109
1999-03-01,5075706
1999-04-01,3631286
1999-05-01,3253539
1999-06-01,-6657397
1999-07-01,9333420
1999-08-01,-4138707
1999-09-01,4518248
1999-10-01,-68904
1999-11-01,1201277
1999-12-01,13671946
2000-01-01,-11252609
2000-02-01,1378380
2000-03-01,483039
2000-04-01,2159262
2000-05-01,-49894
2000-06-01,-1239483
2000-07-01,3091682
2000-08-01,8586421
2000-09-01,1145102
2000-10-01,-99113
2000-11-01,8101433
2000-12-01,9094619
2001-01-01,-11417274
2001-02-01,8639454
2001-03-01,-3197972
2001-04-01,6282474
2001-05-01,6360071
2001-06-01,4304969
2001-07-01,422697
2001-08-01,10209791
2001-09-01,8762855
2001-10-01,398822
2001-11-01,9015848
2001-12-01,1536537
2002-01-01,-3646310
2002-02-01,446359
2002-03-01,1942322
2002-04-01,-41735
2002-05-01,8534814
2002-06-01,2023732
2002-07-01,14928897
2002-08-01,17229105
2002-09-01,8997107
2002-10-01,20565429
2002-11-01,3788218
2002-12-01,15954153
2003-01-01,-17799657
2003-02-01,10754815
2003-03-01,2661586
2003-04-01,20047934
2003-05-01,873370
2003-06-01,-990339
2003-07-01,-1883483
2003-08-01,-7533585
2003-09-01,-3394295
2003-10-01,3669120
2003-11-01,1543933
2003-12-01,3231403
2004-01-01,-15010003
2004-02-01,5839493
2004-03-01,-259769
2004-04-01,11861726
2004-05-01,6874589
2004-06-01,6328251
2004-07-01,7661103
2004-08-01,7339001
2004-09-01,4442534
2004-10-01,4282806
2004-11-01,6295184
2004-12-01,12183568
2005-01-01,-14841025
2005-02-01,-7080286
2005-03-01,-4458159
2005-04-01,10711995
2005-05-01,4851550
2005-06-01,-298237
2005-07-01,879057
2005-08-01,335614
2005-09-01,572972
2005-10-01,-3085116
2005-11-01,5274672
2005-12-01,9945445
2006-01-01,-26577506
2006-02-01,3477929
2006-03-01,-3156842
2006-04-01,1411728
2006-05-01,528056
2006-06-01,13246889
2006-07-01,-10716029
2006-08-01,6234520
2006-09-01,-3325945
2006-10-01,-3315820
2006-11-01,8196979
2006-12-01,13309467
2007-01-01,-20246251
2007-02-01,-19658858
2007-03-01,-16003938
2007-04-01,-6738489
2007-05-01,-31496004
2007-06-01,-10756746
2007-07-01,-12008781
2007-08-01,3256683
2007-09-01,8917330
2007-10-01,930351
2007-11-01,10600995
2007-12-01,19229181
2008-01-01,-26008619
2008-02-01,3378298
2008-03-01,968441
2008-04-01,4490928
2008-05-01,14928026
2008-06-01,-481493
2008-07-01,-5957344
2008-08-01,14553822
2008-09-01,14220841
2008-10-01,6375031
2008-11-01,26538560
2008-12-01,-18947937
2009-01-01,-16355087
2009-02-01,3527204
2009-03-01,3962999
2009-04-01,19209052
2009-05-01,-12857228
2009-06-01,-8664941
2009-07-01,-12591327
2009-08-01,3625790
2009-09-01,-2928502
2009-10-01,-5013829
2009-11-01,19845165
2009-12-01,19521306
2010-01-01,-18835064
2010-02-01,9978429
2010-03-01,82893299
2010-04-01,63585878
2010-05-01,5113844
2010-06-01,-1265680
2010-07-01,-1830877
2010-08-01,10592629
2010-09-01,-8958344
2010-10-01,-11612102
2010-11-01,8307611
2010-12-01,111543835
2011-01-01,-35551496
2011-02-01,-6037203
2011-03-01,-7126722
2011-04-01,-6175258
2011-05-01,11437753
2011-06-01,12726043
2011-07-01,-5442107
2011-08-01,13887216
2011-09-01,25736592
2011-10-01,9936256
2011-11-01,11895092
2011-12-01,44910037
2012-01-01,-22619990
2012-02-01,-16424996
2012-03-01,-14681172
2012-04-01,-16141570
2012-05-01,13737771
2012-06-01,12447356
2012-07-01,-5773014
2012-08-01,8966306
2012-09-01,-12864727
2012-10-01,-6640842
2012-11-01,999107
2012-12-01,64648943
2013-01-01,-21321116
2013-02-01,3762324
2013-03-01,1691768
2013-04-01,3550747
2013-05-01,11878420
2013-06-01,29186460
2013-07-01,3495406
2013-08-01,19767688
2013-09-01,24171504
2013-10-01,-3545904
2013-11-01,36034516
2013-12-01,88570252
2014-01-01,-50950915
2014-02-01,30808366
2014-03-01,4822689
2014-04-01,253545
2014-05-01,-2280849
2014-06-01,2230352
2014-07-01,-15677077
2014-08-01,-23675510
2014-09-01,-49796097
2014-10-01,-5807310
2014-11-01,-9555010
2014-12-01,43320612
2015-01-01,-33785843
2015-02-01,-23838257
2015-03-01,-30748652
