mes,valor
1995-01-01,-161586
1995-02-01,761785
1995-03-01,-590883
1995-04-01,-1992572
1995-05-01,-510922
1995-06-01,-1303030
1995-07-01,1128110
1995-08-01,-706856
1995-09-01,352998
1995-10-01,-844945
1995-11-01,-1025056
1995-12-01,913253
1996-01-01,2402519
1996-02-01,687486
1996-03-01,231017
1996-04-01,-1714923
1996-05-01,4923265
1996-06-01,278735
1996-07-01,-888593
1996-08-01,-587763
1996-09-01,283013
1996-10-01,-583228
1996-11-01,38237
1996-12-01,443623
1997-01-01,2175102
1997-02-01,-560062
1997-03-01,-325590
1997-04-01,-2043467
1997-05-01,-2871363
1997-06-01,166621
1997-07-01,-379749
1997-08-01,-1727357
1997-09-01,2241023
1997-10-01,342251
1997-11-01,-478040
1997-12-01,-1614296
1998-01-01,-977688
1998-02-01,-32225
1998-03-01,793616
1998-04-01,-6543600
1998-05-01,-471382
1998-06-01,1214963
1998-07-01,-956095
1998-08-01,-8643246
1998-09-01,-680647
1998-10-01,-892087
1998-11-01,2773140
1998-12-01,-691282
1999-01-01,-100479
1999-02-01,-815318
1999-03-01,-1768481
1999-04-01,-2649540
1999-05-01,25001
1999-06-01,-843492
1999-07-01,-1627069
1999-08-01,-6433620
1999-09-01,-2901287
1999-10-01,722546
1999-11-01,607330
1999-12-01,221121
2000-01-01,2242752
2000-02-01,-1382533
2000-03-01,-3287886
2000-04-01,-3704080
2000-05-01,-2013688
2000-06-01,-2145842
2000-07-01,1229336
2000-08-01,-5710093
2000-09-01,-2743958
2000-10-01,714399
2000-11-01,-9647371
2000-12-01,-90184
2001-01-01,4586623
2001-02-01,-3090982
2001-03-01,-2641081
2001-04-01,-5373737
2001-05-01,-4919508
2001-06-01,-328854
2001-07-01,2029421
2001-08-01,-6007580
2001-09-01,-2085480
2001-10-01,461456
2001-11-01,-2973082
2001-12-01,8397878
2002-01-01,776817
2002-02-01,-2270960
2002-03-01,-1142916
2002-04-01,-2592320
2002-05-01,-6313203
2002-06-01,-1028983
2002-07-01,229622
2002-08-01,-2815203
2002-09-01,-3051588
2002-10-01,-296274
2002-11-01,-2175423
2002-12-01,196734
2003-01-01,1055665
2003-02-01,-5370958
2003-03-01,-2491175
2003-04-01,-6998138
2003-05-01,-7569468
2003-06-01,1156239
2003-07-01,4059095
2003-08-01,-1733926
2003-09-01,1635617
2003-10-01,2282838
2003-11-01,1198070
2003-12-01,11711648
2004-01-01,1720224
2004-02-01,-6223870
2004-03-01,-5435861
2004-04-01,-9271313
2004-05-01,-7344965
2004-06-01,-3608508
2004-07-01,-928116
2004-08-01,-6315302
2004-09-01,-3851654
2004-10-01,-3019296
2004-11-01,-1224937
2004-12-01,-2788872
2005-01-01,2988432
2005-02-01,-6814536
2005-03-01,-7317291
2005-04-01,-10969199
2005-05-01,-4913752
2005-06-01,-915643
2005-07-01,1695868
2005-08-01,-2145214
2005-09-01,237805
2005-10-01,-5559222
2005-11-01,-7775377
2005-12-01,-1519602
2006-01-01,9867529
2006-02-01,-8266866
2006-03-01,-9465497
2006-04-01,-7838568
2006-05-01,-10245023
2006-06-01,-6245942
2006-07-01,-28981
2006-08-01,-12425909
2006-09-01,1811783
2006-10-01,-7679927
2006-11-01,-6834247
2006-12-01,-2159061
2007-01-01,-1924475
2007-02-01,-4107811
2007-03-01,-349960
2007-04-01,-8741149
2007-05-01,-5559936
2007-06-01,-143089
2007-07-01,-1284280
2007-08-01,-7569583
2007-09-01,-3653673
2007-10-01,-6243998
2007-11-01,-11196646
2007-12-01,-4826282
2008-01-01,5478738
2008-02-01,-15087354
2008-03-01,1820119
2008-04-01,-14212403
2008-05-01,-11468012
2008-06-01,-2799299
2008-07-01,132513
2008-08-01,-10324532
2008-09-01,-5041334
2008-10-01,-10652156
2008-11-01,-8681602
2008-12-01,-3477074
2009-01-01,9986573
2009-02-01,-6918966
2009-03-01,-7305667
2009-04-01,-10218689
2009-05-01,-5518799
2009-06-01,2739474
2009-07-01,1946574
2009-08-01,-6321899
2009-09-01,5900874
2009-10-01,-6321984
2009-11-01,-15093679
2009-12-01,-15185319
2010-01-01,5879485
2010-02-01,-12285633
2010-03-01,2543965
2010-04-01,-9077097
2010-05-01,-8052072
2010-06-01,177117
2010-07-01,6097293
2010-08-01,-6594826
2010-09-01,-2503311
2010-10-01,1795696
2010-11-01,-6304238
2010-12-01,-22880052
2011-01-01,16919138
2011-02-01,-18839239
2011-03-01,-13093128
2011-04-01,-9855731
2011-05-01,-15696402
2011-06-01,-5682142
2011-07-01,-7600064
2011-08-01,-20182966
2011-09-01,-9100756
2011-10-01,-5390435
2011-11-01,-19165378
2011-12-01,-17945760
2012-01-01,6232092
2012-02-01,-23612664
2012-03-01,-9070549
2012-04-01,-10290613
2012-05-01,-14994295
2012-06-01,-4225659
2012-07-01,-3624148
2012-08-01,-9905209
2012-09-01,-1015949
2012-10-01,-6109155
2012-11-01,-5652301
2012-12-01,-39380522
2013-01-01,5991367
2013-02-01,-19052063
2013-03-01,-4777048
2013-04-01,-1931761
2013-05-01,-17282981
2013-06-01,-5757543
2013-07-01,-3324380
2013-08-01,-11830419
2013-09-01,4222354
2013-10-01,2275655
2013-11-01,-32989007
2013-12-01,-43098963
2014-01-01,22751616
2014-02-01,-18764104
2014-03-01,2859377
2014-04-01,-10256812
2014-05-01,-4915220
2014-06-01,1270932
2014-07-01,7823303
2014-08-01,-2464888
2014-09-01,18560338
2014-10-01,1476196
2014-11-01,-1070730
2014-12-01,-17938494
2015-01-01,17974099
2015-02-01,-11204564
2015-03-01,-7512856
2015-04-01,-10186023
2015-05-01,-4687678
2015-06-01,7614951
2015-07-01,10325098
2015-08-01,-2602971
2015-09-01,180052
2015-10-01,16048730
2015-11-01,11750069
2015-12-01,31966901
2016-01-01,-5251835
2016-02-01,2042186
2016-03-01,8517240
2016-04-01,-5076870
2016-05-01,4610701
2016-06-01,14928374
2016-07-01,30176217
2016-08-01,5463931
2016-09-01,23157623
2016-10-01,-34186545
2016-11-01,20300803
2016-12-01,-52397634
2017-01-01,8140048
2017-02-01,17232621
2017-03-01,-3323002
2017-04-01,-8792442
2017-05-01,17127169
2017-06-01,18576819
2017-07-01,27747274
2017-08-01,3761593
2017-09-01,-7674008
2017-10-01,-14210935
2017-11-01,-13615850
2017-12-01,7163590
2018-01-01,3102082
2018-02-01,-8619113
2018-03-01,-13045704
2018-04-01,2618044
2018-05-01,-4964427
2018-06-01,-16065866
2018-07-01,20021930
2018-08-01,-66073223
2018-09-01,21716892
2018-10-01,-281385
2018-11-01,-3348755
2018-12-01,20453395
2019-01-01,4845316
2019-02-01,-13634412
2019-03-01,10171473
2019-04-01,3276041
2019-05-01,-46646866
2019-06-01,11931036
2019-07-01,11781604
2019-08-01,-1617750
2019-09-01,-26343066
2019-10-01,-1003697
2019-11-01,1914918
2019-12-01,-43975649
2020-01-01,-1409325
2020-02-01,-9391457
2020-03-01,11993987
2020-04-01,103172345
2020-05-01,108216556
2020-06-01,185258475
2020-07-01,91060734
2020-08-01,88074687
2020-09-01,75015310
2020-10-01,17370432
2020-11-01,9619648
2020-12-01,25213146
2021-01-01,2567309
2021-02-01,-14674381
2021-03-01,-45810944
2021-04-01,-5401400
2021-05-01,9160129
2021-06-01,55383847
2021-07-01,22545412
2021-08-01,-15635831
2021-09-01,-2592514
2021-10-01,-10974869
2021-11-01,-32973411
2021-12-01,-42883828
2022-01-01,7464460
2022-02-01,-27808602
2022-03-01,-16135009
2022-04-01,2278695
2022-05-01,10917651
2022-06-01,-25908339
2022-07-01,5465545
2022-08-01,7542313
2022-09-01,-23949037
2022-10-01,1196761
2022-11-01,-57803023
2022-12-01,-35780006
2023-01-01,6632400
2023-02-01,-11099668
2023-03-01,6949048
2023-04-01,1578450
2023-05-01,15751708
2023-06-01,36638660
2023-07-01,52580230
2023-08-01,7021731
2023-09-01,-11026617
2023-10-01,8683540
2023-11-01,12813703
2023-12-01,80331787
2024-01-01,8134425
2024-02-01,7662877
2024-03-01,553613
2024-04-01,13316431
2024-05-01,32583010
2024-06-01,50937462
2024-07-01,33289649
2024-08-01,5435895
2024-09-01,9088068
2024-10-01,-16114683
2024-11-01,-23342234
2024-12-01,-55712578
2025-01-01,-1911583
2025-02-01,-15213632
2025-03-01,-4041100
2025-04-01,1306850
2025-05-01,22140942
2025-06-01,34193294
2025-07-01,77497003
2025-08-01,-3714974
2025-09-01,32982266
2025-10-01,-6796866
2025-11-01,-6268963
2025-12-01,-35402732
2026-01-01,4156897
2026-02-01,-38652653
2026-03-01,80214854
2026-04-01,-33211910
2026-05-01,58459234
2026-06-01,60858785
