mes,valor
1995-01-01,-127480
1995-02-01,-197619
1995-03-01,-3832980
1995-04-01,-100513
1995-05-01,1564718
1995-06-01,-678346
1995-07-01,7017460
1995-08-01,5794707
1995-09-01,810068
1995-10-01,3002718
1995-11-01,1379024
1995-12-01,268337
1996-01-01,2237643
1996-02-01,2211828
1996-03-01,-24504
1996-04-01,1131111
1996-05-01,2085100
1996-06-01,229811
1996-07-01,872312
1996-08-01,51335
1996-09-01,-1130183
1996-10-01,1066492
1996-11-01,1023169
1996-12-01,234088
1997-01-01,-1304747
1997-02-01,-75055
1997-03-01,-611410
1997-04-01,-1484393
1997-05-01,2566023
1997-06-01,-1388618
1997-07-01,2397134
1997-08-01,2872283
1997-09-01,-1669256
1997-10-01,-7922678
1997-11-01,-1775550
1997-12-01,-653416
1998-01-01,854723
1998-02-01,5772566
1998-03-01,10232990
1998-04-01,5912307
1998-05-01,-1839900
1998-06-01,-961639
1998-07-01,-476318
1998-08-01,-3693528
1998-09-01,-26017590
1998-10-01,-4399589
1998-11-01,-259421
1998-12-01,-6553666
1999-01-01,-4755625
1999-02-01,285368
1999-03-01,-3811550
1999-04-01,-1950304
1999-05-01,658625
1999-06-01,7677
1999-07-01,-12610
1999-08-01,-295638
1999-09-01,-10688
1999-10-01,-1410892
1999-11-01,-823264
1999-12-01,-2758670
2000-01-01,2386945
2000-02-01,69013
2000-03-01,37948
2000-04-01,-13055
2000-05-01,-1004
2000-06-01,12364
2000-07-01,-2574
2000-08-01,19242
2000-09-01,-5865
2000-10-01,5220
2000-11-01,3836312
2000-12-01,-1941905
2001-01-01,1960741
2001-02-01,1834
2001-03-01,-667826
2001-04-01,11094
2001-05-01,-553920
2001-06-01,-3149856
2001-07-01,-2370383
2001-08-01,-2885735
2001-09-01,-3129985
2001-10-01,-2998965
2001-11-01,-2557054
2001-12-01,-2232312
2002-01-01,1311
2002-02-01,-5667
2002-03-01,-3083
2002-04-01,-5790
2002-05-01,-1750
2002-06-01,-3019262
2002-07-01,-4419665
2002-08-01,-4823278
2002-09-01,-3003956
2002-10-01,-5534985
2002-11-01,-628880
2002-12-01,-4981600
2003-01-01,3342268
2003-02-01,-2918025
2003-03-01,-1008862
2003-04-01,-256336
2003-05-01,1466923
2003-06-01,12958
2003-07-01,-26437
2003-08-01,13713
2003-09-01,-6384
2003-10-01,-636
2003-11-01,10543
2003-12-01,13499
2004-01-01,7396226
2004-02-01,20115
2004-03-01,-19149
2004-04-01,2710
2004-05-01,8039
2004-06-01,2858
2004-07-01,-28262
2004-08-01,-1282
2004-09-01,-15415
2004-10-01,-4727
2004-11-01,8848
2004-12-01,7186047
2005-01-01,6875884
2005-02-01,9575568
2005-03-01,10568692
2005-04-01,-7338
2005-05-01,-1350
2005-06-01,-2530
