mes,valor
1995-01-01,-298773
1995-02-01,-251985
1995-03-01,-113734
1995-04-01,-29370
1995-05-01,-217194
1995-06-01,-228927
1995-07-01,10262
1995-08-01,568261
1995-09-01,2295196
1995-10-01,1224572
1995-11-01,176284
1995-12-01,941339
1996-01-01,1002605
1996-02-01,158241
1996-03-01,33787
1996-04-01,397049
1996-05-01,890039
1996-06-01,386155
1996-07-01,563724
1996-08-01,386562
1996-09-01,62567
1996-10-01,-2386789
1996-11-01,-2241079
1996-12-01,-1399092
1997-01-01,-816302
1997-02-01,-1224088
1997-03-01,-1315103
1997-04-01,-656461
1997-05-01,-1772609
1997-06-01,-707398
1997-07-01,-940616
1997-08-01,-78263
1997-09-01,29229
1997-10-01,-967841
1997-11-01,231412
1997-12-01,-572405
1998-01-01,235658
1998-02-01,-665238
1998-03-01,285901
1998-04-01,282411
1998-05-01,270263
1998-06-01,27608
1998-07-01,-189636
1998-08-01,508856
1998-09-01,6741281
1998-10-01,12729022
1998-11-01,48150
1998-12-01,8602
1999-01-01,-110988
1999-02-01,88634
1999-03-01,227240
1999-04-01,198873
1999-05-01,106775
1999-06-01,47472
1999-07-01,55226
1999-08-01,-63692
1999-09-01,527500
1999-10-01,543916
1999-11-01,484989
1999-12-01,8346
2000-01-01,71255
2000-02-01,42490
2000-03-01,84419
2000-04-01,296675
2000-05-01,263008
2000-06-01,-21996
2000-07-01,-185700
2000-08-01,-110137
2000-09-01,181943
2000-10-01,590319
2000-11-01,393735
2000-12-01,-127452
2001-01-01,-217089
2001-02-01,67744
2001-03-01,205681
2001-04-01,214929
2001-05-01,-7896
2001-06-01,-253013
2001-07-01,-276844
2001-08-01,-158546
2001-09-01,-471967
2001-10-01,-127810
2001-11-01,-167998
2001-12-01,-614102
2002-01-01,23422
2002-02-01,138705
2002-03-01,456110
2002-04-01,217598
2002-05-01,78439
2002-06-01,-312188
2002-07-01,-7214230
2002-08-01,-6528497
2002-09-01,-5957003
2002-10-01,-14725361
2002-11-01,329660
2002-12-01,-276310
2003-01-01,1258930
2003-02-01,-273570
2003-03-01,1858368
2003-04-01,480988
2003-05-01,1547807
2003-06-01,963799
2003-07-01,885248
2003-08-01,78953
2003-09-01,1170639
2003-10-01,298305
2003-11-01,125520
2003-12-01,-1665840
2004-01-01,717511
2004-02-01,655736
2004-03-01,871036
2004-04-01,-339564
2004-05-01,187565
2004-06-01,-1186893
2004-07-01,-555425
2004-08-01,-512536
2004-09-01,-325452
2004-10-01,-444831
2004-11-01,110136
2004-12-01,-1577674
2005-01-01,388137
2005-02-01,311541
2005-03-01,324302
2005-04-01,-106248
2005-05-01,1690562
2005-06-01,-10190
2005-07-01,-429498
2005-08-01,1147949
2005-09-01,-63910
2005-10-01,966925
2005-11-01,81764
2005-12-01,-1927550
2006-01-01,754948
2006-02-01,61993
2006-03-01,688200
2006-04-01,-831
2006-05-01,1407560
2006-06-01,-1487164
2006-07-01,585452
2006-08-01,501182
2006-09-01,-866143
2006-10-01,601449
2006-11-01,-1365053
2006-12-01,-1645963
2007-01-01,11554
2007-02-01,-64108
2007-03-01,39894
2007-04-01,-140647
2007-05-01,-379663
2007-06-01,-743264
2007-07-01,-878187
2007-08-01,-976447
2007-09-01,-2401161
2007-10-01,-562480
2007-11-01,-1040190
2007-12-01,-3466240
2008-01-01,384824
2008-02-01,-448259
2008-03-01,-723344
2008-04-01,-2266024
2008-05-01,-1238622
2008-06-01,-1621604
