mes,valor
1995-01-01,40342
1995-02-01,13117
1995-03-01,91112
1995-04-01,150307
1995-05-01,99642
1995-06-01,161861
1995-07-01,-10810
1995-08-01,1936702
1995-09-01,49389
1995-10-01,53231
1995-11-01,7238
1995-12-01,385638
1996-01-01,154879
1996-02-01,-117269
1996-03-01,79157
1996-04-01,95649
1996-05-01,352318
1996-06-01,-175691
1996-07-01,100687
1996-08-01,50492
1996-09-01,55373
1996-10-01,6213
1996-11-01,5934788
1996-12-01,3491052
1997-01-01,63114
1997-02-01,178145
1997-03-01,2052765
1997-04-01,7610
1997-05-01,342840
1997-06-01,219248
1997-07-01,417275
1997-08-01,66186
1997-09-01,-1136933
1997-10-01,52139
1997-11-01,-171074
1997-12-01,-392392
1998-01-01,113792
1998-02-01,90921
1998-03-01,785021
1998-04-01,338418
1998-05-01,-12433
1998-06-01,-328374
1998-07-01,104012
1998-08-01,263651
1998-09-01,-40553
1998-10-01,787229
1998-11-01,-1904714
1998-12-01,-17107
1999-01-01,-29260
1999-02-01,201310
1999-03-01,-33945
1999-04-01,-259057
1999-05-01,26915
1999-06-01,11812
1999-07-01,33137
1999-08-01,17738
1999-09-01,-26364
1999-10-01,99793
1999-11-01,24850
1999-12-01,-34728
2000-01-01,14138
2000-02-01,-71739
2000-03-01,-128510
2000-04-01,-111435
2000-05-01,-35331
2000-06-01,-125428
2000-07-01,3202
2000-08-01,-106961
2000-09-01,-169601
2000-10-01,-58100
2000-11-01,-69750
2000-12-01,20253
2001-01-01,-235394
2001-02-01,-90674
2001-03-01,-222250
2001-04-01,-1591604
2001-05-01,-336703
2001-06-01,-51957
2001-07-01,-184802
2001-08-01,-122966
2001-09-01,-222520
2001-10-01,-140576
2001-11-01,-158538
2001-12-01,-66297
2002-01-01,-688380
2002-02-01,-140062
2002-03-01,-288953
2002-04-01,-176175
2002-05-01,-115087
2002-06-01,-39919
2002-07-01,-7001
2002-08-01,9029
2002-09-01,-146392
2002-10-01,22026
2002-11-01,88719
2002-12-01,143984
2003-01-01,-465689
2003-02-01,-6775
2003-03-01,-119427
2003-04-01,-2249
2003-05-01,173759
2003-06-01,89884
2003-07-01,88062
2003-08-01,4809
2003-09-01,-165446
2003-10-01,-1523856
2003-11-01,-38047
2003-12-01,22977
2004-01-01,-10091
2004-02-01,10387
2004-03-01,-151874
2004-04-01,-14437
2004-05-01,17049
2004-06-01,947
2004-07-01,-157300
2004-08-01,33858
2004-09-01,-145119
2004-10-01,-11810
2004-11-01,64557
2004-12-01,214898
2005-01-01,22417
2005-02-01,193548
2005-03-01,-120957
2005-04-01,73605
2005-05-01,549305
2005-06-01,36438
2005-07-01,-328928
2005-08-01,219025
2005-09-01,-136530
2005-10-01,10804
2005-11-01,-30598
2005-12-01,144777
2006-01-01,236271
2006-02-01,6644
2006-03-01,54854
2006-04-01,-32870
2006-05-01,55302
2006-06-01,116316
2006-07-01,110205
2006-08-01,67043
2006-09-01,62120
2006-10-01,67283
2006-11-01,74167
2006-12-01,195164
2007-01-01,27603
2007-02-01,483016
2007-03-01,59198
2007-04-01,113591
2007-05-01,114738
2007-06-01,112739
2007-07-01,91774
2007-08-01,101350
2007-09-01,130882
2007-10-01,85049
2007-11-01,33992
2007-12-01,137516
2008-01-01,84018
2008-02-01,51785
2008-03-01,74142
2008-04-01,90937
2008-05-01,55438
2008-06-01,62330
2008-07-01,108086
2008-08-01,73531
2008-09-01,111948
2008-10-01,123297
2008-11-01,54046
2008-12-01,182436
2009-01-01,217574
2009-02-01,266584
2009-03-01,180211
2009-04-01,83216
2009-05-01,100596
2009-06-01,1077669
2009-07-01,326683
2009-08-01,107084
2009-09-01,151165
2009-10-01,115349
2009-11-01,75536
2009-12-01,541211
2010-01-01,70971
2010-02-01,253246
2010-03-01,185782
2010-04-01,88609
2010-05-01,109462
2010-06-01,200056
2010-07-01,360445
2010-08-01,425729
2010-09-01,423596
2010-10-01,491993
2010-11-01,514822
2010-12-01,704969
2011-01-01,628686
2011-02-01,924464
2011-03-01,647927
2011-04-01,622315
2011-05-01,742088
2011-06-01,291361
2011-07-01,195460
2011-08-01,141883
2011-09-01,187286
2011-10-01,-723886
2011-11-01,-867644
2011-12-01,-33262
