mes,valor
1995-01-01,139850454
1995-02-01,143811901
1995-03-01,145943548
1995-04-01,147295324
1995-05-01,147327440
1995-06-01,151293207
1995-07-01,156021148
1995-08-01,162112288
1995-09-01,165951630
1995-10-01,168632941
1995-11-01,171861277
1995-12-01,178751575
1996-01-01,175037084
1996-02-01,174828178
1996-03-01,175383395
1996-04-01,173647972
1996-05-01,172226628
1996-06-01,173468300
1996-07-01,172412324
1996-08-01,173006068
1996-09-01,176993375
1996-10-01,179182481
1996-11-01,182157237
1996-12-01,188734369
1997-01-01,189274171
1997-02-01,192906132
1997-03-01,195738732
1997-04-01,195848416
1997-05-01,198244959
1997-06-01,205191931
1997-07-01,204296617
1997-08-01,209695447
1997-09-01,217061918
1997-10-01,222660888
1997-11-01,230699363
1997-12-01,239775207
1998-01-01,241755357
1998-02-01,243452578
1998-03-01,244425419
1998-04-01,242189887
1998-05-01,243612653
1998-06-01,247305992
1998-07-01,247646602
1998-08-01,248168301
1998-09-01,245774199
1998-10-01,247229516
1998-11-01,251309991
1998-12-01,254965130
1999-01-01,254930105
1999-02-01,259568056
1999-03-01,260900171
1999-04-01,257075021
1999-05-01,258344677
1999-06-01,260973090
1999-07-01,260036100
1999-08-01,259187285
1999-09-01,257450042
1999-10-01,259628490
1999-11-01,262754640
1999-12-01,274769738
2000-01-01,269834203
2000-02-01,261493972
2000-03-01,261426958
2000-04-01,259792946
2000-05-01,259849804
2000-06-01,260097175
2000-07-01,262669758
2000-08-01,264098974
2000-09-01,264758892
2000-10-01,265690888
2000-11-01,271618418
2000-12-01,283784809
2001-01-01,276497688
2001-02-01,279762508
2001-03-01,278378236
2001-04-01,279598547
2001-05-01,283478495
2001-06-01,289058653
2001-07-01,290466494
2001-08-01,295618891
2001-09-01,296574994
2001-10-01,295900745
2001-11-01,301950848
2001-12-01,321612169
2002-01-01,314518503
2002-02-01,316188984
2002-03-01,323975113
2002-04-01,322667891
2002-05-01,324541851
2002-06-01,342029281
2002-07-01,353510430
2002-08-01,369202497
2002-09-01,375894369
2002-10-01,382186726
2002-11-01,385610075
2002-12-01,397502950
2003-01-01,388505575
2003-02-01,391101065
2003-03-01,385238154
2003-04-01,382254765
2003-05-01,385368449
2003-06-01,383247962
2003-07-01,385673744
2003-08-01,387611181
2003-09-01,388097266
2003-10-01,386023071
2003-11-01,398425403
2003-12-01,412894706
2004-01-01,405055550
2004-02-01,408095681
2004-03-01,409758044
2004-04-01,410978137
2004-05-01,427761539
2004-06-01,436468893
2004-07-01,441903867
2004-08-01,450248035
2004-09-01,457263750
2004-10-01,463011719
2004-11-01,470778193
2004-12-01,493496745
2005-01-01,489051624
2005-02-01,492621330
2005-03-01,502561717
2005-04-01,503109309
2005-05-01,504302367
2005-06-01,512485028
2005-07-01,518084803
2005-08-01,526645435
2005-09-01,532469413
2005-10-01,539183005
2005-11-01,549488595
2005-12-01,582463581
2006-01-01,567252738
2006-02-01,574854769
2006-03-01,578794752
2006-04-01,579656895
2006-05-01,593980605
2006-06-01,600442057
2006-07-01,604812698
