mes,valor
1995-01-01,0.842
1995-02-01,0.8515
1995-03-01,0.896
1995-04-01,0.913
1995-05-01,0.906
1995-06-01,0.922
1995-07-01,0.936
1995-08-01,0.951
1995-09-01,0.954
1995-10-01,0.9619
1995-11-01,0.9666
1995-12-01,0.9725
1996-01-01,0.9786
1996-02-01,0.9842
1996-03-01,0.988
1996-04-01,0.9925
1996-05-01,0.9984
1996-06-01,1.0044
1996-07-01,1.0112
1996-08-01,1.0169
1996-09-01,1.0215
1996-10-01,1.0276
1996-11-01,1.0332
1996-12-01,1.0394
1997-01-01,1.0461
1997-02-01,1.0515
1997-03-01,1.0593
1997-04-01,1.0638
1997-05-01,1.0717
1997-06-01,1.0769
1997-07-01,1.0834
1997-08-01,1.0916
1997-09-01,1.0964
1997-10-01,1.1031
1997-11-01,1.1098
1997-12-01,1.1164
1998-01-01,1.1237
1998-02-01,1.1304
1998-03-01,1.1374
1998-04-01,1.1443
1998-05-01,1.1505
1998-06-01,1.1569
1998-07-01,1.1634
1998-08-01,1.1769
1998-09-01,1.1856
1998-10-01,1.1932
1998-11-01,1.2012
1998-12-01,1.2087
1999-01-01,1.9832
1999-02-01,2.0648
1999-03-01,1.722
1999-04-01,1.6607
1999-05-01,1.724
1999-06-01,1.7695
1999-07-01,1.7892
1999-08-01,1.9159
1999-09-01,1.9223
1999-10-01,1.953
1999-11-01,1.9227
1999-12-01,1.789
2000-01-01,1.8024
2000-02-01,1.7685
2000-03-01,1.7473
2000-04-01,1.8067
2000-05-01,1.8266
2000-06-01,1.8
2000-07-01,1.7748
2000-08-01,1.8234
2000-09-01,1.8437
2000-10-01,1.909
2000-11-01,1.9596
2000-12-01,1.9554
2001-01-01,1.9711
2001-02-01,2.0452
2001-03-01,2.1616
2001-04-01,2.1847
2001-05-01,2.36
2001-06-01,2.3049
2001-07-01,2.4313
2001-08-01,2.5517
2001-09-01,2.6713
2001-10-01,2.7071
2001-11-01,2.5287
2001-12-01,2.3204
2002-01-01,2.4183
2002-02-01,2.3482
2002-03-01,2.3236
2002-04-01,2.3625
2002-05-01,2.522
2002-06-01,2.8444
2002-07-01,3.4285
2002-08-01,3.0223
2002-09-01,3.8949
2002-10-01,3.645
2002-11-01,3.6365
2002-12-01,3.5333
2003-01-01,3.5258
2003-02-01,3.5632
2003-03-01,3.3531
2003-04-01,2.8898
2003-05-01,2.9656
2003-06-01,2.872
2003-07-01,2.9655
2003-08-01,2.9665
2003-09-01,2.9234
2003-10-01,2.8562
2003-11-01,2.9494
2003-12-01,2.8892
2004-01-01,2.9409
2004-02-01,2.9138
2004-03-01,2.9086
2004-04-01,2.9447
2004-05-01,3.1291
2004-06-01,3.1075
2004-07-01,3.0268
2004-08-01,2.9338
2004-09-01,2.8586
2004-10-01,2.8565
2004-11-01,2.7307
2004-12-01,2.6544
2005-01-01,2.6248
2005-02-01,2.595
2005-03-01,2.6662
2005-04-01,2.5313
2005-05-01,2.4038
2005-06-01,2.3504
2005-07-01,2.3905
2005-08-01,2.3637
2005-09-01,2.2222
2005-10-01,2.2543
2005-11-01,2.207
2005-12-01,2.3407
2006-01-01,2.216
2006-02-01,2.1355
2006-03-01,2.1724
2006-04-01,2.0892
2006-05-01,2.3005
2006-06-01,2.1643
2006-07-01,2.1762
2006-08-01,2.1388
2006-09-01,2.1742
2006-10-01,2.143
2006-11-01,2.1668
2006-12-01,2.138
2007-01-01,2.1247
2007-02-01,2.1182
2007-03-01,2.0504
2007-04-01,2.0339
2007-05-01,1.9289
2007-06-01,1.9262
2007-07-01,1.8776
2007-08-01,1.962
2007-09-01,1.8389
2007-10-01,1.744
2007-11-01,1.7837
2007-12-01,1.7713
2008-01-01,1.7603
2008-02-01,1.6833
2008-03-01,1.7491
2008-04-01,1.6872
2008-05-01,1.6294
2008-06-01,1.5919
2008-07-01,1.5666
2008-08-01,1.6344
2008-09-01,1.9143
2008-10-01,2.1153
2008-11-01,2.3331
2008-12-01,2.337
2009-01-01,2.3162
2009-02-01,2.3784
2009-03-01,2.3152
2009-04-01,2.1783
2009-05-01,1.973
2009-06-01,1.9516
2009-07-01,1.8726
2009-08-01,1.8864
2009-09-01,1.7781
2009-10-01,1.744
2009-11-01,1.7505
2009-12-01,1.7412
2010-01-01,1.8748
2010-02-01,1.811
2010-03-01,1.781
2010-04-01,1.7306
2010-05-01,1.8167
2010-06-01,1.8015
2010-07-01,1.7572
2010-08-01,1.756
2010-09-01,1.6942
2010-10-01,1.7014
2010-11-01,1.7161
2010-12-01,1.6662
2011-01-01,1.6734
2011-02-01,1.6612
2011-03-01,1.6287
2011-04-01,1.5733
2011-05-01,1.5799
2011-06-01,1.5611
2011-07-01,1.5563
2011-08-01,1.5872
2011-09-01,1.8544
2011-10-01,1.6885
2011-11-01,1.8109
2011-12-01,1.8758
2012-01-01,1.7391
2012-02-01,1.7092
2012-03-01,1.8221
2012-04-01,1.8918
2012-05-01,2.0223
2012-06-01,2.0213
2012-07-01,2.0499
2012-08-01,2.0372
2012-09-01,2.0306
2012-10-01,2.0313
2012-11-01,2.1074
2012-12-01,2.0435
2013-01-01,1.9883
2013-02-01,1.9754
2013-03-01,2.0138
2013-04-01,2.0017
2013-05-01,2.1319
2013-06-01,2.2156
2013-07-01,2.2903
2013-08-01,2.3725
2013-09-01,2.23
2013-10-01,2.2026
2013-11-01,2.3249
2013-12-01,2.3426
2014-01-01,2.4263
2014-02-01,2.3334
2014-03-01,2.263
2014-04-01,2.236
2014-05-01,2.239
2014-06-01,2.2025
2014-07-01,2.2674
2014-08-01,2.2396
2014-09-01,2.451
2014-10-01,2.4442
2014-11-01,2.5601
2014-12-01,2.6562
2015-01-01,2.6623
2015-02-01,2.8782
2015-03-01,3.208
2015-04-01,2.9936
2015-05-01,3.1788
2015-06-01,3.1026
2015-07-01,3.394
2015-08-01,3.6467
2015-09-01,3.9729
2015-10-01,3.8589
2015-11-01,3.8506
2015-12-01,3.9048
2016-01-01,4.0428
2016-02-01,3.9796
2016-03-01,3.5589
2016-04-01,3.4508
2016-05-01,3.5951
2016-06-01,3.2098
2016-07-01,3.239
2016-08-01,3.2403
2016-09-01,3.2462
2016-10-01,3.1811
2016-11-01,3.3967
2016-12-01,3.2591
2017-01-01,3.127
2017-02-01,3.0993
2017-03-01,3.1684
2017-04-01,3.1984
2017-05-01,3.2437
2017-06-01,3.3082
2017-07-01,3.1307
2017-08-01,3.1471
2017-09-01,3.168
2017-10-01,3.2769
2017-11-01,3.2616
2017-12-01,3.308
2018-01-01,3.1624
2018-02-01,3.2449
2018-03-01,3.3238
2018-04-01,3.4811
2018-05-01,3.737
2018-06-01,3.8558
2018-07-01,3.7549
2018-08-01,4.1353
2018-09-01,4.0039
2018-10-01,3.7177
2018-11-01,3.8633
2018-12-01,3.8748
2019-01-01,3.6519
2019-02-01,3.7385
2019-03-01,3.8967
2019-04-01,3.9453
2019-05-01,3.9407
2019-06-01,3.8322
2019-07-01,3.7649
2019-08-01,4.1385
2019-09-01,4.1644
2019-10-01,4.0041
2019-11-01,4.224
