mes,valor
2002-01-01,337735
2002-02-01,340040
2002-03-01,341234
2002-04-01,344649
2002-05-01,349678
2002-06-01,357544
2002-07-01,364476
2002-08-01,359768
2002-09-01,381788
2002-10-01,378612
2002-11-01,381846
2002-12-01,384396
2003-01-01,384508
2003-02-01,388320
2003-03-01,386969
2003-04-01,383307
2003-05-01,386300
2003-06-01,388582
2003-07-01,389881
2003-08-01,392427
2003-09-01,397523
2003-10-01,403151
2003-11-01,413115
2003-12-01,418258
2004-01-01,417770
2004-02-01,420849
2004-03-01,423347
2004-04-01,435554
2004-05-01,445864
2004-06-01,452933
2004-07-01,457302
2004-08-01,464457
2004-09-01,473707
2004-10-01,487245
2004-11-01,493284
2004-12-01,498722
2005-01-01,505701
2005-02-01,511638
2005-03-01,520285
2005-04-01,530000
2005-05-01,533930
2005-06-01,541320
2005-07-01,548819
2005-08-01,557835
2005-09-01,564357
2005-10-01,575972
2005-11-01,590126
2005-12-01,607023
2006-01-01,608729
2006-02-01,615673
2006-03-01,625790
2006-04-01,637440
2006-05-01,654129
2006-06-01,658510
2006-07-01,669514
2006-08-01,674302
2006-09-01,684392
2006-10-01,697581
2006-11-01,717045
2006-12-01,732590
2007-01-01,738456
2007-02-01,748518
2007-03-01,762353
2007-04-01,781888
2007-05-01,793133
2007-06-01,805488
2007-07-01,824442
2007-08-01,849829
2007-09-01,865511
2007-10-01,889035
2007-11-01,918815
2007-12-01,943922
2008-01-01,953413
2008-02-01,967443
2008-03-01,1001598
2008-04-01,1026847
2008-05-01,1053889
2008-06-01,1076833
2008-07-01,1094368
2008-08-01,1119457
2008-09-01,1160687
2008-10-01,1193073
2008-11-01,1215779
2008-12-01,1233987
2009-01-01,1235244
2009-02-01,1234825
2009-03-01,1248303
2009-04-01,1254564
2009-05-01,1266918
2009-06-01,1282923
2009-07-01,1313534
2009-08-01,1333320
2009-09-01,1353111
2009-10-01,1372244
2009-11-01,1392918
2009-12-01,1420515
2010-01-01,1430550
2010-02-01,1441519
2010-03-01,1458091
2010-04-01,1474310
2010-05-01,1505517
2010-06-01,1536422
2010-07-01,1556280
2010-08-01,1589856
2010-09-01,1621541
2010-10-01,1651813
2010-11-01,1685712
2010-12-01,1712708
2011-01-01,1718711
2011-02-01,1741509
2011-03-01,1759678
2011-04-01,1783487
2011-05-01,1812128
2011-06-01,1840157
2011-07-01,1861598
2011-08-01,1894713
2011-09-01,1935781
2011-10-01,1950658
2011-11-01,1988613
2011-12-01,2033954
2012-01-01,2033185
2012-02-01,2041040
2012-03-01,2078912
2012-04-01,2106585
2012-05-01,2142061
2012-06-01,2175135
2012-07-01,2192888
2012-08-01,2219866
2012-09-01,2244474
2012-10-01,2276286
2012-11-01,2310841
2012-12-01,2368338
2013-01-01,2369367
2013-02-01,2386809
2013-03-01,2430295
2013-04-01,2452502
2013-05-01,2490697
2013-06-01,2535007
2013-07-01,2548584
2013-08-01,2581362
2013-09-01,2600691
2013-10-01,2607807
2013-11-01,2650448
2013-12-01,2710771
2014-01-01,2714427
2014-02-01,2725695
2014-03-01,2752309
2014-04-01,2771347
2014-05-01,2798043
2014-06-01,2824658
2014-07-01,2830870
2014-08-01,2857749
2014-09-01,2896550
2014-10-01,2919585
2014-11-01,2956788
2014-12-01,3017614
2015-01-01,3021728
2015-02-01,3033738
2015-03-01,3070866
2015-04-01,3070369
2015-05-01,3091432
2015-06-01,3108995
2015-07-01,3118097
2015-08-01,3142924
2015-09-01,3172985
2015-10-01,3165658
2015-11-01,3185470
2015-12-01,3228530
2016-01-01,3207025
2016-02-01,3191152
2016-03-01,3169659
2016-04-01,3149609
2016-05-01,3156260
2016-06-01,3138980
2016-07-01,3125455
2016-08-01,3124633
2016-09-01,3121068
2016-10-01,3104644
2016-11-01,3113774
2016-12-01,3116780
2017-01-01,3085111
2017-02-01,3082132
2017-03-01,3089526
2017-04-01,3081488
2017-05-01,3075475
2017-06-01,3088141
2017-07-01,3062988
2017-08-01,3061725
2017-09-01,3061845
2017-10-01,3066751
2017-11-01,3078605
2017-12-01,3103339
2018-01-01,3076843
2018-02-01,3070208
2018-03-01,3090092
2018-04-01,3099540
2018-05-01,3113095
2018-06-01,3134300
2018-07-01,3129787
2018-08-01,3161546
2018-09-01,3176862
2018-10-01,3172201
2018-11-01,3210680
2018-12-01,3263335
2019-01-01,3235610
2019-02-01,3246698
2019-03-01,3272242
2019-04-01,3271867
2019-05-01,3291074
2019-06-01,3301500
2019-07-01,3296089
2019-08-01,3332876
2019-09-01,3368627
2019-10-01,3380207
2019-11-01,3423180
2019-12-01,3475816
2020-01-01,3465204
2020-02-01,3484597
2020-03-01,3583277
2020-04-01,3584114
2020-05-01,3596217
2020-06-01,3623349
2020-07-01,3670793
2020-08-01,3742633
2020-09-01,3821510
2020-10-01,3879416
2020-11-01,3957987
2020-12-01,4021333
2021-01-01,4018486
2021-02-01,4045800
2021-03-01,4106923
2021-04-01,4127515
2021-05-01,4177240
2021-06-01,4214012
2021-07-01,4271865
2021-08-01,4346060
2021-09-01,4441056
2021-10-01,4511956
2021-11-01,4597507
2021-12-01,4682852
2022-01-01,4682131
2022-02-01,4727818
2022-03-01,4794583
2022-04-01,4833732
2022-05-01,4889397
2022-06-01,4965603
2022-07-01,4999244
2022-08-01,5072711
2022-09-01,5164775
2022-10-01,5215990
2022-11-01,5285657
2022-12-01,5366069
2023-01-01,5373231
2023-02-01,5370950
2023-03-01,5424811
2023-04-01,5426307
2023-05-01,5453708
2023-06-01,5479459
2023-07-01,5484871
