mes,valor
2007-03-01,490460
2007-04-01,505753
2007-05-01,514647
2007-06-01,525046
2007-07-01,541348
2007-08-01,559351
2007-09-01,571372
2007-10-01,586902
2007-11-01,607215
2007-12-01,627514
2008-01-01,637031
2008-02-01,650206
2008-03-01,675746
2008-04-01,694533
2008-05-01,714469
2008-06-01,730738
2008-07-01,747211
2008-08-01,765976
2008-09-01,794301
2008-10-01,814746
2008-11-01,825652
2008-12-01,833190
2009-01-01,828359
2009-02-01,826524
2009-03-01,834475
2009-04-01,838679
2009-05-01,847745
2009-06-01,854231
2009-07-01,852380
2009-08-01,861333
2009-09-01,870856
2009-10-01,879979
2009-11-01,892321
2009-12-01,902959
2010-01-01,904156
2010-02-01,912036
2010-03-01,922991
2010-04-01,931127
2010-05-01,946955
2010-06-01,961569
2010-07-01,969380
2010-08-01,982429
2010-09-01,1002374
2010-10-01,1018637
2010-11-01,1039882
2010-12-01,1055664
2011-01-01,1056671
2011-02-01,1071299
2011-03-01,1085864
2011-04-01,1102691
2011-05-01,1119373
2011-06-01,1135815
2011-07-01,1144393
2011-08-01,1159928
2011-09-01,1182011
2011-10-01,1190057
2011-11-01,1208449
2011-12-01,1231641
2012-01-01,1228104
2012-02-01,1235296
2012-03-01,1258914
2012-04-01,1274615
2012-05-01,1294570
2012-06-01,1316052
2012-07-01,1321059
2012-08-01,1332606
2012-09-01,1345030
2012-10-01,1355946
2012-11-01,1370568
2012-12-01,1396419
2013-01-01,1388792
2013-02-01,1392132
2013-03-01,1411161
2013-04-01,1415127
2013-05-01,1431206
2013-06-01,1444880
2013-07-01,1444059
2013-08-01,1451216
2013-09-01,1464665
2013-10-01,1465805
2013-11-01,1483212
2013-12-01,1505144
2014-01-01,1489894
2014-02-01,1489620
2014-03-01,1500183
2014-04-01,1501743
2014-05-01,1511839
2014-06-01,1522970
2014-07-01,1515220
2014-08-01,1521057
2014-09-01,1532161
2014-10-01,1536170
2014-11-01,1549700
2014-12-01,1575937
2015-01-01,1568247
2015-02-01,1568711
2015-03-01,1583123
2015-04-01,1579534
2015-05-01,1588360
2015-06-01,1600178
2015-07-01,1597951
2015-08-01,1604618
2015-09-01,1614780
2015-10-01,1606522
2015-11-01,1618515
2015-12-01,1641847
2016-01-01,1618757
2016-02-01,1607012
2016-03-01,1596313
2016-04-01,1580898
2016-05-01,1584528
2016-06-01,1573784
2016-07-01,1558683
2016-08-01,1554640
2016-09-01,1553218
2016-10-01,1548280
2016-11-01,1552995
2016-12-01,1562754
2017-01-01,1539146
2017-02-01,1536683
2017-03-01,1541639
2017-04-01,1531640
2017-05-01,1526925
2017-06-01,1537987
2017-07-01,1526919
2017-08-01,1531826
2017-09-01,1535536
2017-10-01,1542635
2017-11-01,1558975
2017-12-01,1591373
2018-01-01,1574571
2018-02-01,1572337
2018-03-01,1594268
2018-04-01,1604649
2018-05-01,1618649
2018-06-01,1640811
2018-07-01,1638781
2018-08-01,1664163
2018-09-01,1678706
2018-10-01,1682393
2018-11-01,1717767
2018-12-01,1764564
2019-01-01,1748212
2019-02-01,1757232
2019-03-01,1782814
2019-04-01,1789128
2019-05-01,1815838
2019-06-01,1839933
2019-07-01,1842483
2019-08-01,1871491
2019-09-01,1904518
2019-10-01,1914528
2019-11-01,1952544
2019-12-01,2010547
2020-01-01,1999292
2020-02-01,2018052
2020-03-01,2106680
2020-04-01,2097075
2020-05-01,2101218
2020-06-01,2114492
2020-07-01,2134975
2020-08-01,2159875
2020-09-01,2192234
2020-10-01,2224269
2020-11-01,2275829
2020-12-01,2317387
2021-01-01,2309812
2021-02-01,2329771
2021-03-01,2375836
2021-04-01,2391552
2021-05-01,2433978
2021-06-01,2465674
2021-07-01,2489418
2021-08-01,2536975
2021-09-01,2602786
2021-10-01,2654908
2021-11-01,2726260
2021-12-01,2793494
2022-01-01,2786579
2022-02-01,2821915
2022-03-01,2874100
2022-04-01,2917001
2022-05-01,2958345
2022-06-01,3007207
2022-07-01,3021113
2022-08-01,3051166
2022-09-01,3098229
2022-10-01,3121656
2022-11-01,3161251
2022-12-01,3213305
2023-01-01,3208060
2023-02-01,3191694
2023-03-01,3227214
2023-04-01,3223698
2023-05-01,3241650
2023-06-01,3254643
2023-07-01,3238612
2023-08-01,3260911
2023-09-01,3297546
2023-10-01,3296559
2023-11-01,3325020
2023-12-01,3394784
2024-01-01,3368994
2024-02-01,3377168
2024-03-01,3440165
2024-04-01,3442038
2024-05-01,3461663
2024-06-01,3526154
2024-07-01,3537112
2024-08-01,3569545
2024-09-01,3622927
2024-10-01,3644123
2024-11-01,3702793
2024-12-01,3769636
2025-01-01,3747914
2025-02-01,3764841
2025-03-01,3809483
2025-04-01,3827623
2025-05-01,3861062
2025-06-01,3870928
2025-07-01,3877616
2025-08-01,3895993
2025-09-01,3932644
2025-10-01,3966159
2025-11-01,4012343
2025-12-01,4096657
2026-01-01,4063962
2026-02-01,4064686
2026-03-01,4114829
2026-04-01,4114078
2026-05-01,4134365
2026-06-01,4162456
