mes,valor
2007-03-01,245824
2007-04-01,252938
2007-05-01,261453
2007-06-01,267963
2007-07-01,277967
2007-08-01,284340
2007-09-01,290679
2007-10-01,300417
2007-11-01,307966
2007-12-01,314773
2008-01-01,322064
2008-02-01,326948
2008-03-01,337096
2008-04-01,347513
2008-05-01,356360
2008-06-01,361933
2008-07-01,370696
2008-08-01,377510
2008-09-01,383459
2008-10-01,392010
2008-11-01,391784
2008-12-01,395916
2009-01-01,397020
2009-02-01,394677
2009-03-01,399378
2009-04-01,405714
2009-05-01,415815
2009-06-01,422254
2009-07-01,426124
2009-08-01,431775
2009-09-01,438957
2009-10-01,444230
2009-11-01,450259
2009-12-01,458687
2010-01-01,462504
2010-02-01,465571
2010-03-01,473579
2010-04-01,479427
2010-05-01,489056
2010-06-01,493687
2010-07-01,505089
2010-08-01,513275
2010-09-01,520690
2010-10-01,529509
2010-11-01,541734
2010-12-01,552863
2011-01-01,557973
2011-02-01,561466
2011-03-01,563875
2011-04-01,570454
2011-05-01,578386
2011-06-01,585267
2011-07-01,591030
2011-08-01,599924
2011-09-01,606977
2011-10-01,612484
2011-11-01,620089
2011-12-01,626283
2012-01-01,632440
2012-02-01,634382
2012-03-01,638999
2012-04-01,644939
2012-05-01,654365
2012-06-01,660049
2012-07-01,665907
2012-08-01,672877
2012-09-01,670249
2012-10-01,676692
2012-11-01,681661
2012-12-01,689557
2013-01-01,697952
2013-02-01,698045
2013-03-01,700660
2013-04-01,707423
2013-05-01,715201
2013-06-01,717390
2013-07-01,724188
2013-08-01,728105
2013-09-01,730903
2013-10-01,735192
2013-11-01,738933
2013-12-01,741957
2014-01-01,748014
2014-02-01,744003
2014-03-01,746665
2014-04-01,748558
2014-05-01,753129
2014-06-01,755030
2014-07-01,756338
2014-08-01,758747
2014-09-01,762985
2014-10-01,768935
2014-11-01,769709
2014-12-01,780870
2015-01-01,785626
2015-02-01,783078
2015-03-01,786568
2015-04-01,786127
2015-05-01,789517
2015-06-01,791592
2015-07-01,794203
2015-08-01,796684
2015-09-01,797223
2015-10-01,796808
2015-11-01,802645
2015-12-01,805334
2016-01-01,804285
2016-02-01,802048
2016-03-01,800739
2016-04-01,797060
2016-05-01,801536
2016-06-01,800310
2016-07-01,799818
2016-08-01,804033
2016-09-01,802708
2016-10-01,804251
2016-11-01,810114
2016-12-01,810626
