mes,valor
2007-03-01,53702
2007-04-01,55325
2007-05-01,57291
2007-06-01,59085
2007-07-01,61639
2007-08-01,63483
2007-09-01,64990
2007-10-01,66842
2007-11-01,67089
2007-12-01,68259
2008-01-01,69758
2008-02-01,71083
2008-03-01,72900
2008-04-01,74510
2008-05-01,75967
2008-06-01,76744
2008-07-01,77987
2008-08-01,79161
2008-09-01,80137
2008-10-01,81916
2008-11-01,81761
2008-12-01,82853
2009-01-01,83203
2009-02-01,81393
2009-03-01,83665
2009-04-01,87384
2009-05-01,89592
2009-06-01,91998
2009-07-01,94475
2009-08-01,97297
2009-09-01,99518
2009-10-01,101735
2009-11-01,103450
2009-12-01,107283
2010-01-01,109248
2010-02-01,111396
2010-03-01,115128
2010-04-01,117580
2010-05-01,119875
2010-06-01,121546
2010-07-01,123631
2010-08-01,126750
2010-09-01,128691
2010-10-01,131057
2010-11-01,133419
2010-12-01,136312
2011-01-01,139246
2011-02-01,141840
2011-03-01,142448
2011-04-01,144234
2011-05-01,146036
2011-06-01,148189
2011-07-01,150276
2011-08-01,153686
2011-09-01,156043
2011-10-01,157690
2011-11-01,159528
2011-12-01,158345
2012-01-01,160919
2012-02-01,163839
2012-03-01,166278
2012-04-01,169154
2012-05-01,172901
2012-06-01,176030
2012-07-01,178514
2012-08-01,181640
2012-09-01,181073
2012-10-01,184016
2012-11-01,186279
2012-12-01,187462
2013-01-01,190754
2013-02-01,194229
2013-03-01,197440
2013-04-01,201161
2013-05-01,205006
2013-06-01,207713
2013-07-01,210451
2013-08-01,213298
2013-09-01,215133
2013-10-01,217137
2013-11-01,219057
2013-12-01,216714
2014-01-01,220353
2014-02-01,223939
2014-03-01,226063
2014-04-01,228485
2014-05-01,231394
2014-06-01,234319
2014-07-01,237116
2014-08-01,239480
2014-09-01,240893
2014-10-01,245380
2014-11-01,247231
2014-12-01,249435
2015-01-01,251451
2015-02-01,254138
2015-03-01,257109
2015-04-01,259314
2015-05-01,261364
2015-06-01,263868
2015-07-01,265979
2015-08-01,267753
2015-09-01,269518
2015-10-01,269773
2015-11-01,270893
2015-12-01,271524
2016-01-01,273002
2016-02-01,275160
2016-03-01,277433
2016-04-01,278796
2016-05-01,280183
2016-06-01,281847
2016-07-01,282954
2016-08-01,284166
2016-09-01,285146
2016-10-01,285970
2016-11-01,286598
2016-12-01,286999
