mes,valor
2007-03-01,66976
2007-04-01,68285
2007-05-01,69855
2007-06-01,71053
2007-07-01,72197
2007-08-01,74187
2007-09-01,76126
2007-10-01,78019
2007-11-01,79542
2007-12-01,81481
2008-01-01,82714
2008-02-01,83406
2008-03-01,83658
2008-04-01,83852
2008-05-01,84109
2008-06-01,83919
2008-07-01,83931
2008-08-01,83554
2008-09-01,83335
2008-10-01,85170
2008-11-01,83354
2008-12-01,82433
2009-01-01,81626
2009-02-01,81504
2009-03-01,81440
2009-04-01,81235
2009-05-01,81777
2009-06-01,83220
2009-07-01,84227
2009-08-01,85325
2009-09-01,87955
2009-10-01,90136
2009-11-01,91852
2009-12-01,94133
2010-01-01,95674
2010-02-01,97983
2010-03-01,101942
2010-04-01,105225
2010-05-01,108254
2010-06-01,111228
2010-07-01,117608
2010-08-01,120182
2010-09-01,125515
2010-10-01,130181
2010-11-01,136293
2010-12-01,140339
2011-01-01,142917
2011-02-01,146799
2011-03-01,149594
2011-04-01,152917
2011-05-01,156296
2011-06-01,159586
2011-07-01,162943
2011-08-01,166586
2011-09-01,169960
2011-10-01,171971
2011-11-01,174597
2011-12-01,177728
2012-01-01,180138
2012-02-01,181390
2012-03-01,182764
2012-04-01,183486
2012-05-01,184581
2012-06-01,186890
2012-07-01,187944
2012-08-01,190880
2012-09-01,190168
2012-10-01,190420
2012-11-01,190777
2012-12-01,193216
2013-01-01,193474
2013-02-01,193840
2013-03-01,192795
2013-04-01,193076
2013-05-01,193211
2013-06-01,193773
2013-07-01,193946
2013-08-01,193689
2013-09-01,193105
2013-10-01,193030
2013-11-01,193082
2013-12-01,192797
2014-01-01,193009
2014-02-01,191845
2014-03-01,189956
2014-04-01,188987
2014-05-01,188062
2014-06-01,186543
2014-07-01,185282
2014-08-01,184581
2014-09-01,183918
2014-10-01,183601
2014-11-01,183564
2014-12-01,184141
2015-01-01,183827
2015-02-01,181852
2015-03-01,179642
2015-04-01,177576
2015-05-01,175475
2015-06-01,172941
2015-07-01,171005
2015-08-01,168621
2015-09-01,166845
2015-10-01,164938
2015-11-01,163073
2015-12-01,161116
2016-01-01,159957
2016-02-01,157328
2016-03-01,155467
2016-04-01,152926
2016-05-01,151019
2016-06-01,149043
2016-07-01,147767
2016-08-01,146405
2016-09-01,145387
2016-10-01,143938
2016-11-01,143553
2016-12-01,143590
