mes,valor
2007-03-01,77652
2007-04-01,78921
2007-05-01,80803
2007-06-01,82062
2007-07-01,83397
2007-08-01,85585
2007-09-01,87574
2007-10-01,89720
2007-11-01,91501
2007-12-01,93942
2008-01-01,95516
2008-02-01,95468
2008-03-01,95627
2008-04-01,95725
2008-05-01,96026
2008-06-01,95741
2008-07-01,96023
2008-08-01,95683
2008-09-01,95047
2008-10-01,97020
2008-11-01,95153
2008-12-01,94033
2009-01-01,92713
2009-02-01,91302
2009-03-01,91115
2009-04-01,90623
2009-05-01,90964
2009-06-01,92261
2009-07-01,93233
2009-08-01,94249
2009-09-01,96947
2009-10-01,99269
2009-11-01,101010
2009-12-01,103573
2010-01-01,104964
2010-02-01,107135
2010-03-01,111020
2010-04-01,114196
2010-05-01,117383
2010-06-01,120432
2010-07-01,126892
2010-08-01,129664
2010-09-01,135085
2010-10-01,139946
2010-11-01,146192
2010-12-01,150704
2011-01-01,153402
2011-02-01,156345
2011-03-01,158830
2011-04-01,162067
2011-05-01,165426
2011-06-01,168709
2011-07-01,172051
2011-08-01,175723
2011-09-01,179094
2011-10-01,181105
2011-11-01,183818
2011-12-01,187186
2012-01-01,189640
2012-02-01,190728
2012-03-01,192067
2012-04-01,192777
2012-05-01,193959
2012-06-01,196332
2012-07-01,197460
2012-08-01,200535
2012-09-01,199964
2012-10-01,200403
2012-11-01,200939
2012-12-01,203668
2013-01-01,203968
2013-02-01,204262
2013-03-01,203225
2013-04-01,203579
2013-05-01,203868
2013-06-01,204545
2013-07-01,204825
2013-08-01,204805
2013-09-01,204028
2013-10-01,204137
2013-11-01,204273
2013-12-01,204192
2014-01-01,204491
2014-02-01,203974
2014-03-01,201983
2014-04-01,200944
2014-05-01,200023
2014-06-01,198496
2014-07-01,197221
2014-08-01,196481
2014-09-01,195901
2014-10-01,195526
2014-11-01,195491
2014-12-01,196114
2015-01-01,195611
2015-02-01,193649
2015-03-01,191354
2015-04-01,189070
2015-05-01,186877
2015-06-01,184257
2015-07-01,182300
2015-08-01,179892
2015-09-01,178146
2015-10-01,176013
2015-11-01,174130
2015-12-01,172275
2016-01-01,171057
2016-02-01,167782
2016-03-01,166273
2016-04-01,163516
2016-05-01,161499
2016-06-01,159499
2016-07-01,158253
2016-08-01,156380
2016-09-01,155341
2016-10-01,154196
2016-11-01,153717
2016-12-01,153777
