mes,valor
2007-03-01,31285
2007-04-01,32182
2007-05-01,34066
2007-06-01,34476
2007-07-01,36182
2007-08-01,36145
2007-09-01,36310
2007-10-01,37646
2007-11-01,38949
2007-12-01,41866
2008-01-01,41643
2008-02-01,41172
2008-03-01,43929
2008-04-01,46616
2008-05-01,48429
2008-06-01,49257
2008-07-01,50428
2008-08-01,50853
2008-09-01,51533
2008-10-01,53221
2008-11-01,53722
2008-12-01,59409
2009-01-01,56747
2009-02-01,57377
2009-03-01,58037
2009-04-01,59183
2009-05-01,65788
2009-06-01,67458
2009-07-01,68126
2009-08-01,68778
2009-09-01,69896
2009-10-01,71376
2009-11-01,74006
2009-12-01,79810
2010-01-01,78878
2010-02-01,77167
2010-03-01,77728
2010-04-01,78331
2010-05-01,81802
2010-06-01,82405
2010-07-01,84032
2010-08-01,86133
2010-09-01,86363
2010-10-01,88672
2010-11-01,92881
2010-12-01,100065
2011-01-01,99076
2011-02-01,97506
2011-03-01,97502
2011-04-01,98146
2011-05-01,100054
2011-06-01,100518
2011-07-01,101791
2011-08-01,103553
2011-09-01,104059
2011-10-01,105203
2011-11-01,108797
2011-12-01,114120
2012-01-01,113170
2012-02-01,110074
2012-03-01,110460
2012-04-01,111247
2012-05-01,114464
2012-06-01,114131
2012-07-01,115748
2012-08-01,115955
2012-09-01,114936
2012-10-01,117291
2012-11-01,119549
2012-12-01,126732
2013-01-01,126469
2013-02-01,122340
2013-03-01,122418
2013-04-01,124101
2013-05-01,126963
2013-06-01,125891
2013-07-01,129676
2013-08-01,130239
2013-09-01,131773
2013-10-01,134025
2013-11-01,135586
2013-12-01,144993
2014-01-01,144326
2014-02-01,140107
2014-03-01,142035
2014-04-01,141758
2014-05-01,144031
2014-06-01,144682
2014-07-01,145514
2014-08-01,145906
2014-09-01,147989
2014-10-01,150551
2014-11-01,150526
2014-12-01,161378
2015-01-01,161192
2015-02-01,155772
2015-03-01,156353
2015-04-01,155167
2015-05-01,157396
2015-06-01,158261
2015-07-01,159869
2015-08-01,160480
2015-09-01,159001
2015-10-01,160471
2015-11-01,166916
2015-12-01,173690
2016-01-01,170086
2016-02-01,167278
2016-03-01,166555
2016-04-01,164334
2016-05-01,168738
2016-06-01,169705
2016-07-01,170347
2016-08-01,174449
2016-09-01,173648
2016-10-01,176013
2016-11-01,181468
2016-12-01,186442
