mes,valor
2007-03-01,271893
2007-04-01,276135
2007-05-01,278486
2007-06-01,280442
2007-07-01,283093
2007-08-01,290477
2007-09-01,294138
2007-10-01,302134
2007-11-01,311599
2007-12-01,316407
2008-01-01,316383
2008-02-01,317237
2008-03-01,325853
2008-04-01,332314
2008-05-01,339420
2008-06-01,346095
2008-07-01,347158
2008-08-01,353481
2008-09-01,366386
2008-10-01,378327
2008-11-01,390127
2008-12-01,400798
2009-01-01,406883
2009-02-01,408301
2009-03-01,413828
2009-04-01,415885
2009-05-01,419172
2009-06-01,428691
2009-07-01,461154
2009-08-01,471987
2009-09-01,482255
2009-10-01,492264
2009-11-01,500596
2009-12-01,517557
2010-01-01,526393
2010-02-01,529483
2010-03-01,535100
2010-04-01,543183
2010-05-01,558562
2010-06-01,574855
2010-07-01,586899
2010-08-01,607428
2010-09-01,619166
2010-10-01,633176
2010-11-01,645830
2010-12-01,657044
2011-01-01,662040
2011-02-01,670209
2011-03-01,673815
2011-04-01,680796
2011-05-01,692755
2011-06-01,704342
2011-07-01,717204
2011-08-01,734785
2011-09-01,753770
2011-10-01,760601
2011-11-01,780163
2011-12-01,802312
2012-01-01,805081
2012-02-01,805745
2012-03-01,819998
2012-04-01,831971
2012-05-01,847491
2012-06-01,859084
2012-07-01,871829
2012-08-01,887260
2012-09-01,899444
2012-10-01,920340
2012-11-01,940273
2012-12-01,971919
2013-01-01,980575
2013-02-01,994677
2013-03-01,1019135
2013-04-01,1037374
2013-05-01,1059491
2013-06-01,1090127
2013-07-01,1104525
2013-08-01,1130146
2013-09-01,1136025
2013-10-01,1142002
2013-11-01,1167236
2013-12-01,1205628
2014-01-01,1224533
2014-02-01,1236075
2014-03-01,1252126
2014-04-01,1269603
2014-05-01,1286205
2014-06-01,1301688
2014-07-01,1315650
2014-08-01,1336692
2014-09-01,1364389
2014-10-01,1383415
2014-11-01,1407088
2014-12-01,1441677
2015-01-01,1453481
2015-02-01,1465027
2015-03-01,1487743
2015-04-01,1490836
2015-05-01,1503072
2015-06-01,1508816
2015-07-01,1520146
2015-08-01,1538307
2015-09-01,1558205
2015-10-01,1559136
2015-11-01,1566955
2015-12-01,1586683
2016-01-01,1588268
2016-02-01,1584140
2016-03-01,1573346
2016-04-01,1568711
2016-05-01,1571732
2016-06-01,1565196
2016-07-01,1566772
2016-08-01,1569993
2016-09-01,1567850
2016-10-01,1556365
2016-11-01,1560779
2016-12-01,1554026
2017-01-01,1545966
2017-02-01,1545449
2017-03-01,1547886
2017-04-01,1549848
2017-05-01,1548550
2017-06-01,1550154
2017-07-01,1536070
2017-08-01,1529899
2017-09-01,1526310
2017-10-01,1524116
2017-11-01,1519630
2017-12-01,1511966
2018-01-01,1502271
2018-02-01,1497871
2018-03-01,1495823
2018-04-01,1494891
2018-05-01,1494446
2018-06-01,1493488
2018-07-01,1491006
2018-08-01,1497383
2018-09-01,1498155
2018-10-01,1489808
2018-11-01,1492913
2018-12-01,1498770
2019-01-01,1487398
2019-02-01,1489466
2019-03-01,1489429
2019-04-01,1482740
2019-05-01,1475236
2019-06-01,1461567
2019-07-01,1453606
2019-08-01,1461385
2019-09-01,1464108
2019-10-01,1465679
2019-11-01,1470636
2019-12-01,1465269
2020-01-01,1465911
2020-02-01,1466545
2020-03-01,1476597
2020-04-01,1487039
2020-05-01,1494998
2020-06-01,1508857
2020-07-01,1535818
2020-08-01,1582759
2020-09-01,1629277
2020-10-01,1655147
2020-11-01,1682158
2020-12-01,1703946
2021-01-01,1708675
2021-02-01,1716030
2021-03-01,1731087
2021-04-01,1735963
2021-05-01,1743261
2021-06-01,1748339
2021-07-01,1782447
2021-08-01,1809085
2021-09-01,1838269
2021-10-01,1857049
2021-11-01,1871247
2021-12-01,1889358
2022-01-01,1895551
2022-02-01,1905903
2022-03-01,1920483
2022-04-01,1916731
2022-05-01,1931052
2022-06-01,1958396
2022-07-01,1978131
2022-08-01,2021545
2022-09-01,2066546
2022-10-01,2094334
2022-11-01,2124405
2022-12-01,2152764
2023-01-01,2165171
2023-02-01,2179257
2023-03-01,2197597
2023-04-01,2202609
2023-05-01,2212059
2023-06-01,2224815
2023-07-01,2246259
2023-08-01,2298152
2023-09-01,2328398
2023-10-01,2357249
2023-11-01,2386083
2023-12-01,2410374
2024-01-01,2425713
2024-02-01,2438786
2024-03-01,2459577
2024-04-01,2473500
2024-05-01,2492298
2024-06-01,2515745
2024-07-01,2532093
2024-08-01,2565752
2024-09-01,2593601
2024-10-01,2630994
2024-11-01,2662897
2024-12-01,2694966
2025-01-01,2717102
2025-02-01,2746603
2025-03-01,2766981
2025-04-01,2796325
2025-05-01,2805225
2025-06-01,2832735
2025-07-01,2855592
2025-08-01,2878443
2025-09-01,2920061
2025-10-01,2957727
2025-11-01,2990931
2025-12-01,3039779
2026-01-01,3066538
2026-02-01,3092301
2026-03-01,3125723
2026-04-01,3145690
2026-05-01,3169253
2026-06-01,3193345
