mes,valor
2002-01-01,25.48
2002-02-01,25.46
2002-03-01,25.36
2002-04-01,25.37
2002-05-01,25.51
2002-06-01,25.74
2002-07-01,25.94
2002-08-01,25.33
2002-09-01,26.58
2002-10-01,26.05
2002-11-01,25.95
2002-12-01,25.82
2003-01-01,25.6
2003-02-01,25.51
2003-03-01,25.07
2003-04-01,24.5
2003-05-01,24.44
2003-06-01,24.36
2003-07-01,24.17
2003-08-01,24.08
2003-09-01,24.02
2003-10-01,24.0
2003-11-01,24.32
2003-12-01,24.35
2004-01-01,24.08
2004-02-01,24.12
2004-03-01,23.98
2004-04-01,24.42
2004-05-01,24.72
2004-06-01,24.77
2004-07-01,24.69
2004-08-01,24.76
2004-09-01,25.01
2004-10-01,25.51
2004-11-01,25.51
2004-12-01,25.47
2005-01-01,25.58
2005-02-01,25.64
2005-03-01,25.85
2005-04-01,26.09
2005-05-01,26.05
2005-06-01,26.2
2005-07-01,26.39
2005-08-01,26.58
2005-09-01,26.7
2005-10-01,27.01
2005-11-01,27.43
2005-12-01,27.97
2006-01-01,27.79
2006-02-01,27.89
2006-03-01,28.12
2006-04-01,28.51
2006-05-01,28.99
2006-06-01,28.99
2006-07-01,29.19
2006-08-01,29.12
2006-09-01,29.29
2006-10-01,29.53
2006-11-01,30.04
2006-12-01,30.4
2007-01-01,30.33
2007-02-01,30.44
2007-03-01,30.66
2007-04-01,31.06
2007-05-01,31.16
2007-06-01,31.28
2007-07-01,31.68
2007-08-01,32.34
2007-09-01,32.67
2007-10-01,33.22
2007-11-01,34.05
2007-12-01,34.7
2008-01-01,34.71
2008-02-01,34.84
2008-03-01,35.76
2008-04-01,36.22
2008-05-01,36.81
2008-06-01,37.14
2008-07-01,37.22
2008-08-01,37.63
2008-09-01,38.43
2008-10-01,38.99
2008-11-01,39.36
2008-12-01,39.68
2009-01-01,39.57
2009-02-01,39.42
2009-03-01,39.58
2009-04-01,39.65
2009-05-01,39.88
2009-06-01,40.24
2009-07-01,41.07
2009-08-01,41.51
2009-09-01,41.92
2009-10-01,42.19
2009-11-01,42.36
2009-12-01,42.62
2010-01-01,42.42
2010-02-01,42.23
2010-03-01,42.1
2010-04-01,41.98
2010-05-01,42.3
2010-06-01,42.63
2010-07-01,42.62
2010-08-01,42.96
2010-09-01,43.25
2010-10-01,43.57
2010-11-01,43.88
2010-12-01,44.08
2011-01-01,43.74
2011-02-01,43.78
2011-03-01,43.82
2011-04-01,43.94
2011-05-01,44.08
2011-06-01,44.25
2011-07-01,44.36
2011-08-01,44.69
2011-09-01,45.3
2011-10-01,45.3
2011-11-01,45.83
2011-12-01,46.48
2012-01-01,46.07
2012-02-01,45.88
2012-03-01,46.31
2012-04-01,46.6
2012-05-01,47.04
2012-06-01,47.43
2012-07-01,47.39
2012-08-01,47.52
2012-09-01,47.72
2012-10-01,47.91
2012-11-01,48.28
2012-12-01,49.19
2013-01-01,48.76
2013-02-01,48.81
2013-03-01,49.33
2013-04-01,49.17
2013-05-01,49.55
2013-06-01,50.04
2013-07-01,49.88
2013-08-01,50.17
2013-09-01,50.11
2013-10-01,49.82
2013-11-01,50.22
2013-12-01,50.84
2014-01-01,50.49
2014-02-01,50.17
2014-03-01,50.26
2014-04-01,50.3
2014-05-01,50.42
2014-06-01,50.66
2014-07-01,50.46
2014-08-01,50.67
2014-09-01,50.96
2014-10-01,51.07
2014-11-01,51.47
2014-12-01,52.22
2015-01-01,52.13
2015-02-01,52.21
2015-03-01,52.5
2015-04-01,52.33
2015-05-01,52.6
2015-06-01,52.63
2015-07-01,52.61
2015-08-01,52.87
2015-09-01,53.3
2015-10-01,53.07
2015-11-01,53.27
2015-12-01,53.85
2016-01-01,53.42
2016-02-01,52.96
2016-03-01,52.48
2016-04-01,51.94
2016-05-01,51.85
2016-06-01,51.3
2016-07-01,50.96
2016-08-01,50.7
2016-09-01,50.44
2016-10-01,50.03
2016-11-01,49.92
