mes,valor
2007-03-01,19.72
2007-04-01,20.09
2007-05-01,20.22
2007-06-01,20.39
2007-07-01,20.8
2007-08-01,21.29
2007-09-01,21.57
2007-10-01,21.93
2007-11-01,22.5
2007-12-01,23.07
2008-01-01,23.19
2008-02-01,23.42
2008-03-01,24.13
2008-04-01,24.5
2008-05-01,24.95
2008-06-01,25.2
2008-07-01,25.41
2008-08-01,25.75
2008-09-01,26.3
2008-10-01,26.63
2008-11-01,26.73
2008-12-01,26.79
2009-01-01,26.53
2009-02-01,26.39
2009-03-01,26.46
2009-04-01,26.51
2009-05-01,26.68
2009-06-01,26.8
2009-07-01,26.65
2009-08-01,26.82
2009-09-01,26.98
2009-10-01,27.06
2009-11-01,27.14
2009-12-01,27.09
2010-01-01,26.81
2010-02-01,26.72
2010-03-01,26.65
2010-04-01,26.52
2010-05-01,26.61
2010-06-01,26.68
2010-07-01,26.55
2010-08-01,26.54
2010-09-01,26.74
2010-10-01,26.87
2010-11-01,27.07
2010-12-01,27.17
2011-01-01,26.89
2011-02-01,26.93
2011-03-01,27.04
2011-04-01,27.17
2011-05-01,27.23
2011-06-01,27.31
2011-07-01,27.27
2011-08-01,27.36
2011-09-01,27.66
2011-10-01,27.64
2011-11-01,27.85
2011-12-01,28.14
2012-01-01,27.83
2012-02-01,27.77
2012-03-01,28.04
2012-04-01,28.2
2012-05-01,28.43
2012-06-01,28.7
2012-07-01,28.55
2012-08-01,28.53
2012-09-01,28.59
2012-10-01,28.54
2012-11-01,28.63
2012-12-01,29.0
2013-01-01,28.58
2013-02-01,28.47
2013-03-01,28.64
2013-04-01,28.37
2013-05-01,28.47
2013-06-01,28.52
2013-07-01,28.26
2013-08-01,28.21
2013-09-01,28.22
2013-10-01,28.0
2013-11-01,28.1
2013-12-01,28.23
2014-01-01,27.71
2014-02-01,27.42
2014-03-01,27.4
2014-04-01,27.26
2014-05-01,27.24
2014-06-01,27.31
2014-07-01,27.01
2014-08-01,26.97
2014-09-01,26.96
2014-10-01,26.87
2014-11-01,26.98
2014-12-01,27.27
2015-01-01,27.05
2015-02-01,26.99
2015-03-01,27.06
2015-04-01,26.92
2015-05-01,27.02
2015-06-01,27.09
2015-07-01,26.96
2015-08-01,26.99
2015-09-01,27.12
2015-10-01,26.93
2015-11-01,27.06
2015-12-01,27.38
2016-01-01,26.97
2016-02-01,26.67
2016-03-01,26.43
2016-04-01,26.07
2016-05-01,26.03
2016-06-01,25.72
2016-07-01,25.41
2016-08-01,25.23
2016-09-01,25.1
2016-10-01,24.95
2016-11-01,24.9
2016-12-01,24.93
2017-01-01,24.43
2017-02-01,24.31
2017-03-01,24.26
2017-04-01,24.03
2017-05-01,23.84
2017-06-01,23.93
2017-07-01,23.66
2017-08-01,23.65
2017-09-01,23.63
2017-10-01,23.64
2017-11-01,23.78
2017-12-01,24.16
2018-01-01,23.77
2018-02-01,23.63
2018-03-01,23.86
2018-04-01,23.84
2018-05-01,24.0
2018-06-01,24.18
2018-07-01,24.0
2018-08-01,24.22
2018-09-01,24.31
2018-10-01,24.21
2018-11-01,24.6
2018-12-01,25.19
2019-01-01,24.87
2019-02-01,24.87
2019-03-01,25.18
2019-04-01,25.18
2019-05-01,25.37
2019-06-01,25.65
2019-07-01,25.55
2019-08-01,25.84
2019-09-01,26.14
2019-10-01,26.15
2019-11-01,26.56
2019-12-01,27.21
2020-01-01,26.93
2020-02-01,27.03
2020-03-01,28.09
2020-04-01,28.12
2020-05-01,28.33
2020-06-01,28.48
2020-07-01,28.71
2020-08-01,29.01
2020-09-01,29.33
2020-10-01,29.66
2020-11-01,30.17
2020-12-01,30.45
2021-01-01,30.1
2021-02-01,30.01
2021-03-01,30.08
2021-04-01,29.64
2021-05-01,29.6
2021-06-01,29.53
2021-07-01,29.39
2021-08-01,29.5
2021-09-01,29.86
2021-10-01,30.12
2021-11-01,30.56
2021-12-01,31.0
2022-01-01,30.77
2022-02-01,31.01
2022-03-01,31.33
2022-04-01,31.47
2022-05-01,31.54
2022-06-01,31.69
2022-07-01,31.5
2022-08-01,31.46
2022-09-01,31.63
2022-10-01,31.53
2022-11-01,31.63
2022-12-01,31.88
2023-01-01,31.56
2023-02-01,31.16
2023-03-01,31.21
2023-04-01,30.94
2023-05-01,30.9
2023-06-01,30.85
2023-07-01,30.54
2023-08-01,30.58
2023-09-01,30.76
2023-10-01,30.54
2023-11-01,30.58
2023-12-01,31.02
2024-01-01,30.56
2024-02-01,30.43
2024-03-01,30.92
2024-04-01,30.71
2024-05-01,30.73
2024-06-01,31.11
2024-07-01,30.94
2024-08-01,31.03
2024-09-01,31.28
2024-10-01,31.22
2024-11-01,31.57
2024-12-01,32.0
2025-01-01,31.65
2025-02-01,31.54
2025-03-01,31.64
2025-04-01,31.54
2025-05-01,31.57
2025-06-01,31.46
2025-07-01,31.32
2025-08-01,31.31
2025-09-01,31.4
2025-10-01,31.5
2025-11-01,31.71
2025-12-01,32.16
2026-01-01,31.73
2026-02-01,31.6
2026-03-01,31.74
2026-04-01,31.55
2026-05-01,31.55
2026-06-01,31.55
