mes,valor
2007-03-01,10.93
2007-04-01,10.97
2007-05-01,10.94
2007-06-01,10.89
2007-07-01,10.88
2007-08-01,11.05
2007-09-01,11.1
2007-10-01,11.29
2007-11-01,11.55
2007-12-01,11.63
2008-01-01,11.52
2008-02-01,11.42
2008-03-01,11.63
2008-04-01,11.72
2008-05-01,11.85
2008-06-01,11.94
2008-07-01,11.81
2008-08-01,11.88
2008-09-01,12.13
2008-10-01,12.36
2008-11-01,12.63
2008-12-01,12.89
2009-01-01,13.03
2009-02-01,13.04
2009-03-01,13.12
2009-04-01,13.14
2009-05-01,13.19
2009-06-01,13.45
2009-07-01,14.42
2009-08-01,14.69
2009-09-01,14.94
2009-10-01,15.14
2009-11-01,15.22
2009-12-01,15.53
2010-01-01,15.61
2010-02-01,15.51
2010-03-01,15.45
2010-04-01,15.47
2010-05-01,15.7
2010-06-01,15.95
2010-07-01,16.07
2010-08-01,16.41
2010-09-01,16.52
2010-10-01,16.7
2010-11-01,16.81
2010-12-01,16.91
2011-01-01,16.85
2011-02-01,16.85
2011-03-01,16.78
2011-04-01,16.77
2011-05-01,16.85
2011-06-01,16.94
2011-07-01,17.09
2011-08-01,17.33
2011-09-01,17.64
2011-10-01,17.66
2011-11-01,17.98
2011-12-01,18.33
2012-01-01,18.24
2012-02-01,18.11
2012-03-01,18.27
2012-04-01,18.4
2012-05-01,18.61
2012-06-01,18.73
2012-07-01,18.84
2012-08-01,18.99
2012-09-01,19.12
2012-10-01,19.37
2012-11-01,19.64
2012-12-01,20.19
2013-01-01,20.18
2013-02-01,20.34
2013-03-01,20.69
2013-04-01,20.8
2013-05-01,21.08
2013-06-01,21.52
2013-07-01,21.62
2013-08-01,21.97
2013-09-01,21.89
2013-10-01,21.82
2013-11-01,22.11
2013-12-01,22.61
2014-01-01,22.78
2014-02-01,22.75
2014-03-01,22.87
2014-04-01,23.05
2014-05-01,23.18
2014-06-01,23.35
2014-07-01,23.45
2014-08-01,23.7
2014-09-01,24.01
2014-10-01,24.2
2014-11-01,24.49
2014-12-01,24.95
2015-01-01,25.07
2015-02-01,25.21
2015-03-01,25.43
2015-04-01,25.41
2015-05-01,25.57
2015-06-01,25.54
2015-07-01,25.65
2015-08-01,25.88
2015-09-01,26.17
2015-10-01,26.14
2015-11-01,26.2
2015-12-01,26.46
2016-01-01,26.46
2016-02-01,26.29
2016-03-01,26.05
2016-04-01,25.87
2016-05-01,25.82
2016-06-01,25.58
2016-07-01,25.54
2016-08-01,25.48
2016-09-01,25.34
2016-10-01,25.08
2016-11-01,25.02
2016-12-01,24.79
2017-01-01,24.54
2017-02-01,24.45
2017-03-01,24.36
2017-04-01,24.32
2017-05-01,24.17
2017-06-01,24.12
2017-07-01,23.81
2017-08-01,23.62
2017-09-01,23.49
2017-10-01,23.35
2017-11-01,23.18
2017-12-01,22.96
2018-01-01,22.68
2018-02-01,22.51
2018-03-01,22.39
2018-04-01,22.21
2018-05-01,22.16
2018-06-01,22.01
2018-07-01,21.83
2018-08-01,21.79
2018-09-01,21.7
2018-10-01,21.44
2018-11-01,21.38
2018-12-01,21.4
2019-01-01,21.16
2019-02-01,21.08
2019-03-01,21.04
2019-04-01,20.87
2019-05-01,20.61
2019-06-01,20.38
2019-07-01,20.16
2019-08-01,20.17
2019-09-01,20.1
2019-10-01,20.02
2019-11-01,20.0
2019-12-01,19.83
2020-01-01,19.74
2020-02-01,19.64
2020-03-01,19.69
2020-04-01,19.94
2020-05-01,20.16
2020-06-01,20.32
2020-07-01,20.65
2020-08-01,21.26
2020-09-01,21.8
2020-10-01,22.07
2020-11-01,22.3
2020-12-01,22.39
2021-01-01,22.27
2021-02-01,22.1
2021-03-01,21.92
2021-04-01,21.52
2021-05-01,21.2
2021-06-01,20.94
2021-07-01,21.04
2021-08-01,21.03
2021-09-01,21.09
2021-10-01,21.07
2021-11-01,20.97
2021-12-01,20.96
2022-01-01,20.93
2022-02-01,20.94
2022-03-01,20.93
2022-04-01,20.68
2022-05-01,20.59
2022-06-01,20.64
2022-07-01,20.62
2022-08-01,20.85
2022-09-01,21.1
2022-10-01,21.15
2022-11-01,21.25
2022-12-01,21.36
2023-01-01,21.3
2023-02-01,21.27
2023-03-01,21.25
2023-04-01,21.14
2023-05-01,21.09
2023-06-01,21.09
2023-07-01,21.18
2023-08-01,21.55
2023-09-01,21.72
2023-10-01,21.84
2023-11-01,21.95
2023-12-01,22.03
2024-01-01,22.0
2024-02-01,21.98
2024-03-01,22.1
2024-04-01,22.07
2024-05-01,22.13
2024-06-01,22.2
2024-07-01,22.15
2024-08-01,22.31
2024-09-01,22.4
2024-10-01,22.54
2024-11-01,22.7
2024-12-01,22.88
2025-01-01,22.94
2025-02-01,23.01
2025-03-01,22.98
2025-04-01,23.04
2025-05-01,22.94
2025-06-01,23.02
2025-07-01,23.06
2025-08-01,23.13
2025-09-01,23.31
2025-10-01,23.49
2025-11-01,23.63
2025-12-01,23.86
2026-01-01,23.94
2026-02-01,24.04
2026-03-01,24.11
2026-04-01,24.13
2026-05-01,24.18
2026-06-01,24.21
