mes,valor
1995-01-01,-398.7
1995-02-01,-1151.6
1995-03-01,-1019.5
1995-04-01,-565.7
1995-05-01,-781.7
1995-06-01,-871.5
1995-07-01,-110.1
1995-08-01,3.1
1995-09-01,389.5
1995-10-01,241.5
1995-11-01,-160.9
1995-12-01,-145.3
1996-01-01,-50.3
1996-02-01,-108.9
1996-03-01,-540.2
1996-04-01,119.7
1996-05-01,153.6
1996-06-01,-422.4
1996-07-01,-443.4
1996-08-01,-366.1
1996-09-01,-712.1
1996-10-01,-1403.2
1996-11-01,-931.2
1996-12-01,-1932.0
1997-01-01,1080.2
1997-02-01,-1179.8
1997-03-01,-966.6
1997-04-01,-979.0
1997-05-01,-164.5
1997-06-01,-458.7
1997-07-01,-636.3
1997-08-01,-380.4
1997-09-01,-920.8
1997-10-01,-925.6
1997-11-01,-1365.0
1997-12-01,-854.3
1998-01-01,-808.5
1998-02-01,-312.6
1998-03-01,-980.5
1998-04-01,-140.2
1998-05-01,-214.0
1998-06-01,108.5
1998-07-01,-514.8
1998-08-01,-260.1
1998-09-01,-1306.0
1998-10-01,-1533.1
1998-11-01,-1110.5
1998-12-01,-555.9
1999-01-01,-792.7
1999-02-01,38.8
1999-03-01,-325.2
1999-04-01,-66.2
1999-05-01,214.4
1999-06-01,-235.0
1999-07-01,8.5
1999-08-01,-274.3
1999-09-01,-25.8
1999-10-01,-201.4
1999-11-01,-564.7
1999-12-01,161.4
2000-01-01,-174.0
2000-02-01,48.7
2000-03-01,-78.0
2000-04-01,94.3
2000-05-01,307.9
2000-06-01,163.3
2000-07-01,111.9
2000-08-01,32.2
2000-09-01,-453.3
2000-10-01,-695.8
2000-11-01,-863.4
2000-12-01,-282.5
2001-01-01,-557.0
2001-02-01,-23.9
2001-03-01,-366.6
2001-04-01,28.7
2001-05-01,106.5
2001-06-01,191.4
2001-07-01,20.0
2001-08-01,548.3
2001-09-01,511.9
2001-10-01,119.8
2001-11-01,201.0
2001-12-01,756.6
2002-01-01,103.9
2002-02-01,172.8
2002-03-01,514.6
2002-04-01,396.6
2002-05-01,269.3
2002-06-01,569.1
2002-07-01,1105.3
2002-08-01,1501.5
2002-09-01,2410.5
2002-10-01,2088.5
2002-11-01,1160.3
2002-12-01,1711.3
2003-01-01,1059.3
2003-02-01,1022.7
2003-03-01,1437.3
2003-04-01,1616.2
2003-05-01,2434.4
2003-06-01,2262.3
2003-07-01,1964.7
2003-08-01,2585.1
2003-09-01,2558.6
2003-10-01,2424.8
2003-11-01,1567.3
2003-12-01,2643.4
2004-01-01,1507.1
2004-02-01,1897.7
2004-03-01,2462.5
2004-04-01,1841.5
2004-05-01,2995.7
2004-06-01,3668.0
2004-07-01,3321.6
2004-08-01,3317.9
2004-09-01,3044.2
