mes,valor
1995-01-01,3368.9
1995-02-01,4097.5
1995-03-01,4806.3
1995-04-01,3948.1
1995-05-01,4981.8
1995-06-01,4981.2
1995-07-01,4087.3
1995-08-01,4545.8
1995-09-01,3771.9
1995-10-01,4160.4
1995-11-01,4221.3
1995-12-01,4016.6
1996-01-01,3523.5
1996-02-01,3518.7
1996-03-01,3960.3
1996-04-01,4157.2
1996-05-01,4333.5
1996-06-01,4251.9
1996-07-01,4889.8
1996-08-01,4744.6
1996-09-01,4831.3
1996-10-01,5579.5
1996-11-01,4838.9
1996-12-01,5718.2
1997-01-01,2588.7
1997-02-01,4318.8
1997-03-01,4788.9
1997-04-01,5590.1
1997-05-01,4789.3
1997-06-01,5270.8
1997-07-01,5852.2
1997-08-01,5433.0
1997-09-01,5495.5
1997-10-01,5713.6
1997-11-01,5332.3
1997-12-01,5364.6
1998-01-01,4712.1
1998-02-01,4020.5
1998-03-01,5245.9
1998-04-01,4705.1
1998-05-01,4814.2
1998-06-01,4777.6
1998-07-01,5479.1
1998-08-01,4232.7
1998-09-01,5810.2
1998-10-01,5530.8
1998-11-01,4812.5
1998-12-01,4532.2
1999-01-01,3746.2
1999-02-01,3235.9
1999-03-01,4134.5
1999-04-01,3757.4
1999-05-01,4172.0
1999-06-01,4545.9
1999-07-01,4114.9
1999-08-01,4548.6
1999-09-01,4319.9
1999-10-01,4539.8
1999-11-01,4617.8
1999-12-01,4526.7
2000-01-01,3654.6
2000-02-01,4133.1
2000-03-01,4535.3
2000-04-01,4078.3
2000-05-01,4776.3
2000-06-01,4681.7
2000-07-01,4960.4
2000-08-01,5502.0
2000-09-01,5143.6
2000-10-01,5327.2
2000-11-01,5234.2
2000-12-01,4949.7
2001-01-01,5088.2
2001-02-01,4086.7
2001-03-01,5530.6
2001-04-01,4693.7
2001-05-01,5236.6
2001-06-01,4842.7
2001-07-01,4938.3
2001-08-01,5176.0
2001-09-01,4246.2
2001-10-01,4837.7
2001-11-01,4299.7
2001-12-01,3592.5
2002-01-01,3886.4
2002-02-01,3483.6
2002-03-01,3749.1
2002-04-01,4225.8
2002-05-01,4154.3
2002-06-01,3488.1
2002-07-01,5105.9
2002-08-01,4258.1
2002-09-01,4087.3
2002-10-01,4369.9
2002-11-01,3936.1
2002-12-01,3530.1
2003-01-01,3740.0
2003-02-01,3973.1
2003-03-01,3787.0
2003-04-01,4081.5
2003-05-01,3946.4
2003-06-01,3603.9
2003-07-01,4122.6
2003-08-01,3811.5
2003-09-01,4702.4
2003-10-01,5108.0
2003-11-01,4348.3
2003-12-01,4082.6
2004-01-01,4293.7
2004-02-01,3833.8
2004-03-01,5422.8
2004-04-01,4713.7
2004-05-01,4918.0
2004-06-01,5614.8
2004-07-01,5613.4
2004-08-01,5708.2
2004-09-01,5834.9
2004-10-01,5932.1
2004-11-01,6161.1
2004-12-01,5767.0
2005-01-01,5349.7
2005-02-01,5072.0
2005-03-01,5998.5
2005-04-01,5423.9
2005-05-01,6462.9
2005-06-01,6257.3
2005-07-01,6147.8
2005-08-01,7784.3
2005-09-01,6401.4
2005-10-01,6327.0
2005-11-01,6806.2
2005-12-01,6661.2
2006-01-01,6552.3
2006-02-01,6072.5
2006-03-01,7814.9
2006-04-01,6845.9
2006-05-01,7383.6
2006-06-01,7464.2
2006-07-01,8085.3
2006-08-01,9212.2
2006-09-01,8207.8
2006-10-01,8830.4
2006-11-01,8761.2
2006-12-01,7301.0
2007-01-01,8563.0
2007-02-01,7340.9
2007-03-01,9628.0
2007-04-01,8382.6
2007-05-01,9904.5
2007-06-01,9417.2
2007-07-01,10896.8
2007-08-01,11683.5
2007-09-01,10832.9
2007-10-01,12481.2
2007-11-01,12175.8
2007-12-01,10735.7
2008-01-01,12487.8
2008-02-01,12100.0
2008-03-01,11772.9
2008-04-01,12477.7
2008-05-01,15374.6
2008-06-01,16016.8
2008-07-01,17279.4
2008-08-01,17596.4
2008-09-01,17403.3
2008-10-01,17329.4
2008-11-01,13236.4
2008-12-01,11632.3
2009-01-01,10397.0
2009-02-01,7917.3
2009-03-01,10136.2
2009-04-01,8692.5
2009-05-01,9437.6
2009-06-01,9951.3
2009-07-01,11343.8
2009-08-01,10875.7
2009-09-01,12633.1
2009-10-01,12844.7
2009-11-01,12127.2
2009-12-01,12378.5
2010-01-01,11578.5
2010-02-01,11892.0
2010-03-01,15124.6
2010-04-01,13965.0
2010-05-01,14345.1
2010-06-01,14929.4
2010-07-01,16430.1
2010-08-01,16907.5
2010-09-01,17843.0
2010-10-01,16642.3
2010-11-01,17507.0
2010-12-01,15674.6
2011-01-01,14955.6
2011-02-01,15680.7
2011-03-01,17866.2
2011-04-01,18459.3
2011-05-01,19828.0
2011-06-01,19399.8
2011-07-01,19247.1
2011-08-01,22396.1
2011-09-01,20342.5
2011-10-01,19886.7
2011-11-01,21346.9
2011-12-01,18468.6
2012-01-01,17584.7
2012-02-01,16448.1
2012-03-01,19032.3
2012-04-01,18852.5
2012-05-01,20418.2
2012-06-01,18703.2
2012-07-01,18289.2
2012-08-01,19295.3
2012-09-01,17596.2
2012-10-01,20381.5
2012-11-01,20824.2
2012-12-01,17648.5
2013-01-01,20132.8
2013-02-01,16951.3
2013-03-01,19265.1
2013-04-01,21756.3
2013-05-01,21187.0
2013-06-01,18955.3
2013-07-01,22838.7
2013-08-01,20338.6
2013-09-01,19016.2
2013-10-01,23171.0
2013-11-01,19273.8
2013-12-01,18256.0
2014-01-01,19852.4
2014-02-01,18185.7
2014-03-01,17672.4
2014-04-01,19347.6
2014-05-01,20234.0
2014-06-01,18251.6
2014-07-01,21645.2
2014-08-01,19470.7
2014-09-01,20683.3
2014-10-01,19700.2
2014-11-01,18253.0
2014-12-01,17414.1
2015-01-01,16481.4
2015-02-01,15108.4
2015-03-01,16746.1
2015-04-01,14781.8
2015-05-01,14224.7
2015-06-01,15273.3
2015-07-01,15830.0
2015-08-01,12994.0
2015-09-01,13384.8
2015-10-01,14226.2
2015-11-01,12788.3
2015-12-01,10629.9
2016-01-01,10011.1
2016-02-01,10494.7
2016-03-01,11760.9
2016-04-01,10728.0
2016-05-01,11344.5
2016-06-01,12991.3
2016-07-01,11977.9
2016-08-01,13094.5
2016-09-01,12221.5
2016-10-01,11623.7
2016-11-01,11708.1
2016-12-01,11766.7
2017-01-01,12452.9
2017-02-01,11129.7
2017-03-01,13688.7
2017-04-01,11569.0
2017-05-01,13097.8
2017-06-01,13534.6
2017-07-01,13402.6
2017-08-01,14952.5
2017-09-01,14389.2
2017-10-01,14757.8
2017-11-01,14139.1
2017-12-01,13487.7
2018-01-01,15291.5
2018-02-01,15419.9
2018-03-01,14853.8
2018-04-01,15144.4
2018-05-01,14303.9
2018-06-01,15456.0
2018-07-01,19828.5
2018-08-01,20152.9
2018-09-01,15240.1
2018-10-01,17376.7
2018-11-01,18134.6
2018-12-01,13967.6
2019-01-01,17825.5
2019-02-01,13938.3
2019-03-01,14456.1
2019-04-01,15161.1
2019-05-01,16507.7
2019-06-01,14491.5
2019-07-01,19484.8
2019-08-01,18242.1
2019-09-01,17944.9
2019-10-01,18690.1
2019-11-01,15676.6
2019-12-01,13806.8
2020-01-01,17835.2
2020-02-01,14684.0
2020-03-01,16106.4
2020-04-01,12755.7
2020-05-01,14340.6
2020-06-01,11488.9
2020-07-01,12641.8
2020-08-01,12322.2
2020-09-01,13545.1
2020-10-01,13845.3
2020-11-01,15401.5
2020-12-01,20060.2
2021-01-01,17298.0
2021-02-01,16470.7
2021-03-01,24719.3
2021-04-01,16844.9
2021-05-01,18274.1
2021-06-01,21115.7
2021-07-01,18903.1
2021-08-01,21246.0
2021-09-01,21640.7
2021-10-01,21225.7
2021-11-01,22472.8
2021-12-01,21441.4
2022-01-01,20799.1
2022-02-01,19666.5
2022-03-01,23036.7
2022-04-01,21720.3
2022-05-01,25680.5
2022-06-01,25088.7
2022-07-01,25540.4
2022-08-01,27904.6
2022-09-01,27683.4
2022-10-01,24968.0
2022-11-01,23063.8
2022-12-01,23527.3
2023-01-01,21364.6
2023-02-01,18415.7
2023-03-01,23071.9
2023-04-01,19935.3
2023-05-01,22643.2
2023-06-01,20570.9
2023-07-01,20915.4
2023-08-01,22515.3
2023-09-01,20436.2
2023-10-01,21220.1
2023-11-01,20090.3
2023-12-01,20364.7
2024-01-01,21399.1
2024-02-01,19200.9
2024-03-01,21606.9
2024-04-01,22845.0
2024-05-01,22927.5
2024-06-01,23348.5
2024-07-01,24102.6
2024-08-01,25176.1
2024-09-01,24154.3
2024-10-01,26289.5
2024-11-01,21992.1
2024-12-01,20971.9
2025-01-01,24196.1
2025-02-01,24106.5
2025-03-01,21778.8
2025-04-01,23149.0
2025-05-01,23670.0
2025-06-01,23927.2
2025-07-01,25996.9
2025-08-01,24376.7
2025-09-01,28182.3
2025-10-01,25754.2
2025-11-01,23283.8
2025-12-01,22350.7
