mes,valor
2001-12-01,324300744.0
2002-01-01,317273183.0
2002-02-01,318151239.0
2002-03-01,327125313.0
2002-04-01,325806655.0
2002-05-01,328168352.0
2002-06-01,345210126.0
2002-07-01,356786925.0
2002-08-01,372657923.0
2002-09-01,379257449.0
2002-10-01,385844150.0
2002-11-01,389214301.0
2002-12-01,400341786.0
2003-01-01,391237088.0
2003-02-01,393976058.0
2003-03-01,388142457.0
2003-04-01,385467653.0
2003-05-01,388490690.0
2003-06-01,386338027.0
2003-07-01,388813938.0
2003-08-01,390970738.0
2003-09-01,392149375.0
2003-10-01,390099002.0
2003-11-01,401818084.0
2003-12-01,416247543.0
2004-01-01,408357097.0
2004-02-01,411584365.0
2004-03-01,413528931.0
2004-04-01,415095168.0
2004-05-01,429712981.0
2004-06-01,437868637.0
2004-07-01,443323859.0
2004-08-01,451798704.0
2004-09-01,458676647.0
2004-10-01,464622126.0
2004-11-01,472370296.0
2004-12-01,495042691.0
2005-01-01,490235409.0
2005-02-01,493606417.0
2005-03-01,503251673.0
2005-04-01,503512158.0
2005-05-01,505887925.0
2005-06-01,513644026.0
2005-07-01,518947452.0
2005-08-01,527379554.0
2005-09-01,537869645.0
2005-10-01,538102576.0
2005-11-01,548097119.0
2005-12-01,580696410.0
2006-01-01,565857853.0
2006-02-01,573618535.0
2006-03-01,577567486.0
2006-04-01,578426578.0
2006-05-01,592703839.0
2006-06-01,599137480.0
2006-07-01,603661585.0
2006-08-01,605988723.0
2006-09-01,610457741.0
2006-10-01,620241096.0
2006-11-01,634750381.0
2006-12-01,657427293.0
2007-01-01,641559137.0
2007-02-01,642580488.0
2007-03-01,646115709.0
2007-04-01,652641668.0
2007-05-01,659908686.0
2007-06-01,673213592.0
2007-07-01,679342235.0
2007-08-01,695368107.0
2007-09-01,709585174.0
2007-10-01,720078486.0
2007-11-01,732920543.0
2007-12-01,779565807.0
2008-01-01,755191254.0
2008-02-01,758572363.0
2008-03-01,780089115.0
2008-04-01,815392374.0
2008-05-01,846322011.0
2008-06-01,870906826.0
2008-07-01,919095072.0
2008-08-01,964017755.0
2008-09-01,1003158652.0
2008-10-01,1027541803.0
2008-11-01,1048357196.0
2008-12-01,1086785083.0
2009-01-01,1068177739.0
2009-02-01,1074117820.0
2009-03-01,1073712242.0
2009-04-01,1077756632.0
2009-05-01,1091164504.0
2009-06-01,1112294167.0
2009-07-01,1115662312.0
2009-08-01,1121786452.0
2009-09-01,1139974843.0
2009-10-01,1135682421.0
2009-11-01,1150559910.0
2009-12-01,1185866143.0
2010-01-01,1164959304.0
2010-02-01,1168268490.0
2010-03-01,1183495173.0
2010-04-01,1179396787.0
2010-05-01,1193103293.0
2010-06-01,1213647686.0
2010-07-01,1224429731.0
2010-08-01,1248586797.0
2010-09-01,1280552635.0
2010-10-01,1292953330.0
2010-11-01,1324903932.0
2010-12-01,1387911551.0
2011-01-01,1373573507.0
2011-02-01,1393166332.0
2011-03-01,1421898024.0
2011-04-01,1429732032.0
2011-05-01,1455032495.0
2011-06-01,1483845139.0
2011-07-01,1504654844.0
2011-08-01,1530671978.0
2011-09-01,1564422897.0
2011-10-01,1571741588.0
2011-11-01,1602533597.0
2011-12-01,1649901271.0
2012-01-01,1624306909.0
2012-02-01,1630953144.0
2012-03-01,1648106102.0
2012-04-01,1643620310.0
2012-05-01,1668158595.0
2012-06-01,1691859070.0
2012-07-01,1701379607.0
2012-08-01,1717369610.0
2012-09-01,1737700016.0
2012-10-01,1742734111.0
2012-11-01,1759318172.0
2012-12-01,1792891488.0
2013-01-01,1750647756.0
2013-02-01,1749820224.0
2013-03-01,1784054636.0
2013-04-01,1781381964.0
2013-05-01,1808987072.0
2013-06-01,1847726382.0
2013-07-01,1854519202.0
2013-08-01,1874736680.0
2013-09-01,1892308996.0
2013-10-01,1903729843.0
2013-11-01,1940434536.0
2013-12-01,1985467611.0
2014-01-01,1971127279.0
2014-02-01,1989751973.0
2014-03-01,2004771520.0
2014-04-01,2018409621.0
2014-05-01,2037576287.0
2014-06-01,2061091340.0
2014-07-01,2068935938.0
2014-08-01,2087372837.0
2014-09-01,2110060143.0
2014-10-01,2121339527.0
2014-11-01,2146852154.0
2014-12-01,2186471965.0
2015-01-01,2164354124.0
2015-02-01,2168510301.0
2015-03-01,2183104350.0
