mes,valor
2013-01-01,379194.0
2013-02-01,383700.0
2013-03-01,388710.0
2013-04-01,381825.0
2013-05-01,393551.0
2013-06-01,408680.0
2013-07-01,426992.0
2013-08-01,448845.0
2013-09-01,460191.0
2013-10-01,456129.0
2013-11-01,466754.0
2013-12-01,467356.0
2014-01-01,489396.0
2014-02-01,485503.0
2014-03-01,498830.0
2014-04-01,510065.0
2014-05-01,511645.0
2014-06-01,526653.0
2014-07-01,523750.0
2014-08-01,539560.0
2014-09-01,567967.0
2014-10-01,585711.0
2014-11-01,599946.0
2014-12-01,592189.0
2015-01-01,616209.0
2015-02-01,643145.0
2015-03-01,682859.0
2015-04-01,675276.0
2015-05-01,705622.0
2015-06-01,690927.0
2015-07-01,696920.0
2015-08-01,712112.0
2015-09-01,721074.0
2015-10-01,708762.0
2015-11-01,726902.0
2015-12-01,720622.0
2016-01-01,723525.0
2016-02-01,707241.0
2016-03-01,678636.0
2016-04-01,678965.0
2016-05-01,676066.0
2016-06-01,665804.0
2016-07-01,672777.0
2016-08-01,659515.0
2016-09-01,650798.0
2016-10-01,640579.0
2016-11-01,643319.0
2016-12-01,632473.0
2017-01-01,614028.0
2017-02-01,606303.0
2017-03-01,614282.0
2017-04-01,632296.0
2017-05-01,626505.0
2017-06-01,625828.0
2017-07-01,613327.0
2017-08-01,618385.0
2017-09-01,620593.0
2017-10-01,638874.0
2017-11-01,638169.0
2017-12-01,628798.0
2018-01-01,631809.0
2018-02-01,640701.0
2018-03-01,634185.0
2018-04-01,663372.0
2018-05-01,673527.0
2018-06-01,679683.0
2018-07-01,698421.0
2018-08-01,695074.0
2018-09-01,679360.0
2018-10-01,674108.0
2018-11-01,681647.0
2018-12-01,673221.0
2019-01-01,676225.0
2019-02-01,701106.0
2019-03-01,722818.0
2019-04-01,731933.0
2019-05-01,743500.0
2019-06-01,736395.0
2019-07-01,732719.0
2019-08-01,763219.0
2019-09-01,747349.0
2019-10-01,730424.0
2019-11-01,751937.0
2019-12-01,716401.0
2020-01-01,752265.0
2020-02-01,778078.0
2020-03-01,753302.0
2020-04-01,739297.0
2020-05-01,743022.0
2020-06-01,774892.0
2020-07-01,763391.0
2020-08-01,801126.0
2020-09-01,821548.0
2020-10-01,859189.0
2020-11-01,836423.0
2020-12-01,854289.0
2021-01-01,854785.0
2021-02-01,877571.0
2021-03-01,892365.0
2021-04-01,862908.0
2021-05-01,868330.0
2021-06-01,864598.0
2021-07-01,886243.0
2021-08-01,898728.0
2021-09-01,924563.0
2021-10-01,947468.0
2021-11-01,965422.0
2021-12-01,978886.0
2022-01-01,950337.0
2022-02-01,916309.0
2022-03-01,840179.0
2022-04-01,840346.0
2022-05-01,829536.0
2022-06-01,855926.0
2022-07-01,856278.0
2022-08-01,839431.0
2022-09-01,867715.0
2022-10-01,863729.0
2022-11-01,892977.0
2022-12-01,891170.0
2023-01-01,886083.0
2023-02-01,897658.0
2023-03-01,892303.0
2023-04-01,897421.0
2023-05-01,902095.0
2023-06-01,896856.0
2023-07-01,877671.0
2023-08-01,901065.0
2023-09-01,925854.0
2023-10-01,950597.0
2023-11-01,961328.0
2023-12-01,953467.0
2024-01-01,994264.0
2024-02-01,999191.0
2024-03-01,1022623.0
2024-04-01,1011349.0
2024-05-01,1036862.0
2024-06-01,1100282.0
2024-07-01,1103794.0
2024-08-01,1114586.0
2024-09-01,1114605.0
2024-10-01,1164466.0
2024-11-01,1229879.0
2024-12-01,1183518.0
2025-01-01,1113661.0
2025-02-01,1132732.0
2025-03-01,1115895.0
2025-04-01,1123313.0
2025-05-01,1147370.0
2025-06-01,1155271.0
2025-07-01,1171222.0
2025-08-01,1180933.0
2025-09-01,1210779.0
2025-10-01,1249420.0
2025-11-01,1242874.0
2025-12-01,1297259.0
2026-01-01,1307746.0
2026-02-01,1349790.0
2026-03-01,1323014.0
2026-04-01,1310939.0
2026-05-01,1320469.0
2026-06-01,1337583.0
