mes,valor
2020-05-01,20580200
2020-06-01,8109740
2020-07-01,5227390
2020-08-01,2312816
2020-09-01,2123987
2020-10-01,1671630
2020-11-01,-2013201
2020-12-01,27816100
2021-01-01,-170953
2021-02-01,-2994069
2021-03-01,-1610810
2021-04-01,-6675154
2021-05-01,-5827488
2021-06-01,-3725685
2021-07-01,-7879935
2021-08-01,-7644761
2021-09-01,-3663538
2021-10-01,-8038669
2021-11-01,-9303989
2021-12-01,4765473
2022-01-01,12900000
2022-02-01,17950000
2022-03-01,9926390
2022-04-01,-406056
2022-05-01,-3178593
2022-06-01,-1075182
2022-07-01,-2477351
2022-08-01,-735436
2022-09-01,-564238
2022-10-01,-5289589
2022-11-01,-310531
2022-12-01,-17642115
2023-01-01,-11131565
2023-02-01,-7598779
2023-03-01,-14939861
2023-04-01,-63423
2023-05-01,-11
2023-06-01,-3559
2023-07-01,0
2023-08-01,0
2023-09-01,0
2023-10-01,0
2023-11-01,0
2023-12-01,0
2024-01-01,0
2024-02-01,0
2024-03-01,0
2024-04-01,0
2024-05-01,0
2024-06-01,0
2024-07-01,-21
2024-08-01,0
2024-09-01,0
2024-10-01,0
2024-11-01,0
2024-12-01,0
2025-01-01,0
2025-02-01,0
2025-03-01,0
2025-04-01,-22
2025-05-01,0
2025-06-01,-2
2025-07-01,0
2025-08-01,0
2025-09-01,0
2025-10-01,0
2025-11-01,0
2025-12-01,0
2026-01-01,0
2026-02-01,0
2026-03-01,0
2026-04-01,0
2026-05-01,0
2026-06-01,800000
