mes,valor
2015-01-01,69381290
2015-02-01,-47271749
2015-03-01,-72871998
2015-04-01,10471467
2015-05-01,-11454570
2015-06-01,-63634669
2015-07-01,21068801
2015-08-01,-47755661
2015-09-01,-12582681
2015-10-01,114642461
2015-11-01,-42372044
2015-12-01,-41100110
2016-01-01,76629137
2016-02-01,-37965968
2016-03-01,-44032021
2016-04-01,109449669
2016-05-01,-42906598
2016-06-01,-57012858
2016-07-01,33069913
2016-08-01,34805144
2016-09-01,-60965938
2016-10-01,36831990
2016-11-01,-23564804
2016-12-01,7559278
2017-01-01,80425142
2017-02-01,-56595002
2017-03-01,-60971777
2017-04-01,12665820
2017-05-01,21240728
2017-06-01,-71146893
2017-07-01,38274001
2017-08-01,-36199452
2017-09-01,-635045
2017-10-01,24732475
2017-11-01,-32273725
2017-12-01,-30684804
2018-01-01,60392533
2018-02-01,-28875467
2018-03-01,-25176540
2018-04-01,6856703
2018-05-01,-19150377
2018-06-01,-1068298
2018-07-01,33283219
2018-08-01,8433593
2018-09-01,27743275
2018-10-01,33958188
2018-11-01,-34077392
2018-12-01,-29615079
2019-01-01,87812255
2019-02-01,-33636875
2019-03-01,-2492950
2019-04-01,70582307
2019-05-01,23705908
2019-06-01,-66167255
2019-07-01,6229813
2019-08-01,-37478337
2019-09-01,-58578683
2019-10-01,49541690
2019-11-01,-39614947
2019-12-01,-15623582
2020-01-01,55639795
2020-02-01,-19911815
2020-03-01,124899616
2020-04-01,85493281
2020-05-01,-69955246
2020-06-01,-98198814
2020-07-01,56749629
2020-08-01,-32819041
2020-09-01,-80451446
2020-10-01,-71371491
2020-11-01,-136096203
2020-12-01,-179441373
2021-01-01,-25041510
2021-02-01,-106008739
2021-03-01,3100995
2021-04-01,161433910
2021-05-01,-57069682
2021-06-01,-130783591
2021-07-01,-7267971
2021-08-01,-38544588
2021-09-01,93439042
2021-10-01,122935909
2021-11-01,-75991348
2021-12-01,-61753191
2022-01-01,26273873
2022-02-01,-76766999
2022-03-01,209093184
2022-04-01,39368487
2022-05-01,-59532336
2022-06-01,-58467474
2022-07-01,82895630
2022-08-01,56051862
2022-09-01,73626233
2022-10-01,13294147
2022-11-01,-32422910
2022-12-01,-22231419
2023-01-01,211751437
2023-02-01,-34278528
2023-03-01,26646007
2023-04-01,-80302395
2023-05-01,78188110
2023-06-01,-143042193
2023-07-01,99858774
2023-08-01,-56131264
2023-09-01,242878957
2023-10-01,-43119256
2023-11-01,-101314298
2023-12-01,-127402891
2024-01-01,145475438
2024-02-01,-85504980
2024-03-01,18165070
2024-04-01,-9300993
2024-05-01,-130547472
2024-06-01,-57352992
2024-07-01,-5013072
2024-08-01,183726854
2024-09-01,125448488
2024-10-01,-36796014
2024-11-01,-52428620
2024-12-01,-30736668
2025-01-01,82160383
2025-02-01,-141290919
2025-03-01,52045226
2025-04-01,-23757827
2025-05-01,45525891
2025-06-01,-164788427
2025-07-01,43383007
2025-08-01,-119618447
2025-09-01,81797149
2025-10-01,-14581571
2025-11-01,-140141495
2025-12-01,-77293578
2026-01-01,90549550
2026-02-01,-101691198
2026-03-01,287782906
2026-04-01,-17931916
2026-05-01,-112737091
2026-06-01,-125795713
