mes,valor
2015-01-01,-103167133
2015-02-01,23433492
2015-03-01,42123346
2015-04-01,25155556
2015-05-01,-11346157
2015-06-01,44774785
2015-07-01,-61243928
2015-08-01,41534628
2015-09-01,25265309
2015-10-01,-101644564
2015-11-01,52441603
2015-12-01,22136463
2016-01-01,-105350006
2016-02-01,56777865
2016-03-01,78851466
2016-04-01,-110637882
2016-05-01,24503701
2016-06-01,64564070
2016-07-01,-81515693
2016-08-01,-40645241
2016-09-01,50320308
2016-10-01,-1675668
2016-11-01,-6676740
2016-12-01,71854756
2017-01-01,-86854331
2017-02-01,39550680
2017-03-01,37094331
2017-04-01,770460
2017-05-01,-61085790
2017-06-01,75961882
2017-07-01,-70734571
2017-08-01,28997986
2017-09-01,17469726
2017-10-01,-22772126
2017-11-01,50043322
2017-12-01,75933997
2018-01-01,-88042616
2018-02-01,14018762
2018-03-01,39457503
2018-04-01,-21508055
2018-05-01,-12138619
2018-06-01,19816805
2018-07-01,-33621269
2018-08-01,22774388
2018-09-01,-27226907
2018-10-01,-2873275
2018-11-01,25586669
2018-12-01,66145848
2019-01-01,-106213045
2019-02-01,43934348
2019-03-01,-35798611
2019-04-01,-75289139
2019-05-01,19526234
2019-06-01,70719268
2019-07-01,-31785742
2019-08-01,36073970
2019-09-01,128204360
2019-10-01,2272232
2019-11-01,48210098
2019-12-01,143191642
2020-01-01,-60868332
2020-02-01,2141673
2020-03-01,-177800299
2020-04-01,-98325950
2020-05-01,-19488995
2020-06-01,-72448486
2020-07-01,-110839149
2020-08-01,-97139394
2020-09-01,-19919235
2020-10-01,81287183
2020-11-01,148895199
2020-12-01,159931460
2021-01-01,6306480
2021-02-01,75797382
2021-03-01,72355241
2021-04-01,-110263076
2021-05-01,44404923
2021-06-01,119455825
2021-07-01,-2478329
2021-08-01,35893247
2021-09-01,-112148421
2021-10-01,-123051332
2021-11-01,159954623
2021-12-01,137755472
2022-01-01,-12702825
2022-02-01,87090071
2022-03-01,-168416400
2022-04-01,-30162583
2022-05-01,90248918
2022-06-01,96512812
2022-07-01,-84110879
2022-08-01,-26437203
2022-09-01,-42953019
2022-10-01,2343182
2022-11-01,112814776
2022-12-01,161765099
2023-01-01,-212563758
2023-02-01,6714350
2023-03-01,3241687
2023-04-01,91628740
2023-05-01,-110105123
2023-06-01,155011048
2023-07-01,-136515179
2023-08-01,56442079
2023-09-01,-223411036
2023-10-01,24711847
2023-11-01,105145274
2023-12-01,109379523
2024-01-01,-193267095
2024-02-01,65964747
2024-03-01,12188649
2024-04-01,16437617
2024-05-01,125069955
2024-06-01,10928444
2024-07-01,-54029210
2024-08-01,-167830256
2024-09-01,-111514940
2024-10-01,48854006
2024-11-01,98661088
2024-12-01,242106782
2025-01-01,-24189907
2025-02-01,146129716
2025-03-01,-27817382
2025-04-01,38594631
2025-05-01,-14857631
2025-06-01,102712962
2025-07-01,-103856151
2025-08-01,146398303
2025-09-01,-133014183
2025-10-01,45986779
2025-11-01,103552896
2025-12-01,150957088
2026-01-01,-102565847
2026-02-01,107395577
2026-03-01,-331490204
2026-04-01,90474473
2026-05-01,73368813
2026-06-01,70606542
