mes,valor
1995-01-01,38278
1995-02-01,37998
1995-03-01,33742
1995-04-01,31887
1995-05-01,33731
1995-06-01,33512
1995-07-01,41823
1995-08-01,47660
1995-09-01,48713
1995-10-01,49694
1995-11-01,51257
1995-12-01,51840
1996-01-01,53540
1996-02-01,55794
1996-03-01,55753
1996-04-01,56769
1996-05-01,59394
1996-06-01,59997
1996-07-01,59521
1996-08-01,59643
1996-09-01,58775
1996-10-01,58600
1996-11-01,60471
1996-12-01,60110
1997-01-01,58951
1997-02-01,59405
1997-03-01,58980
1997-04-01,56171
1997-05-01,59279
1997-06-01,57615
1997-07-01,60331
1997-08-01,63056
1997-09-01,61931
1997-10-01,53690
1997-11-01,52035
1997-12-01,52173
1998-01-01,53103
1998-02-01,58782
1998-03-01,68594
1998-04-01,74656
1998-05-01,72826
1998-06-01,70898
1998-07-01,70210
1998-08-01,67333
1998-09-01,45811
1998-10-01,42385
1998-11-01,41189
1998-12-01,44556
1999-01-01,36136
1999-02-01,35457
1999-03-01,33848
1999-04-01,44315
1999-05-01,44310
1999-06-01,41346
1999-07-01,42156
1999-08-01,41918
1999-09-01,42562
1999-10-01,40053
1999-11-01,42175
1999-12-01,36342
2000-01-01,37560
2000-02-01,38364
2000-03-01,39200
2000-04-01,28721
2000-05-01,28570
2000-06-01,28265
2000-07-01,29214
2000-08-01,31385
2000-09-01,31431
2000-10-01,30393
2000-11-01,32533
2000-12-01,33011
2001-01-01,35598
2001-02-01,35413
2001-03-01,34407
2001-04-01,34653
2001-05-01,35459
2001-06-01,37318
2001-07-01,35552
2001-08-01,36299
2001-09-01,40054
2001-10-01,37492
2001-11-01,37234
2001-12-01,35866
2002-01-01,36167
2002-02-01,35906
2002-03-01,36721
2002-04-01,33008
2002-05-01,32889
2002-06-01,41999
2002-07-01,39060
2002-08-01,37643
2002-09-01,38381
2002-10-01,35855
2002-11-01,35592
2002-12-01,37823
2003-01-01,38772
2003-02-01,38530
2003-03-01,42335
2003-04-01,41500
2003-05-01,43373
2003-06-01,47956
2003-07-01,47645
2003-08-01,47793
2003-09-01,52675
2003-10-01,54093
2003-11-01,54427
2003-12-01,49296
2004-01-01,53261
2004-02-01,52960
2004-03-01,51612
2004-04-01,50498
2004-05-01,50540
