mes,valor
1998-01-01,291693.72
1998-02-01,298259.88
1998-03-01,299917.75
1998-04-01,303963.92
1998-05-01,308819.71
1998-06-01,316869.0
1998-07-01,320226.59
1998-08-01,319590.12
1998-09-01,326932.65
1998-10-01,335651.22
1998-11-01,352279.1
1998-12-01,367939.77
1999-01-01,446437.53
1999-02-01,458344.47
1999-03-01,433747.54
1999-04-01,433328.25
1999-05-01,443412.11
1999-06-01,452544.99
1999-07-01,460525.33
1999-08-01,473480.22
1999-09-01,474535.25
1999-10-01,480537.52
1999-11-01,480484.46
1999-12-01,484454.45
2000-01-01,492136.23
2000-02-01,494285.94
2000-03-01,493089.13
2000-04-01,500897.64
2000-05-01,505608.51
2000-06-01,508589.35
2000-07-01,510648.18
2000-08-01,509570.07
2000-09-01,512983.39
2000-10-01,520874.05
2000-11-01,520317.24
2000-12-01,529581.47
2001-01-01,541333.74
2001-02-01,550253.48
2001-03-01,561959.2
2001-04-01,565464.63
2001-05-01,581727.09
2001-06-01,586060.21
2001-07-01,606367.82
2001-08-01,622953.86
2001-09-01,635685.65
2001-10-01,646099.14
2001-11-01,638367.6
2001-12-01,648685.21
2002-01-01,667556.51
2002-02-01,662702.47
2002-03-01,659375.87
2002-04-01,666783.78
2002-05-01,689710.63
2002-06-01,729391.55
2002-07-01,805192.46
2002-08-01,757627.4
2002-09-01,859038.5
2002-10-01,837604.54
2002-11-01,851603.55
2002-12-01,859712.1
2003-01-01,877925.86
2003-02-01,892342.11
2003-03-01,879741.25
2003-04-01,834738.56
2003-05-01,853200.52
2003-06-01,854468.92
2003-07-01,877839.79
2003-08-01,889745.05
2003-09-01,866853.69
2003-10-01,863060.33
2003-11-01,880388.88
2003-12-01,901262.95
2004-01-01,917346.23
2004-02-01,910484.19
2004-03-01,913609.96
2004-04-01,918095.92
2004-05-01,941268.02
2004-06-01,946539.21
2004-07-01,944978.98
2004-08-01,945701.39
2004-09-01,942224.68
2004-10-01,949353.89
2004-11-01,945276.05
2004-12-01,961136.09
2005-01-01,958542.86
2005-02-01,961434.65
2005-03-01,970529.23
2005-04-01,956982.76
2005-05-01,952854.87
2005-06-01,960506.01
2005-07-01,970176.25
2005-08-01,976027.54
2005-09-01,971650.69
2005-10-01,978031.3
2005-11-01,983151.52
2005-12-01,1010240.62
2006-01-01,1022617.57
2006-02-01,1023883.68
2006-03-01,1032060.29
2006-04-01,1019291.28
2006-05-01,1042621.49
2006-06-01,1037934.84
2006-07-01,1045318.25
2006-08-01,1049893.42
2006-09-01,1061646.39
2006-10-01,1061724.39
2006-11-01,1074336.32
2006-12-01,1091255.36
2007-01-01,1102636.37
2007-02-01,1111459.95
2007-03-01,1112960.56
2007-04-01,1106671.09
2007-05-01,1105428.31
2007-06-01,1108049.12
2007-07-01,1110791.71
2007-08-01,1123920.11
2007-09-01,1125937.87
2007-10-01,1152686.61
2007-11-01,1161273.55
2007-12-01,1181418.39
2008-01-01,1173193.13
2008-02-01,1187260.0
2008-03-01,1175814.84
2008-04-01,1187179.5
2008-05-01,1205083.17
2008-06-01,1245468.95
2008-07-01,1258612.6
2008-08-01,1252750.34
2008-09-01,1210130.01
2008-10-01,1169102.57
2008-11-01,1147607.87
2008-12-01,1175202.88
2009-01-01,1192857.29
2009-02-01,1198527.06
2009-03-01,1196634.19
2009-04-01,1217629.67
2009-05-01,1255305.58
2009-06-01,1271909.27
2009-07-01,1309624.96
2009-08-01,1315493.35
2009-09-01,1352484.66
2009-10-01,1359093.2
2009-11-01,1358562.54
2009-12-01,1378128.65
2010-01-01,1354993.66
2010-02-01,1380642.62
2010-03-01,1399577.96
2010-04-01,1405027.69
2010-05-01,1407973.82
2010-06-01,1423889.35
2010-07-01,1446566.97
2010-08-01,1459448.53
2010-09-01,1448230.71
2010-10-01,1452759.58
2010-11-01,1468353.89
2010-12-01,1495284.55
2011-01-01,1496047.48
2011-02-01,1514627.48
2011-03-01,1527057.76
2011-04-01,1539945.02
2011-05-01,1555684.57
2011-06-01,1569058.06
2011-07-01,1573965.23
2011-08-01,1568355.81
2011-09-01,1501918.85
2011-10-01,1557328.59
2011-11-01,1535015.14
2011-12-01,1536153.85
2012-01-01,1571757.02
2012-02-01,1590253.05
2012-03-01,1557626.95
2012-04-01,1534608.97
2012-05-01,1516641.09
2012-06-01,1532365.01
2012-07-01,1534757.32
2012-08-01,1559624.44
2012-09-01,1557624.07
2012-10-01,1567887.31
2012-11-01,1564275.5
2012-12-01,1581280.63
2013-01-01,1599520.85
2013-02-01,1631793.22
2013-03-01,1623965.4
2013-04-01,1635030.71
2013-05-01,1618268.69
2013-06-01,1617045.25
2013-07-01,1614285.77
2013-08-01,1615203.05
2013-09-01,1656896.58
2013-10-01,1683156.11
2013-11-01,1647842.63
2013-12-01,1660187.02
2014-01-01,1650951.25
2014-02-01,1686848.5
2014-03-01,1706644.69
2014-04-01,1716892.6
2014-05-01,1750829.66
2014-06-01,1779742.89
2014-07-01,1799679.43
2014-08-01,1838332.58
2014-09-01,1850280.06
2014-10-01,1878610.91
2014-11-01,1891087.24
2014-12-01,1915773.07
2015-01-01,1934268.91
2015-02-01,1927287.63
2015-03-01,1919732.26
2015-04-01,1972169.01
2015-05-01,1984129.32
2015-06-01,2033575.55
2015-07-01,2043298.54
2015-08-01,2034274.14
2015-09-01,2029610.73
2015-10-01,2094869.64
2015-11-01,2160879.33
2015-12-01,2272217.17
2016-01-01,2286788.39
2016-02-01,2360392.03
2016-03-01,2423128.13
2016-04-01,2458650.72
2016-05-01,2493775.18
2016-06-01,2627112.1
2016-07-01,2672668.3
2016-08-01,2742366.38
2016-09-01,2805851.53
2016-10-01,2824324.97
2016-11-01,2831739.36
2016-12-01,2994966.58
2017-01-01,3047147.56
2017-02-01,3109156.92
2017-03-01,3138396.32
2017-04-01,3146590.0
2017-05-01,3199139.69
2017-06-01,3230607.09
2017-07-01,3323550.18
2017-08-01,3367257.37
2017-09-01,3411459.81
2017-10-01,3415082.17
2017-11-01,3453857.69
2017-12-01,3505361.47
2018-01-01,3532846.45
2018-02-01,3560272.77
2018-03-01,3579759.73
2018-04-01,3566365.94
2018-05-01,3540645.07
2018-06-01,3573675.31
2018-07-01,3641522.19
2018-08-01,3595765.86
2018-09-01,3673267.23
2018-10-01,3772984.29
2018-11-01,3778639.62
2018-12-01,3832957.88
2019-01-01,3867946.08
2019-02-01,3899150.46
2019-03-01,3882047.42
2019-04-01,3898797.52
2019-05-01,3941330.33
2019-06-01,3994529.3
2019-07-01,4018959.15
2019-08-01,4095014.42
2019-09-01,4119034.74
2019-10-01,4131475.84
2019-11-01,4190113.83
2019-12-01,4231844.48
2020-01-01,4222098.35
2020-02-01,4279750.33
2020-03-01,4358648.27
2020-04-01,4488713.15
2020-05-01,4638022.09
2020-06-01,4853880.43
2020-07-01,4947120.54
2020-08-01,4730781.08
2020-09-01,4837826.42
2020-10-01,4881049.95
2020-11-01,4896226.11
2020-12-01,4973115.05
2021-01-01,4962494.67
2021-02-01,5004301.39
2021-03-01,5045108.94
2021-04-01,5018717.97
2021-05-01,5053686.92
2021-06-01,5133428.61
2021-07-01,5191114.72
2021-08-01,5212554.57
2021-09-01,5262849.94
2021-10-01,5289723.28
2021-11-01,5316499.79
2021-12-01,5359710.07
2022-01-01,5290734.24
2022-02-01,5245615.23
2022-03-01,5272178.98
2022-04-01,5298813.48
2022-05-01,5365999.75
2022-06-01,5433693.28
2022-07-01,5445972.49
2022-08-01,5511893.48
2022-09-01,5551325.2
2022-10-01,5556504.27
2022-11-01,5629273.99
2022-12-01,5691840.22
2023-01-01,5637180.19
