mes,valor
1998-01-01,383553.42
1998-02-01,389801.68
1998-03-01,398650.15
1998-04-01,403347.27
1998-05-01,399773.41
1998-06-01,425626.1
1998-07-01,434172.44
1998-08-01,434965.81
1998-09-01,438566.41
1998-10-01,453012.08
1998-11-01,482371.68
1998-12-01,507062.72
1999-01-01,582138.49
1999-02-01,595183.25
1999-03-01,583928.03
1999-04-01,604058.11
1999-05-01,563137.19
1999-06-01,579920.25
1999-07-01,584636.99
1999-08-01,605054.15
1999-09-01,617680.19
1999-10-01,632726.39
1999-11-01,642076.05
1999-12-01,621073.69
2000-01-01,628345.33
2000-02-01,630728.25
2000-03-01,640342.55
2000-04-01,646917.1
2000-05-01,693929.55
2000-06-01,702742.89
2000-07-01,718905.03
2000-08-01,723791.27
2000-09-01,731588.52
2000-10-01,737439.27
2000-11-01,736574.12
2000-12-01,745807.35
2001-01-01,751214.25
2001-02-01,758881.03
2001-03-01,780864.83
2001-04-01,789558.26
2001-05-01,807300.23
2001-06-01,823616.02
2001-07-01,829960.84
2001-08-01,848716.31
2001-09-01,875364.79
2001-10-01,901707.25
2001-11-01,890585.3
2001-12-01,885907.19
2002-01-01,906266.93
2002-02-01,904899.76
2002-03-01,906714.79
2002-04-01,929155.62
2002-05-01,956468.85
2002-06-01,999649.75
2002-07-01,1097208.69
2002-08-01,1051398.95
2002-09-01,1163905.46
2002-10-01,1125597.75
2002-11-01,1138161.81
2002-12-01,1132894.04
2003-01-01,1163160.1
2003-02-01,1185306.52
2003-03-01,1174872.38
2003-04-01,1131297.06
2003-05-01,1165283.12
2003-06-01,1170449.67
2003-07-01,1201674.18
2003-08-01,1210777.04
2003-09-01,1230406.64
2003-10-01,1231619.18
2003-11-01,1247151.6
2003-12-01,1228569.29
2004-01-01,1242322.77
2004-02-01,1252450.68
2004-03-01,1274442.07
2004-04-01,1270117.34
2004-05-01,1273139.05
2004-06-01,1294780.76
2004-07-01,1288836.14
2004-08-01,1291815.34
2004-09-01,1299456.22
2004-10-01,1310108.0
2004-11-01,1309107.38
2004-12-01,1331760.7
2005-01-01,1339579.69
2005-02-01,1352211.3
2005-03-01,1387209.78
2005-04-01,1374128.85
2005-05-01,1383126.24
2005-06-01,1398273.99
2005-07-01,1404555.34
2005-08-01,1412062.79
