mes,valor
2001-12-01,51.49
2002-01-01,52.28
2002-02-01,51.43
2002-03-01,51.01
2002-04-01,50.95
2002-05-01,52.17
2002-06-01,54.54
2002-07-01,58.79
2002-08-01,55.91
2002-09-01,62.45
2002-10-01,60.4
2002-11-01,59.85
2002-12-01,59.93
2003-01-01,59.97
2003-02-01,60.26
2003-03-01,58.46
2003-04-01,54.44
2003-05-01,54.96
2003-06-01,54.42
2003-07-01,55.11
2003-08-01,55.49
2003-09-01,54.73
2003-10-01,53.8
2003-11-01,54.22
2003-12-01,54.26
2004-01-01,54.05
2004-02-01,53.8
2004-03-01,53.19
2004-04-01,52.91
2004-05-01,53.45
2004-06-01,52.83
2004-07-01,52.07
2004-08-01,51.44
2004-09-01,50.86
2004-10-01,50.75
2004-11-01,50.05
2004-12-01,50.19
2005-01-01,49.56
2005-02-01,49.3
2005-03-01,49.31
2005-04-01,48.32
2005-05-01,47.94
2005-06-01,48.04
2005-07-01,48.14
2005-08-01,47.95
2005-09-01,47.65
2005-10-01,47.53
2005-11-01,47.42
2005-12-01,47.92
2006-01-01,47.82
2006-02-01,47.78
2006-03-01,47.66
2006-04-01,47.14
2006-05-01,47.02
2006-06-01,46.96
2006-07-01,46.83
2006-08-01,46.62
2006-09-01,46.57
2006-10-01,46.17
2006-11-01,46.01
2006-12-01,46.49
2007-01-01,45.95
2007-02-01,45.86
2007-03-01,45.81
2007-04-01,45.08
2007-05-01,45.23
2007-06-01,44.8
2007-07-01,44.73
2007-08-01,44.09
2007-09-01,44.59
2007-10-01,44.6
2007-11-01,44.11
2007-12-01,44.55
2008-01-01,43.71
2008-02-01,43.79
2008-03-01,43.0
2008-04-01,42.82
2008-05-01,43.03
2008-06-01,42.89
2008-07-01,42.74
2008-08-01,42.02
2008-09-01,39.96
2008-10-01,38.3
2008-11-01,36.95
2008-12-01,37.57
2009-01-01,38.05
2009-02-01,38.02
2009-03-01,38.04
2009-04-01,38.65
2009-05-01,39.66
2009-06-01,39.98
2009-07-01,40.64
2009-08-01,40.63
2009-09-01,41.56
2009-10-01,41.42
2009-11-01,40.94
2009-12-01,40.88
2010-01-01,39.59
2010-02-01,39.82
2010-03-01,39.91
2010-04-01,39.47
2010-05-01,38.97
2010-06-01,38.89
2010-07-01,38.99
2010-08-01,38.76
2010-09-01,38.22
2010-10-01,37.89
2010-11-01,37.77
2010-12-01,37.98
2011-01-01,37.57
2011-02-01,37.49
2011-03-01,37.53
2011-04-01,37.42
2011-05-01,37.25
2011-06-01,37.08
2011-07-01,36.82
2011-08-01,36.55
2011-09-01,34.67
2011-10-01,35.65
2011-11-01,34.76
2011-12-01,34.47
2012-01-01,35.0
2012-02-01,35.15
2012-03-01,34.26
2012-04-01,33.5
2012-05-01,32.77
2012-06-01,32.78
2012-07-01,32.51
2012-08-01,32.6
2012-09-01,32.62
2012-10-01,32.44
2012-11-01,32.08
2012-12-01,32.19
2013-01-01,32.17
2013-02-01,32.59
2013-03-01,32.4
2013-04-01,32.14
2013-05-01,31.51
2013-06-01,31.19
2013-07-01,30.8
2013-08-01,30.58
2013-09-01,31.51
2013-10-01,31.62
2013-11-01,30.58
2013-12-01,30.5
2014-01-01,30.01
2014-02-01,30.36
2014-03-01,30.78
2014-04-01,30.78
2014-05-01,31.1
2014-06-01,31.48
2014-07-01,31.6
2014-08-01,32.14
2014-09-01,32.07
2014-10-01,32.22
2014-11-01,32.18
2014-12-01,32.59
2015-01-01,32.52
2015-02-01,32.3
2015-03-01,31.59
2015-04-01,32.34
2015-05-01,32.39
2015-06-01,33.23
2015-07-01,32.91
2015-08-01,32.46
2015-09-01,32.02
2015-10-01,33.07
2015-11-01,33.9
2015-12-01,35.64
2016-01-01,35.34
2016-02-01,36.29
2016-03-01,38.33
2016-04-01,38.87
2016-05-01,39.08
2016-06-01,41.35
2016-07-01,41.93
2016-08-01,42.81
2016-09-01,43.63
2016-10-01,43.88
2016-11-01,43.99
2016-12-01,46.14
2017-01-01,46.48
2017-02-01,47.27
2017-03-01,47.53
2017-04-01,47.47
2017-05-01,48.01
2017-06-01,48.44
2017-07-01,49.69
2017-08-01,50.1
2017-09-01,50.76
2017-10-01,50.54
2017-11-01,50.85
2017-12-01,51.37
2018-01-01,51.43
2018-02-01,51.58
2018-03-01,51.83
2018-04-01,51.23
2018-05-01,50.66
2018-06-01,50.71
