mes,valor
2001-12-01,67.33
2002-01-01,68.37
2002-02-01,67.76
2002-03-01,67.38
2002-04-01,68.4
2002-05-01,69.78
2002-06-01,71.96
2002-07-01,78.08
2002-08-01,74.04
2002-09-01,81.02
2002-10-01,77.44
2002-11-01,77.34
2002-12-01,76.1
2003-01-01,77.43
2003-02-01,77.88
2003-03-01,76.11
2003-04-01,72.32
2003-05-01,73.71
2003-06-01,73.37
2003-07-01,74.49
2003-08-01,74.29
2003-09-01,74.35
2003-10-01,73.3
2003-11-01,73.41
2003-12-01,71.51
2004-01-01,71.62
2004-02-01,71.77
2004-03-01,72.19
2004-04-01,71.21
2004-05-01,70.59
2004-06-01,70.82
2004-07-01,69.6
2004-08-01,68.88
2004-09-01,68.6
2004-10-01,68.58
2004-11-01,67.71
2004-12-01,68.03
2005-01-01,67.76
2005-02-01,67.77
2005-03-01,68.92
2005-04-01,67.64
2005-05-01,67.49
2005-06-01,67.67
2005-07-01,67.53
2005-08-01,67.29
2005-09-01,67.28
2005-10-01,66.88
2005-11-01,67.51
2005-12-01,66.97
2006-01-01,66.57
2006-02-01,66.83
2006-03-01,66.99
2006-04-01,64.3
2006-05-01,63.43
2006-06-01,64.52
2006-07-01,63.29
2006-08-01,63.58
2006-09-01,64.68
2006-10-01,64.09
2006-11-01,64.51
2006-12-01,64.6
2007-01-01,63.62
2007-02-01,64.7
2007-03-01,64.49
2007-04-01,63.66
2007-05-01,63.99
2007-06-01,64.28
2007-07-01,62.15
2007-08-01,62.67
2007-09-01,62.46
2007-10-01,62.72
2007-11-01,63.17
2007-12-01,63.02
2008-01-01,61.3
2008-02-01,61.89
2008-03-01,61.93
2008-04-01,59.82
2008-05-01,60.03
2008-06-01,61.38
2008-07-01,58.11
2008-08-01,58.33
2008-09-01,58.16
2008-10-01,57.94
2008-11-01,58.44
2008-12-01,61.42
2009-01-01,58.67
2009-02-01,59.56
2009-03-01,60.2
2009-04-01,59.26
2009-05-01,59.13
2009-06-01,61.12
2009-07-01,61.42
2009-08-01,62.97
2009-09-01,63.11
2009-10-01,62.68
2009-11-01,62.68
2009-12-01,64.7
2010-01-01,61.69
2010-02-01,62.11
2010-03-01,62.99
2010-04-01,64.57
2010-05-01,64.92
2010-06-01,64.14
2010-07-01,63.02
2010-08-01,62.49
2010-09-01,62.32
2010-10-01,62.29
2010-11-01,62.18
2010-12-01,62.43
2011-01-01,59.88
2011-02-01,60.31
2011-03-01,60.36
2011-04-01,60.98
2011-05-01,60.46
2011-06-01,61.08
2011-07-01,58.61
2011-08-01,59.1
2011-09-01,59.99
2011-10-01,59.84
2011-11-01,60.29
2011-12-01,60.63
2012-01-01,59.46
2012-02-01,61.14
2012-03-01,60.02
2012-04-01,60.88
2012-05-01,61.61
2012-06-01,62.44
2012-07-01,59.59
2012-08-01,59.21
2012-09-01,59.79
2012-10-01,59.94
2012-11-01,60.45
2012-12-01,61.61
2013-01-01,59.05
2013-02-01,59.3
2013-03-01,59.16
2013-04-01,58.54
2013-05-01,58.08
2013-06-01,58.63
2013-07-01,57.59
2013-08-01,57.97
2013-09-01,57.74
2013-10-01,58.09
2013-11-01,58.88
2013-12-01,59.59
2014-01-01,57.74
2014-02-01,57.78
2014-03-01,57.77
2014-04-01,57.07
2014-05-01,58.05
2014-06-01,59.3
2014-07-01,57.91
2014-08-01,58.06
2014-09-01,58.06
2014-10-01,57.43
2014-11-01,58.84
2014-12-01,61.62
2015-01-01,59.74
2015-02-01,61.48
2015-03-01,63.91
2015-04-01,63.68
2015-05-01,64.33
2015-06-01,65.65
2015-07-01,65.7
2015-08-01,67.52
2015-09-01,69.69
2015-10-01,67.99
2015-11-01,69.21
2015-12-01,71.73
2016-01-01,70.49
2016-02-01,71.56
2016-03-01,72.58
2016-04-01,70.97
2016-05-01,72.25
2016-06-01,73.27
2016-07-01,72.9
2016-08-01,72.34
2016-09-01,74.21
2016-10-01,73.91
2016-11-01,74.75
2016-12-01,77.42
2017-01-01,76.64
2017-02-01,78.03
2017-03-01,79.51
2017-04-01,79.67
2017-05-01,79.07
2017-06-01,80.55
2017-07-01,79.2
2017-08-01,80.95
2017-09-01,81.44
2017-10-01,81.17
2017-11-01,81.82
2017-12-01,82.74
2018-01-01,81.78
2018-02-01,82.42
2018-03-01,83.71
2018-04-01,83.88
2018-05-01,84.94
2018-06-01,85.34
2018-07-01,84.32
2018-08-01,84.46
2018-09-01,84.44
2018-10-01,83.29
2018-11-01,84.08
2018-12-01,84.78
2019-01-01,83.35
2019-02-01,84.31
2019-03-01,84.86
2019-04-01,84.45
2019-05-01,83.6
2019-06-01,84.75
2019-07-01,83.82
2019-08-01,85.21
2019-09-01,86.04
2019-10-01,84.98
2019-11-01,86.57
2019-12-01,87.12
2020-01-01,86.55
2020-02-01,87.05
2020-03-01,85.6
2020-04-01,86.49
2020-05-01,88.2
2020-06-01,90.22
2020-07-01,88.6
2020-08-01,89.46
2020-09-01,90.77
2020-10-01,92.53
2020-11-01,93.82
2020-12-01,96.01
2021-01-01,95.5
2021-02-01,96.72
2021-03-01,95.87
2021-04-01,92.08
2021-05-01,91.32
2021-06-01,91.87
2021-07-01,91.08
2021-08-01,90.77
2021-09-01,89.32
2021-10-01,87.87
2021-11-01,88.3
2021-12-01,88.93
2022-01-01,88.29
2022-02-01,89.13
2022-03-01,86.77
2022-04-01,86.45
2022-05-01,86.65
2022-06-01,87.55
2022-07-01,86.0
2022-08-01,84.74
2022-09-01,83.18
2022-10-01,82.8
2022-11-01,83.52
2022-12-01,83.94
2023-01-01,81.33
2023-02-01,81.87
2023-03-01,81.66
2023-04-01,82.56
2023-05-01,81.97
2023-06-01,83.3
2023-07-01,82.29
2023-08-01,83.13
2023-09-01,81.12
2023-10-01,81.49
2023-11-01,82.48
2023-12-01,84.0
2024-01-01,83.13
2024-02-01,83.97
2024-03-01,84.4
2024-04-01,84.66
2024-05-01,86.22
2024-06-01,87.37
2024-07-01,87.4
2024-08-01,85.81
2024-09-01,84.53
2024-10-01,85.21
2024-11-01,86.12
2024-12-01,87.03
2025-01-01,86.82
2025-02-01,88.26
2025-03-01,87.85
2025-04-01,88.18
2025-05-01,88.0
2025-06-01,89.52
2025-07-01,89.48
2025-08-01,90.81
2025-09-01,90.17
2025-10-01,90.67
2025-11-01,92.29
2025-12-01,93.33
2026-01-01,92.68
2026-02-01,93.91
2026-03-01,91.8
2026-04-01,92.76
2026-05-01,94.25
2026-06-01,95.76
