mes,valor
1995-01-01,6.59
1995-02-01,6.21
1995-03-01,4.93
1995-04-01,3.63
1995-05-01,2.1
1995-06-01,0.52
1995-07-01,0.4
1995-08-01,0.66
1995-09-01,1.0
1995-10-01,1.32
1995-11-01,1.51
1995-12-01,2.06
1996-01-01,2.43
1996-02-01,2.27
1996-03-01,2.11
1996-04-01,2.68
1996-05-01,2.85
1996-06-01,2.82
1996-07-01,2.67
1996-08-01,2.75
1996-09-01,2.61
1996-10-01,2.7
1996-11-01,2.58
1996-12-01,2.24
1997-01-01,2.26
1997-02-01,2.14
1997-03-01,2.4
1997-04-01,2.17
1997-05-01,2.18
1997-06-01,2.07
1997-07-01,2.17
1997-08-01,1.87
1997-09-01,1.98
1997-10-01,2.02
1997-11-01,2.03
1997-12-01,2.24
1998-01-01,2.27
1998-02-01,2.51
1998-03-01,2.42
1998-04-01,2.57
1998-05-01,2.84
1998-06-01,3.29
1998-07-01,3.37
1998-08-01,3.32
1998-09-01,3.71
1998-10-01,3.97
1998-11-01,4.48
1998-12-01,4.5
1999-01-01,4.22
1999-02-01,4.11
1999-03-01,4.63
1999-04-01,4.54
1999-05-01,4.64
1999-06-01,4.01
1999-07-01,3.91
1999-08-01,4.11
1999-09-01,3.22
1999-10-01,3.04
1999-11-01,2.32
1999-12-01,2.42
2000-01-01,2.45
2000-02-01,2.47
2000-03-01,1.89
2000-04-01,1.79
2000-05-01,1.54
2000-06-01,1.77
2000-07-01,1.89
2000-08-01,1.61
2000-09-01,1.82
2000-10-01,1.95
2000-11-01,2.09
2000-12-01,2.09
2001-01-01,2.25
2001-02-01,2.08
2001-03-01,1.92
2001-04-01,1.71
2001-05-01,1.19
2001-06-01,1.25
2001-07-01,1.15
2001-08-01,1.34
2001-09-01,1.27
2001-10-01,1.07
2001-11-01,1.34
2001-12-01,1.92
2002-01-01,1.52
2002-02-01,1.73
2002-03-01,2.11
2002-04-01,2.14
2002-05-01,2.59
2002-06-01,2.15
2002-07-01,1.37
2002-08-01,1.88
2002-09-01,1.33
2002-10-01,1.56
2002-11-01,1.18
2002-12-01,0.67
2003-01-01,1.11
2003-02-01,1.02
2003-03-01,1.11
2003-04-01,0.7
2003-05-01,0.96
2003-06-01,1.55
2003-07-01,2.66
2003-08-01,2.65
2003-09-01,3.38
2003-10-01,2.97
2003-11-01,3.25
2003-12-01,3.62
2004-01-01,3.34
2004-02-01,3.25
2004-03-01,2.96
2004-04-01,3.21
2004-05-01,2.84
2004-06-01,2.38
2004-07-01,1.94
2004-08-01,1.65
2004-09-01,1.49
2004-10-01,1.6
2004-11-01,1.57
2004-12-01,1.38
2005-01-01,1.4
2005-02-01,1.62
2005-03-01,1.75
2005-04-01,1.54
2005-05-01,1.93
2005-06-01,2.29
2005-07-01,2.43
2005-08-01,2.6
2005-09-01,3.09
2005-10-01,3.13
2005-11-01,3.32
2005-12-01,3.38
2006-01-01,3.88
2006-02-01,3.88
2006-03-01,3.96
2006-04-01,4.03
2006-05-01,3.65
2006-06-01,3.62
2006-07-01,3.59
2006-08-01,3.49
2006-09-01,3.25
2006-10-01,3.14
2006-11-01,3.05
2006-12-01,3.09
2007-01-01,2.5
2007-02-01,2.41
2007-03-01,2.49
2007-04-01,2.42
2007-05-01,2.74
2007-06-01,2.51
2007-07-01,2.52
2007-08-01,2.42
2007-09-01,2.44
2007-10-01,2.35
2007-11-01,2.12
2007-12-01,2.19
2008-01-01,1.82
2008-02-01,1.84
2008-03-01,1.43
2008-04-01,1.34
2008-05-01,1.17
2008-06-01,1.1
2008-07-01,0.93
2008-08-01,0.73
2008-09-01,0.39
2008-10-01,0.0
2008-11-01,0.18
2008-12-01,0.8
2009-01-01,1.43
2009-02-01,1.45
2009-03-01,1.77
2009-04-01,2.07
2009-05-01,2.25
2009-06-01,2.57
2009-07-01,2.91
2009-08-01,3.23
2009-09-01,3.94
2009-10-01,4.25
2009-11-01,4.03
2009-12-01,3.22
2010-01-01,2.85
2010-02-01,2.87
2010-03-01,3.04
2010-04-01,2.71
2010-05-01,2.69
2010-06-01,2.51
2010-07-01,2.46
2010-08-01,2.43
2010-09-01,1.37
2010-10-01,1.39
2010-11-01,1.58
2010-12-01,1.18
2011-01-01,1.24
2011-02-01,1.25
2011-03-01,0.97
2011-04-01,1.11
2011-05-01,1.12
2011-06-01,1.11
2011-07-01,0.94
2011-08-01,1.12
2011-09-01,1.62
2011-10-01,1.64
2011-11-01,1.6
2011-12-01,2.0
2012-01-01,1.91
2012-02-01,1.88
2012-03-01,2.0
2012-04-01,2.01
2012-05-01,1.92
2012-06-01,1.92
2012-07-01,1.94
2012-08-01,1.73
2012-09-01,1.68
2012-10-01,1.59
2012-11-01,1.83
2012-12-01,1.27
2013-01-01,1.11
2013-02-01,1.39
2013-03-01,1.46
2013-04-01,1.57
2013-05-01,1.6
2013-06-01,1.68
