mes,valor
2002-11-01,3.8
2002-12-01,4.42
2003-01-01,4.93
2003-02-01,5.12
2003-03-01,5.38
2003-04-01,4.97
2003-05-01,5.15
2003-06-01,5.39
2003-07-01,5.91
2003-08-01,5.92
2003-09-01,5.97
2003-10-01,5.55
2003-11-01,5.64
2003-12-01,5.18
2004-01-01,4.6
2004-02-01,4.33
2004-03-01,4.0
2004-04-01,4.29
2004-05-01,4.01
2004-06-01,3.7
2004-07-01,3.34
2004-08-01,3.11
2004-09-01,3.05
2004-10-01,3.1
2004-11-01,3.0
2004-12-01,2.88
2005-01-01,2.78
2005-02-01,2.93
2005-03-01,2.98
2005-04-01,2.74
2005-05-01,2.89
2005-06-01,3.1
2005-07-01,3.13
2005-08-01,3.14
2005-09-01,3.31
2005-10-01,3.32
2005-11-01,3.45
2005-12-01,3.54
2006-01-01,4.06
2006-02-01,4.12
2006-03-01,4.11
2006-04-01,4.02
2006-05-01,3.71
2006-06-01,3.72
2006-07-01,3.8
2006-08-01,3.71
2006-09-01,3.65
2006-10-01,3.51
2006-11-01,3.42
2006-12-01,3.57
2007-01-01,3.01
2007-02-01,2.85
2007-03-01,2.9
2007-04-01,2.83
2007-05-01,3.08
2007-06-01,2.82
2007-07-01,2.78
2007-08-01,2.7
2007-09-01,2.85
2007-10-01,2.86
2007-11-01,2.7
2007-12-01,2.74
2008-01-01,2.5
2008-02-01,2.55
2008-03-01,2.21
2008-04-01,2.25
2008-05-01,2.18
2008-06-01,2.31
2008-07-01,2.28
2008-08-01,2.22
2008-09-01,1.74
2008-10-01,1.32
2008-11-01,1.52
2008-12-01,1.99
2009-01-01,2.46
2009-02-01,2.43
2009-03-01,2.68
2009-04-01,2.85
2009-05-01,2.93
2009-06-01,3.02
2009-07-01,3.19
2009-08-01,3.32
2009-09-01,4.01
2009-10-01,4.28
2009-11-01,3.96
2009-12-01,3.19
2010-01-01,2.86
2010-02-01,2.94
2010-03-01,3.2
2010-04-01,2.96
2010-05-01,3.07
2010-06-01,3.12
2010-07-01,3.12
2010-08-01,3.16
2010-09-01,2.21
2010-10-01,2.32
2010-11-01,2.58
2010-12-01,2.41
2011-01-01,2.47
2011-02-01,2.45
2011-03-01,2.17
2011-04-01,2.32
2011-05-01,2.27
2011-06-01,2.05
2011-07-01,1.78
2011-08-01,1.91
2011-09-01,2.39
2011-10-01,2.37
2011-11-01,2.26
2011-12-01,2.47
2012-01-01,2.27
2012-02-01,2.19
2012-03-01,2.26
2012-04-01,2.27
2012-05-01,2.29
2012-06-01,2.44
2012-07-01,2.56
2012-08-01,2.52
2012-09-01,2.57
2012-10-01,2.5
2012-11-01,2.73
2012-12-01,2.26
2013-01-01,2.22
2013-02-01,2.5
2013-03-01,2.59
2013-04-01,2.65
2013-05-01,2.6
2013-06-01,2.56
2013-07-01,2.71
2013-08-01,2.82
2013-09-01,3.0
2013-10-01,3.1
2013-11-01,2.67
2013-12-01,2.96
2014-01-01,3.27
2014-02-01,2.98
2014-03-01,2.9
2014-04-01,2.83
2014-05-01,3.13
2014-06-01,3.27
2014-07-01,3.46
2014-08-01,3.6
2014-09-01,4.39
2014-10-01,4.48
2014-11-01,5.18
2014-12-01,5.95
2015-01-01,5.7
2015-02-01,6.53
2015-03-01,7.45
2015-04-01,7.16
2015-05-01,7.61
2015-06-01,7.83
2015-07-01,8.48
2015-08-01,8.89
2015-09-01,9.01
2015-10-01,9.19
2015-11-01,9.19
2015-12-01,10.22
2016-01-01,10.73
2016-02-01,10.6
2016-03-01,9.59
2016-04-01,9.96
2016-05-01,9.93
2016-06-01,9.81
2016-07-01,9.47
2016-08-01,9.53
2016-09-01,9.32
