mes,valor
2002-11-01,7.1
2002-12-01,7.61
2003-01-01,8.18
2003-02-01,8.48
2003-03-01,8.72
2003-04-01,8.54
2003-05-01,8.76
2003-06-01,8.81
2003-07-01,9.33
2003-08-01,9.47
2003-09-01,9.33
2003-10-01,8.89
2003-11-01,9.0
2003-12-01,8.42
2004-01-01,7.95
2004-02-01,7.66
2004-03-01,7.43
2004-04-01,7.57
2004-05-01,7.34
2004-06-01,7.29
2004-07-01,6.94
2004-08-01,6.79
2004-09-01,6.7
2004-10-01,6.73
2004-11-01,6.51
2004-12-01,6.56
2005-01-01,6.56
2005-02-01,6.57
2005-03-01,6.7
2005-04-01,6.82
2005-05-01,6.9
2005-06-01,7.1
2005-07-01,7.15
2005-08-01,7.16
2005-09-01,7.24
2005-10-01,7.29
2005-11-01,7.36
2005-12-01,7.28
2006-01-01,7.48
2006-02-01,7.5
2006-03-01,7.4
2006-04-01,7.33
2006-05-01,7.0
2006-06-01,7.05
2006-07-01,7.04
2006-08-01,7.07
2006-09-01,6.88
2006-10-01,6.8
2006-11-01,6.7
2006-12-01,6.72
2007-01-01,6.5
2007-02-01,6.35
2007-03-01,6.32
2007-04-01,6.24
2007-05-01,6.53
2007-06-01,6.21
2007-07-01,6.17
2007-08-01,5.94
2007-09-01,6.06
2007-10-01,6.1
2007-11-01,6.05
2007-12-01,5.98
2008-01-01,5.89
2008-02-01,5.99
2008-03-01,5.85
2008-04-01,5.86
2008-05-01,5.78
2008-06-01,5.93
2008-07-01,6.01
2008-08-01,5.99
2008-09-01,5.59
2008-10-01,5.3
2008-11-01,5.21
2008-12-01,5.32
2009-01-01,5.35
2009-02-01,5.17
2009-03-01,5.24
2009-04-01,5.16
2009-05-01,5.02
2009-06-01,4.89
2009-07-01,4.78
2009-08-01,4.78
2009-09-01,5.08
2009-10-01,5.22
2009-11-01,5.29
2009-12-01,5.13
2010-01-01,5.04
2010-02-01,5.09
2010-03-01,5.08
2010-04-01,5.05
2010-05-01,5.09
2010-06-01,5.09
2010-07-01,5.04
2010-08-01,5.04
2010-09-01,4.96
2010-10-01,4.93
2010-11-01,4.95
2010-12-01,5.03
2011-01-01,5.1
2011-02-01,5.16
2011-03-01,5.2
2011-04-01,5.27
2011-05-01,5.35
2011-06-01,5.36
2011-07-01,5.36
2011-08-01,5.44
2011-09-01,5.42
2011-10-01,5.48
2011-11-01,5.43
2011-12-01,5.41
2012-01-01,5.37
2012-02-01,5.31
2012-03-01,5.27
2012-04-01,5.18
2012-05-01,5.07
2012-06-01,4.97
2012-07-01,4.9
2012-08-01,4.8
2012-09-01,4.69
2012-10-01,4.57
2012-11-01,4.5
2012-12-01,4.44
2013-01-01,4.46
2013-02-01,4.48
2013-03-01,4.41
2013-04-01,4.37
2013-05-01,4.36
2013-06-01,4.36
2013-07-01,4.44
2013-08-01,4.46
2013-09-01,4.42
2013-10-01,4.4
2013-11-01,4.62
2013-12-01,4.67
2014-01-01,4.77
2014-02-01,4.56
2014-03-01,4.48
2014-04-01,4.52
2014-05-01,4.5
2014-06-01,4.5
2014-07-01,4.56
2014-08-01,4.45
2014-09-01,4.94
2014-10-01,4.98
2014-11-01,5.02
2014-12-01,5.39
2015-01-01,5.16
2015-02-01,5.91
2015-03-01,6.78
2015-04-01,6.43
2015-05-01,6.95
2015-06-01,7.06
2015-07-01,7.62
2015-08-01,8.15
2015-09-01,8.58
2015-10-01,8.5
2015-11-01,8.31
2015-12-01,8.37
2016-01-01,8.99
2016-02-01,8.52
2016-03-01,7.34
2016-04-01,7.66
2016-05-01,7.46
2016-06-01,7.34
2016-07-01,6.96
2016-08-01,6.78
2016-09-01,6.28
2016-10-01,6.56
2016-11-01,6.81
2016-12-01,6.49
2017-01-01,6.15
2017-02-01,6.14
2017-03-01,6.8
2017-04-01,6.86
2017-05-01,6.73
2017-06-01,6.85
2017-07-01,6.64
2017-08-01,6.54
2017-09-01,6.39
2017-10-01,6.35
2017-11-01,6.13
2017-12-01,6.09
2018-01-01,5.93
2018-02-01,5.87
2018-03-01,5.68
2018-04-01,5.66
2018-05-01,5.7
2018-06-01,5.85
2018-07-01,5.78
2018-08-01,6.09
2018-09-01,5.81
2018-10-01,5.46
2018-11-01,5.52
2018-12-01,5.41
2019-01-01,5.29
2019-02-01,5.28
2019-03-01,5.43
2019-04-01,5.48
2019-05-01,5.37
2019-06-01,4.98
2019-07-01,4.98
2019-08-01,4.82
2019-09-01,4.94
2019-10-01,5.01
2019-11-01,5.02
2019-12-01,4.97
2020-01-01,5.17
2020-02-01,5.12
2020-03-01,5.26
2020-04-01,5.11
2020-05-01,4.8
2020-06-01,4.85
2020-07-01,4.55
2020-08-01,4.33
2020-09-01,4.49
2020-10-01,4.66
2020-11-01,4.16
2020-12-01,4.11
2021-01-01,4.11
2021-02-01,4.08
2021-03-01,3.92
2021-04-01,3.5
2021-05-01,3.6
2021-06-01,3.4
2021-07-01,3.82
