mes,valor
1995-01-01,-3.32
1995-02-01,-2.58
1995-03-01,-2.68
1995-04-01,-2.85
1995-05-01,-3.04
1995-06-01,-2.56
1995-07-01,-2.31
1995-08-01,-1.98
1995-09-01,-1.67
1995-10-01,-1.25
1995-11-01,-1.05
1995-12-01,-0.47
1996-01-01,-0.15
1996-02-01,-0.38
1996-03-01,-0.6
1996-04-01,-0.05
1996-05-01,0.14
1996-06-01,0.1
1996-07-01,-0.04
1996-08-01,0.07
1996-09-01,-0.05
1996-10-01,0.07
1996-11-01,-0.02
1996-12-01,-0.34
1997-01-01,-0.25
1997-02-01,-0.31
1997-03-01,0.0
1997-04-01,-0.18
1997-05-01,-0.14
1997-06-01,-0.19
1997-07-01,-0.04
1997-08-01,-0.29
1997-09-01,-0.1
1997-10-01,0.02
1997-11-01,0.01
1997-12-01,0.25
1998-01-01,0.11
1998-02-01,0.16
1998-03-01,-0.08
1998-04-01,-0.18
1998-05-01,-0.08
1998-06-01,0.13
1998-07-01,0.02
1998-08-01,-0.22
1998-09-01,-0.2
1998-10-01,-0.35
1998-11-01,-0.2
1998-12-01,-0.5
1999-01-01,-0.69
1999-02-01,-0.86
1999-03-01,-0.85
1999-04-01,-0.86
1999-05-01,-0.88
1999-06-01,-1.49
1999-07-01,-1.8
1999-08-01,-1.65
1999-09-01,-2.1
1999-10-01,-2.16
1999-11-01,-2.31
1999-12-01,-2.08
2000-01-01,-1.97
2000-02-01,-2.01
2000-03-01,-2.14
2000-04-01,-2.22
2000-05-01,-2.47
2000-06-01,-2.26
2000-07-01,-1.95
2000-08-01,-2.07
2000-09-01,-1.9
2000-10-01,-1.69
2000-11-01,-1.82
2000-12-01,-1.7
2001-01-01,-1.81
2001-02-01,-1.69
2001-03-01,-1.58
2001-04-01,-1.91
2001-05-01,-1.95
2001-06-01,-1.92
2001-07-01,-1.98
2001-08-01,-1.79
2001-09-01,-1.8
2001-10-01,-2.04
2001-11-01,-1.94
2001-12-01,-1.67
2002-01-01,-1.99
2002-02-01,-2.06
2002-03-01,-1.93
2002-04-01,-1.85
2002-05-01,-1.68
2002-06-01,-1.68
2002-07-01,-1.72
2002-08-01,-1.63
2002-09-01,-1.89
2002-10-01,-2.04
2002-11-01,-2.06
2002-12-01,-2.14
2003-01-01,-2.1
2003-02-01,-2.24
2003-03-01,-2.28
2003-04-01,-2.54
2003-05-01,-2.61
2003-06-01,-2.53
2003-07-01,-2.58
2003-08-01,-2.63
2003-09-01,-2.47
2003-10-01,-2.46
2003-11-01,-2.47
2003-12-01,-2.26
2004-01-01,-2.26
2004-02-01,-2.26
2004-03-01,-2.38
2004-04-01,-2.2
2004-05-01,-2.25
2004-06-01,-2.46
2004-07-01,-2.47
2004-08-01,-2.5
2004-09-01,-2.48
2004-10-01,-2.5
2004-11-01,-2.48
2004-12-01,-2.68
2005-01-01,-2.72
2005-02-01,-2.56
2005-03-01,-2.6
2005-04-01,-2.9
2005-05-01,-2.76
2005-06-01,-2.77
2005-07-01,-2.83
2005-08-01,-2.84
2005-09-01,-2.76
2005-10-01,-2.77
2005-11-01,-2.65
2005-12-01,-2.57
2006-01-01,-2.31
2006-02-01,-2.34
2006-03-01,-2.25
2006-04-01,-2.33
2006-05-01,-2.35
2006-06-01,-2.37
2006-07-01,-2.26
2006-08-01,-2.36
2006-09-01,-2.21
2006-10-01,-2.25
2006-11-01,-2.21
2006-12-01,-2.13
2007-01-01,-2.46
2007-02-01,-2.41
2007-03-01,-2.31
2007-04-01,-2.23
2007-05-01,-2.29
2007-06-01,-2.21
2007-07-01,-2.24
2007-08-01,-2.07
2007-09-01,-2.09
2007-10-01,-2.15
2007-11-01,-2.31
2007-12-01,-2.19
2008-01-01,-2.34
2008-02-01,-2.37
2008-03-01,-2.6
2008-04-01,-2.64
2008-05-01,-2.6
2008-06-01,-2.62
2008-07-01,-2.68
2008-08-01,-2.78
2008-09-01,-2.88
2008-10-01,-2.99
2008-11-01,-2.7
2008-12-01,-2.29
2009-01-01,-1.9
2009-02-01,-1.79
2009-03-01,-1.62
2009-04-01,-1.42
2009-05-01,-1.25
2009-06-01,-0.99
2009-07-01,-0.8
2009-08-01,-0.69
2009-09-01,-0.28
2009-10-01,-0.18
2009-11-01,-0.6
2009-12-01,-1.27
2010-01-01,-1.52
2010-02-01,-1.45
2010-03-01,-1.15
2010-04-01,-1.3
2010-05-01,-1.25
2010-06-01,-1.28
2010-07-01,-1.24
2010-08-01,-1.21
2010-09-01,-2.09
2010-10-01,-1.96
2010-11-01,-1.7
2010-12-01,-2.03
2011-01-01,-2.01
2011-02-01,-2.07
2011-03-01,-2.39
2011-04-01,-2.33
2011-05-01,-2.44
2011-06-01,-2.63
2011-07-01,-2.85
2011-08-01,-2.79
2011-09-01,-2.31
2011-10-01,-2.39
2011-11-01,-2.44
2011-12-01,-2.13
2012-01-01,-2.25
2012-02-01,-2.3
2012-03-01,-2.23
2012-04-01,-2.13
2012-05-01,-2.05
2012-06-01,-1.87
2012-07-01,-1.7
2012-08-01,-1.66
2012-09-01,-1.55
2012-10-01,-1.5
2012-11-01,-1.27
2012-12-01,-1.79
2013-01-01,-1.89
2013-02-01,-1.63
2013-03-01,-1.48
2013-04-01,-1.38
2013-05-01,-1.44
2013-06-01,-1.42
2013-07-01,-1.4
2013-08-01,-1.37
2013-09-01,-1.13
2013-10-01,-1.03
2013-11-01,-1.68
2013-12-01,-1.41
2014-01-01,-1.15
2014-02-01,-1.21
2014-03-01,-1.23
2014-04-01,-1.4
2014-05-01,-1.1
2014-06-01,-1.02
2014-07-01,-0.91
2014-08-01,-0.7
2014-09-01,-0.51
2014-10-01,-0.5
2014-11-01,0.11
2014-12-01,0.35
2015-01-01,0.4
2015-02-01,0.45
2015-03-01,0.48
2015-04-01,0.58
2015-05-01,0.54
2015-06-01,0.64
2015-07-01,0.71
2015-08-01,0.62
2015-09-01,0.38
2015-10-01,0.67
2015-11-01,0.92
2015-12-01,1.95
2016-01-01,1.76
2016-02-01,2.08
2016-03-01,2.25
2016-04-01,2.28
2016-05-01,2.41
2016-06-01,2.43
2016-07-01,2.52
2016-08-01,2.75
2016-09-01,3.06
2016-10-01,2.22
2016-11-01,2.5
2016-12-01,2.54
2017-01-01,2.45
2017-02-01,2.47
2017-03-01,2.5
2017-04-01,2.45
2017-05-01,2.67
2017-06-01,2.8
2017-07-01,2.83
2017-08-01,2.63
2017-09-01,2.55
2017-10-01,3.06
2017-11-01,2.45
2017-12-01,1.8
2018-01-01,1.63
2018-02-01,1.48
2018-03-01,1.68
2018-04-01,1.76
2018-05-01,1.44
2018-06-01,1.36
2018-07-01,1.19
2018-08-01,1.34
2018-09-01,1.36
2018-10-01,1.28
2018-11-01,1.51
2018-12-01,1.66
2019-01-01,1.67
2019-02-01,1.68
2019-03-01,1.6
2019-04-01,1.59
2019-05-01,1.6
2019-06-01,1.56
2019-07-01,1.54
2019-08-01,1.47
2019-09-01,1.41
2019-10-01,1.43
2019-11-01,1.44
2019-12-01,1.2
2020-01-01,1.06
2020-02-01,1.14
2020-03-01,1.15
2020-04-01,2.48
2020-05-01,4.02
2020-06-01,6.48
2020-07-01,7.64
2020-08-01,8.71
2020-09-01,9.4
2020-10-01,9.53
2020-11-01,9.5
2020-12-01,9.79
2021-01-01,9.74
2021-02-01,9.57
2021-03-01,9.09
2021-04-01,7.55
2021-05-01,6.12
2021-06-01,4.59
2021-07-01,3.68
2021-08-01,2.63
2021-09-01,1.73
2021-10-01,1.34
2021-11-01,1.06
2021-12-01,0.4
2022-01-01,0.02
2022-02-01,-0.02
2022-03-01,0.11
