mes,valor
2002-11-01,-3.31
2002-12-01,-3.19
2003-01-01,-3.25
2003-02-01,-3.36
2003-03-01,-3.33
2003-04-01,-3.57
2003-05-01,-3.61
2003-06-01,-3.42
2003-07-01,-3.42
2003-08-01,-3.56
2003-09-01,-3.35
2003-10-01,-3.34
2003-11-01,-3.35
2003-12-01,-3.24
2004-01-01,-3.35
2004-02-01,-3.33
2004-03-01,-3.43
2004-04-01,-3.28
2004-05-01,-3.33
2004-06-01,-3.59
2004-07-01,-3.61
2004-08-01,-3.68
2004-09-01,-3.65
2004-10-01,-3.63
2004-11-01,-3.51
2004-12-01,-3.69
2005-01-01,-3.78
2005-02-01,-3.64
2005-03-01,-3.73
2005-04-01,-4.08
2005-05-01,-4.01
2005-06-01,-3.99
2005-07-01,-4.02
2005-08-01,-4.02
2005-09-01,-3.94
2005-10-01,-3.97
2005-11-01,-3.91
2005-12-01,-3.74
2006-01-01,-3.42
2006-02-01,-3.38
2006-03-01,-3.29
2006-04-01,-3.31
2006-05-01,-3.29
2006-06-01,-3.32
2006-07-01,-3.24
2006-08-01,-3.35
2006-09-01,-3.22
2006-10-01,-3.28
2006-11-01,-3.28
2006-12-01,-3.15
2007-01-01,-3.49
2007-02-01,-3.5
2007-03-01,-3.41
2007-04-01,-3.41
2007-05-01,-3.45
2007-06-01,-3.39
2007-07-01,-3.4
2007-08-01,-3.24
2007-09-01,-3.21
2007-10-01,-3.24
2007-11-01,-3.34
2007-12-01,-3.24
2008-01-01,-3.39
2008-02-01,-3.43
2008-03-01,-3.63
2008-04-01,-3.61
2008-05-01,-3.6
2008-06-01,-3.62
2008-07-01,-3.72
2008-08-01,-3.77
2008-09-01,-3.85
2008-10-01,-3.98
2008-11-01,-3.69
2008-12-01,-3.33
2009-01-01,-2.89
2009-02-01,-2.74
2009-03-01,-2.56
2009-04-01,-2.3
2009-05-01,-2.09
2009-06-01,-1.87
2009-07-01,-1.6
2009-08-01,-1.46
2009-09-01,-1.07
2009-10-01,-0.94
2009-11-01,-1.33
2009-12-01,-1.94
2010-01-01,-2.18
2010-02-01,-2.15
2010-03-01,-1.88
2010-04-01,-2.09
2010-05-01,-2.02
2010-06-01,-1.96
2010-07-01,-1.91
2010-08-01,-1.88
2010-09-01,-2.75
2010-10-01,-2.61
2010-11-01,-2.37
2010-12-01,-2.62
2011-01-01,-2.63
2011-02-01,-2.72
2011-03-01,-3.03
2011-04-01,-2.95
2011-05-01,-3.08
2011-06-01,-3.31
2011-07-01,-3.58
2011-08-01,-3.53
2011-09-01,-3.03
2011-10-01,-3.1
2011-11-01,-3.17
2011-12-01,-2.94
2012-01-01,-3.1
2012-02-01,-3.12
2012-03-01,-3.02
2012-04-01,-2.91
2012-05-01,-2.78
2012-06-01,-2.53
2012-07-01,-2.33
2012-08-01,-2.28
2012-09-01,-2.12
2012-10-01,-2.07
2012-11-01,-1.77
2012-12-01,-2.18
2013-01-01,-2.25
2013-02-01,-1.98
2013-03-01,-1.82
2013-04-01,-1.72
2013-05-01,-1.77
2013-06-01,-1.81
2013-07-01,-1.73
2013-08-01,-1.65
2013-09-01,-1.43
2013-10-01,-1.3
2013-11-01,-1.95
2013-12-01,-1.71
2014-01-01,-1.51
2014-02-01,-1.59
2014-03-01,-1.57
2014-04-01,-1.68
2014-05-01,-1.37
2014-06-01,-1.23
2014-07-01,-1.1
2014-08-01,-0.84
2014-09-01,-0.55
2014-10-01,-0.5
2014-11-01,0.16
2014-12-01,0.56
2015-01-01,0.54
2015-02-01,0.62
2015-03-01,0.67
2015-04-01,0.73
2015-05-01,0.65
2015-06-01,0.77
2015-07-01,0.86
2015-08-01,0.74
2015-09-01,0.43
2015-10-01,0.69
2015-11-01,0.88
2015-12-01,1.86
2016-01-01,1.74
2016-02-01,2.08
2016-03-01,2.25
2016-04-01,2.3
2016-05-01,2.47
2016-06-01,2.47
2016-07-01,2.51
2016-08-01,2.74
2016-09-01,3.04
2016-10-01,2.21
2016-11-01,2.51
2016-12-01,2.48
2017-01-01,2.33
2017-02-01,2.33
2017-03-01,2.33
2017-04-01,2.28
2017-05-01,2.46
2017-06-01,2.6
2017-07-01,2.64
2017-08-01,2.44
2017-09-01,2.35
2017-10-01,2.87
2017-11-01,2.27
2017-12-01,1.68
2018-01-01,1.51
2018-02-01,1.42
2018-03-01,1.62
2018-04-01,1.76
2018-05-01,1.42
2018-06-01,1.32
2018-07-01,1.13
2018-08-01,1.23
2018-09-01,1.27
2018-10-01,1.22
2018-11-01,1.42
2018-12-01,1.55
2019-01-01,1.54
2019-02-01,1.5
2019-03-01,1.4
2019-04-01,1.35
2019-05-01,1.4
2019-06-01,1.39
2019-07-01,1.37
2019-08-01,1.32
2019-09-01,1.26
2019-10-01,1.23
2019-11-01,1.22
2019-12-01,0.84
2020-01-01,0.71
2020-02-01,0.78
2020-03-01,0.85
2020-04-01,2.2
2020-05-01,3.81
2020-06-01,6.18
2020-07-01,7.22
2020-08-01,8.21
2020-09-01,8.77
2020-10-01,8.82
2020-11-01,8.81
2020-12-01,9.24
2021-01-01,9.13
2021-02-01,8.91
2021-03-01,8.4
2021-04-01,6.75
2021-05-01,5.21
2021-06-01,3.66
2021-07-01,2.77
2021-08-01,1.52
2021-09-01,0.61
2021-10-01,0.23
2021-11-01,-0.14
2021-12-01,-0.72
2022-01-01,-1.19
2022-02-01,-1.36
2022-03-01,-1.34
2022-04-01,-1.48
2022-05-01,-1.28
2022-06-01,-2.11
2022-07-01,-2.4
2022-08-01,-1.89
2022-09-01,-1.85
2022-10-01,-1.75
2022-11-01,-1.38
2022-12-01,-1.25
2023-01-01,-1.21
2023-02-01,-0.91
2023-03-01,-0.72
2023-04-01,-0.54
2023-05-01,-0.37
2023-06-01,0.23
2023-07-01,0.76
2023-08-01,0.69
2023-09-01,0.95
2023-10-01,1.06
2023-11-01,1.21
2023-12-01,2.28
2024-01-01,2.23
2024-02-01,2.42
2024-03-01,2.27
2024-04-01,2.38
2024-05-01,2.49
2024-06-01,2.4
2024-07-01,2.25
2024-08-01,2.23
2024-09-01,2.12
2024-10-01,1.92
2024-11-01,1.64
2024-12-01,0.4
2025-01-01,0.39
2025-02-01,0.13
2025-03-01,0.11
2025-04-01,0.05
2025-05-01,-0.2
2025-06-01,-0.15
2025-07-01,0.22
2025-08-01,0.19
2025-09-01,0.27
2025-10-01,0.3
2025-11-01,0.36
2025-12-01,0.43
2026-01-01,0.43
2026-02-01,0.41
2026-03-01,1.06
2026-04-01,0.97
2026-05-01,1.14
2026-06-01,1.19
