codigo_ibge,codigo_tse,nome_municipio,codigo_meso,nome_meso,codigo_micro,nome_micro
3104502,40894,Arinos,1,Noroeste de Minas,1,Unaí
3108206,41637,Bonfinópolis de Minas,1,Noroeste de Minas,1,Unaí
3109303,41858,Buritis,1,Noroeste de Minas,1,Unaí
3109451,41785,Cabeceira Grande,1,Noroeste de Minas,1,Unaí
3122470,42048,Dom Bosco,1,Noroeste de Minas,1,Unaí
3126208,45233,Formoso,1,Noroeste de Minas,1,Unaí
3144375,41106,Natalândia,1,Noroeste de Minas,1,Unaí
3170404,54070,Unaí,1,Noroeste de Minas,1,Unaí
3170479,42463,Uruana de Minas,1,Noroeste de Minas,1,Unaí
3108552,40045,Brasilândia de Minas,1,Noroeste de Minas,2,Paracatu
3128600,45713,Guarda-Mor,1,Noroeste de Minas,2,Paracatu
3136306,47252,João Pinheiro,1,Noroeste de Minas,2,Paracatu
3137106,47414,Lagamar,1,Noroeste de Minas,2,Paracatu
3137536,40347,Lagoa Grande,1,Noroeste de Minas,2,Paracatu
3147006,49395,Paracatu,1,Noroeste de Minas,2,Paracatu
3153400,50679,Presidente Olegário,1,Noroeste de Minas,2,Paracatu
3161700,52337,São Gonçalo do Abaeté,1,Noroeste de Minas,2,Paracatu
3170750,42501,Varjão de Minas,1,Noroeste de Minas,2,Paracatu
3171006,54194,Vazante,1,Noroeste de Minas,2,Paracatu
3108255,41742,Bonito de Minas,2,Norte de Minas,3,Januária
3116159,41882,Chapada Gaúcha,2,Norte de Minas,3,Januária
3117836,41904,Cônego Marinho,2,Norte de Minas,3,Januária
3130051,40240,Icaraí de Minas,2,Norte de Minas,3,Januária
3132107,46418,Itacarambi,2,Norte de Minas,3,Januária
3135209,47031,Januária,2,Norte de Minas,3,Januária
3136959,40940,Juvenília,2,Norte de Minas,3,Januária
3139300,47856,Manga,2,Norte de Minas,3,Januária
3140852,40444,Matias Cardoso,2,Norte de Minas,3,Januária
3142254,41068,Miravânia,2,Norte de Minas,3,Januária
3142700,48534,Montalvânia,2,Norte de Minas,3,Januária
3149150,40541,Pedras de Maria da Cruz,2,Norte de Minas,3,Januária
3150570,41386,Pintópolis,2,Norte de Minas,3,Januária
3161106,52213,São Francisco,2,Norte de Minas,3,Januária
3162450,41602,São João das Missões,2,Norte de Minas,3,Januária
3170529,40886,Urucuia,2,Norte de Minas,3,Januária
3115474,41866,Catuti,2,Norte de Minas,4,Janaúba
3124302,44857,Espinosa,2,Norte de Minas,4,Janaúba
3127339,42102,Gameleiras,2,Norte de Minas,4,Janaúba
3135100,47015,Janaúba,2,Norte de Minas,4,Janaúba
3135050,40282,Jaíba,2,Norte de Minas,4,Janaúba
3139250,40401,Mamonas,2,Norte de Minas,4,Janaúba
3141009,48194,Mato Verde,2,Norte de Minas,4,Janaúba
3142908,48577,Monte Azul,2,Norte de Minas,4,Janaúba
3145059,41165,Nova Porteirinha,2,Norte de Minas,4,Janaúba
3146552,41289,Pai Pedro,2,Norte de Minas,4,Janaúba
3152204,50431,Porteirinha,2,Norte de Minas,4,Janaúba
3154507,50890,Riacho dos Machados,2,Norte de Minas,4,Janaúba
3166956,42382,Serranópolis de Minas,2,Norte de Minas,4,Janaúba
3106655,41726,Berizal,2,Norte de Minas,5,Salinas
3120870,42005,Curral de Dentro,2,Norte de Minas,5,Salinas
3122355,40126,Divisa Alegre,2,Norte de Minas,5,Salinas
3127073,42080,Fruta de Leite,2,Norte de Minas,5,Salinas
3130655,42242,Indaiabira,2,Norte de Minas,5,Salinas
3143450,40460,Montezuma,2,Norte de Minas,5,Salinas
3144656,41122,Ninheira,2,Norte de Minas,5,Salinas
3145372,41181,Novorizonte,2,Norte de Minas,5,Salinas
3155603,51110,Rio Pardo de Minas,2,Norte de Minas,5,Salinas
3156502,51292,Rubelita,2,Norte de Minas,5,Salinas
3157005,51390,Salinas,2,Norte de Minas,5,Salinas
3157377,41483,Santa Cruz de Salinas,2,Norte de Minas,5,Salinas
3160454,41521,Santo Antônio do Retiro,2,Norte de Minas,5,Salinas
3162708,52531,São João do Paraíso,2,Norte de Minas,5,Salinas
3168002,53597,Taiobeiras,2,Norte de Minas,5,Salinas
3170651,42480,Vargem Grande do Rio Pardo,2,Norte de Minas,5,Salinas
3101003,40193,Águas Vermelhas,2,Norte de Minas,5,Salinas
3109402,41874,Buritizeiro,2,Norte de Minas,6,Pirapora
3129608,45918,Ibiaí,2,Norte de Minas,6,Pirapora
3135605,47112,Jequitaí,2,Norte de Minas,6,Pirapora
3137304,47457,Lagoa dos Patos,2,Norte de Minas,6,Pirapora
3138104,47619,Lassance,2,Norte de Minas,6,Pirapora
3151206,50237,Pirapora,2,Norte de Minas,6,Pirapora
3154457,40606,Riachinho,2,Norte de Minas,6,Pirapora
3157609,51519,Santa Fé de Minas,2,Norte de Minas,6,Pirapora
3164209,52833,São Romão,2,Norte de Minas,6,Pirapora
3170800,54151,Várzea da Palma,2,Norte de Minas,6,Pirapora
3108602,41718,Brasília de Minas,2,Norte de Minas,7,Montes Claros
3111150,41807,Campo Azul,2,Norte de Minas,7,Montes Claros
3112703,42536,Capitão Enéas,2,Norte de Minas,7,Montes Claros
