codigo_tse,uf,nome_municipio,codigo_ibge,POP_2022
1120,AC,ACRELÂNDIA,1200013,12707
1570,AC,ASSIS BRASIL,1200054,8157
1058,AC,BRASILÉIA,1200104,25786
1007,AC,BUJARI,1200138,11962
1015,AC,CAPIXABA,1200179,9737
1074,AC,CRUZEIRO DO SUL,1200203,94345
1112,AC,EPITACIOLÂNDIA,1200252,18697
1139,AC,FEIJÓ,1200302,35035
1104,AC,JORDÃO,1200328,11105
1554,AC,MANOEL URBANO,1200344,12246
1040,AC,MARECHAL THAUMATURGO,1200351,16825
1090,AC,MÂNCIO LIMA,1200336,19172
1511,AC,PLÁCIDO DE CASTRO,1200385,16313
1023,AC,PORTO ACRE,1200807,16218
1066,AC,PORTO WALTER,1200393,10706
1392,AC,RIO BRANCO,1200401,364368
1082,AC,RODRIGUES ALVES,1200427,16072
1031,AC,SANTA ROSA DO PURUS,1200435,7672
1457,AC,SENA MADUREIRA,1200500,39746
1538,AC,SENADOR GUIOMARD,1200450,21658
1473,AC,TARAUACÁ,1200609,43072
1490,AC,XAPURI,1200708,18181
27030,AL,ANADIA,2700201,13960
27057,AL,ARAPIRACA,2700300,235085
27073,AL,ATALAIA,2700409,37356
27090,AL,BARRA DE SANTO ANTÔNIO,2700508,16405
27111,AL,BARRA DE SÃO MIGUEL,2700607,7952
27138,AL,BATALHA,2700706,16016
27170,AL,BELO MONTE,2700904,5935
27154,AL,BELÉM,2700805,4589
27197,AL,BOCA DA MATA,2701001,21175
27219,AL,BRANQUINHA,2701100,9474
27235,AL,CACIMBINHAS,2701209,10387
27251,AL,CAJUEIRO,2701308,16035
27081,AL,CAMPESTRE,2701357,6656
27278,AL,CAMPO ALEGRE,2701407,32020
27294,AL,CAMPO GRANDE,2701506,8138
27316,AL,CANAPI,2701605,15434
27332,AL,CAPELA,2701704,15023
27359,AL,CARNEIROS,2701803,8992
27375,AL,CHÃ PRETA,2701902,5908
27391,AL,COITÉ DO NÓIA,2702009,10791
27413,AL,COLÔNIA LEOPOLDINA,2702108,15673
27430,AL,COQUEIRO SECO,2702207,5579
27456,AL,CORURIPE,2702306,49951
28894,AL,CRAÍBAS,2702355,25330
27472,AL,DELMIRO GOUVEIA,2702405,51215
27499,AL,DOIS RIACHOS,2702504,9754
27049,AL,ESTRELA DE ALAGOAS,2702553,15322
27510,AL,FEIRA GRANDE,2702603,22701
27537,AL,FELIZ DESERTO,2702702,3947
27553,AL,FLEXEIRAS,2702801,9520
27570,AL,GIRAU DO PONCIANO,2702900,35899
27596,AL,IBATEGUARA,2703007,13699
27618,AL,IGACI,2703106,23996
27634,AL,IGREJA NOVA,2703205,21227
27650,AL,INHAPI,2703304,15158
27677,AL,JACARÉ DOS HOMENS,2703403,5071
27693,AL,JACUÍPE,2703502,5340
27715,AL,JAPARATINGA,2703601,9307
27731,AL,JARAMATAIA,2703700,4992
27065,AL,JEQUIÁ DA PRAIA,2703759,9480
27758,AL,JOAQUIM GOMES,2703809,17080
27774,AL,JUNDIÁ,2703908,4088
27790,AL,JUNQUEIRO,2704005,23902
27812,AL,LAGOA DA CANOA,2704104,18480
27839,AL,LIMOEIRO DE ANADIA,2704203,24698
