ano,lucro_liquido_r_milhoes,lucro_liquido_r_bi,status,fonte_metodologia
2002,,,gap,Perfil DEST consolidado Demais SPE + Dependentes não localizado
2003,,,gap,Perfil DEST consolidado Demais SPE + Dependentes não localizado
2004,-519.0,-0.519,ok,DEST Perfil: Demais SPE (−592) + Dependentes (+73)
2005,-2688.0,-2.688,ok,DEST Perfil: Demais SPE (−2.234) + Dependentes (−454)
2006,-142.0,-0.142,ok,DEST Perfil: Demais SPE (+204) + Dependentes (−346)
2007,525.0,0.525,ok,DEST Perfil: Demais SPE (+810) + Dependentes (−285)
2008,-102.0,-0.102,ok,DEST Perfil: Demais SPE (+1.464) + Dependentes (−1.566)
2009,-597.0,-0.597,ok,DEST Perfil: Demais SPE (−353) + Dependentes (−244)
2010,1249.0,1.249,ok,DEST Perfil: Demais SPE (+2.154) + Dependentes (−905)
2011,1690.0,1.69,ok,DEST Perfil: Demais SPE (+2.812) + Dependentes (−1.122)
2012,714.8,0.715,estimado,Tesouro BPSU 2017 “Demais” (ex Big5) − Basa − BNB − Finep (Finep 2012 estimado)
2013,-3557.5,-3.558,estimado,Tesouro BPSU 2017 “Demais” (ex Big5) − Basa − BNB − Finep
2014,-4620.2,-4.62,estimado,Tesouro BPSU 2017 “Demais” (ex Big5) − Basa − BNB − Finep
2015,-10485.8,-10.486,ok,Soma empresa a empresa — RAEEF 2019
2016,-5642.9,-5.643,ok,Soma empresa a empresa — RAEEF 2019/2021
2017,-4266.9,-4.267,ok,Soma empresa a empresa — RAEEF 2019/2021
2018,151.2,0.151,ok,Soma empresa a empresa — RAEEF 2019/2021
2019,-147.6,-0.148,parcial,Soma empresa a empresa — RAEEF; Valec N.D. em 2019
2020,-377.9,-0.378,ok,Soma empresa a empresa — Relatório Agregado 2025 Anexo I
2021,903.9,0.904,ok,Soma empresa a empresa — Relatório Agregado 2025 Anexo I
2022,321.0,0.321,ok,Soma empresa a empresa — Relatório Agregado 2025 Anexo I
2023,495.5,0.495,ok,Soma empresa a empresa — Relatório Agregado 2025 Anexo I
2024,-751.1,-0.751,ok,Soma empresa a empresa — Relatório Agregado 2025 Anexo I
2025,,,gap,Relatório Agregado 2026 (ano-base 2025) ainda não publicado
