Cargo/Área,Nome,Assunção,Saída,Situação
Presidente do Banco Central do Brasil,Dênio Chagas Nogueira,12/04/1965,21/03/1967,Exonerado
Diretor,Aldo Baptista Franco da Silva Santos,13/04/1965,17/04/1967,Exonerado
Diretor,Casimiro Antônio Ribeiro,13/04/1965,17/04/1967,Exonerado
Diretor,Luiz Biolchini,13/04/1965,22/06/1966,Exonerado
Diretor,Antônio de Abreu Coutinho,28/06/1966,21/03/1967,Exonerado
Presidente do Banco Central do Brasil,Ruy Aguiar da Silva Leme,31/03/1967,12/02/1968,Exonerado
Diretor,Ary Burger,31/03/1967,28/11/1969,Exonerado
Diretor,Germano de Brito Lyra,24/04/1967,28/11/1969,Exonerado
Diretor,Hélio Marques Vianna,24/04/1967,28/11/1969,Exonerado
Presidente do Banco Central do Brasil,Ary Burger,07/02/1968,21/02/1968,Exonerado
Presidente do Banco Central do Brasil,Ernane Galvêas,21/02/1968,15/03/1974,Exonerado
Diretor,Paulo Hortênsio Pereira Lira,25/03/1968,15/03/1974,Dispensado do encargo
Área Bancária,Luiz de Carvalho e Mello Filho,03/12/1969,15/03/1974,Exonerado
Área Cambial/Externa,Paulo Hortênsio Pereira Lira,03/12/1969,15/03/1974,Dispensado do encargo
Área de Mercado de Capitais,Francisco de Boni Neto,03/12/1969,15/01/1974,Exonerado
Área Administrativa e do Crédito Rural e Industrial,Fernando Roquette Reis,03/12/1969,01/03/1971,Exonerado
Área Administrativa e do Crédito Rural e Industrial,Paulo Yokota,09/03/1971,23/08/1973,Dispensado do encargo
Área de Crédito Rural e Industrial,Paulo Yokota,23/08/1973,15/03/1974,Exonerado
Presidente do Banco Central do Brasil,Paulo Hortênsio Pereira Lira,15/03/1974,15/03/1979,Exonerado
Área de Mercado de Capitais,Sérgio Augusto Ribeiro,19/03/1974,18/02/1975,Dispensado do encargo
Área Bancária,Ernesto Albrecht,19/03/1974,18/02/1975,Dispensado do encargo
Área de Crédito Rural e Industrial,José de Ribamar Melo,19/03/1974,18/02/1975,Dispensado do encargo
Área Cambial/Externa,Fernão Carlos Botelho Bracher,19/03/1974,18/02/1975,Dispensado do encargo
Área de Administração,José Antônio Berardinelli Vieira,31/05/1974,18/02/1975,Dispensado do encargo
Diretor de Administração - Dirad,José Antônio Berardinelli Vieira,18/02/1975,15/03/1979,Exonerado
Diretor de Mercado de Capitais - Dimec,Sérgio Augusto Ribeiro,18/02/1975,14/03/1979,Exonerado
Diretor de Crédito Rural e Industrial - Dicri,José de Ribamar Melo,18/02/1975,14/03/1979,Exonerado
Diretor da Área Externa - Direx,Fernão Carlos Botelho Bracher,18/02/1975,14/03/1979,Dispensado do encargo
Diretor da Área Bancária - Diban,Ernesto Albrecht,18/02/1975,15/03/1979,Exonerado
Presidente do Banco Central do Brasil,Carlos Brandão,15/03/1979,17/08/1979,Exonerado
Diretor de Administração - Dirad,Antônio Augusto dos Reis Veloso,16/03/1979,15/03/1985,Exonerado
Diretor da Área Bancária - Diban,João Ary de Lima Barros,16/03/1979,21/08/1979,Exonerado
Diretor de Crédito Rural e Industrial - Dicri,Celso da Costa Sabóia,16/03/1979,21/08/1979,Exonerado
Diretor da Área Externa - Direx,José Carlos Madeira Serrano,16/03/1979,14/03/1985,Exonerado
Diretor de Mercado de Capitais - Dimec,Luiz Lemos Leite,16/03/1979,21/08/1979,Exonerado
Presidente do Banco Central do Brasil,Ernane Galvêas,17/08/1979,19/01/1980,Exonerado
Diretor de Mercado de Capitais - Dimec,Hermann Wagner Wey,22/08/1979,24/07/1984,Exonerado
Diretor da Área Bancária - Diban,Carlos Geraldo Langoni,22/08/1979,18/01/1980,Dispensado do encargo
Diretor de Crédito Rural e Industrial - Dicri,José Kleber Leite de Castro,22/08/1979,14/03/1985,Exonerado
