ano,lucro_liquido_atribuivel_r_milhoes,lucro_liquido_atribuivel_r_bi,lucro_liquido_consolidado_r_milhoes,lucro_liquido_consolidado_r_bi,norma_contabil,fonte
2002,1100.3,1.1,1100.3,1.1,BR GAAP,"Relatório Anual 2002 (R$ 1.100,3 mi)"
2003,323.0,0.323,323.0,0.323,BR GAAP,Relatório Anual / Folha (R$ 323 mi)
2004,1293.0,1.293,1293.0,1.293,BR GAAP,Série histórica divulgada / RA (R$ 1.293 mi)
2005,974.5,0.975,974.5,0.975,BR GAAP,Relatório Anual 2006 (comparativo 2005)
2006,1161.3,1.161,1161.3,1.161,BR GAAP,"Relatório Anual 2006 (R$ 1.161,3 mi)"
2007,1547.0,1.547,1547.0,1.547,BR GAAP,Release/RA — R$ 1.547 mi
2008,6136.0,6.136,6136.0,6.136,BR GAAP,Release/RA — R$ 6.136 mi
2009,911.467,0.911,1250.139,1.25,IFRS (CVM DFP),CVM DFP 3.11.01 / 3.11
2010,2247.913,2.248,2552.985,2.553,IFRS (CVM DFP),CVM DFP 3.11.01 / 3.11
2011,3732.565,3.733,3762.019,3.762,IFRS (CVM DFP),CVM DFP 3.11.01 / 3.11
2012,-6878.916,-6.879,-6925.652,-6.926,IFRS (CVM DFP),CVM DFP 3.11.01 / 3.11
2013,-6186.948,-6.187,-6191.66,-6.192,IFRS (CVM DFP),CVM DFP 3.11.01 / 3.11
2014,-3031.055,-3.031,-2962.502,-2.963,IFRS (CVM DFP),CVM DFP 3.11.01 / 3.11
2015,-14441.607,-14.442,-14953.658,-14.954,IFRS (CVM DFP),CVM DFP 3.11.01 / 3.11
2016,3425.899,3.426,3513.276,3.513,IFRS (CVM DFP),CVM DFP 3.11.01 / 3.11
2017,-1763.805,-1.764,-1725.691,-1.726,IFRS (CVM DFP),CVM DFP 3.11.01 / 3.11
2018,13262.378,13.262,13347.577,13.348,IFRS (CVM DFP),CVM DFP 3.11.01 / 3.11
2019,11195.037,11.195,11133.42,11.133,IFRS (CVM DFP),CVM DFP 3.11.01 / 3.11
2020,6338.688,6.339,6387.313,6.387,IFRS (CVM DFP),CVM DFP 3.11.01 / 3.11
2021,5646.141,5.646,5713.633,5.714,IFRS (CVM DFP),CVM DFP 3.11.01 / 3.11
2022,3635.377,3.635,3638.382,3.638,IFRS (CVM DFP),CVM DFP 3.11.01 / 3.11
2023,4549.774,4.55,4394.861,4.395,IFRS (CVM DFP),CVM DFP 3.11.01 / 3.11
2024,10378.122,10.378,10380.752,10.381,IFRS (CVM DFP),CVM DFP 3.11.01 / 3.11
2025,6558.475,6.558,6559.659,6.56,IFRS (CVM DFP),CVM DFP 2025 — 3.11.01 / 3.11
