produto,ano,mes,mes_nome,periodo,volume_produzido_brasil_barris,volume_importado_barris,dispendio_importacao_usd,custo_medio_importado_usd_bbl,custo_producao_brasil_usd_bbl,volume_total_proxy_consumo_barris,custo_medio_ponderado_usd_bbl,lucro_bruto_adicional_usd
ASFALTO,2000,1,Janeiro,2000-01,581071.5956989706,39.408078807692306,2250.0,57.094891912386466,25.0,581111.0037777782,25.002176517088106,1264.7980298076923
COQUE,2000,1,Janeiro,2000-01,963613.4260399449,1722607.483054875,7182477.0,4.169537791199295,25.0,2686220.90909482,11.64193627751065,-35882710.07637187
GASOLINA A,2000,1,Janeiro,2000-01,8382492.729128671,26.556975555555557,7418.0,279.32397589785785,25.0,8382519.2861042265,25.000805733381647,6754.075611111111
GASOLINA DE AVIAÇÃO,2000,1,Janeiro,2000-01,19542.43967,0.0,0.0,,25.0,19542.43967,25.0,0.0
GLP,2000,1,Janeiro,2000-01,3481652.6344922255,2800787.184824327,55735007.0,19.8997650739022,25.0,6282439.819316553,22.72625396638305,-14284672.620608171
LUBRIFICANTE,2000,1,Janeiro,2000-01,525450.7765731292,74307.57947212501,3670287.0,49.39317127638149,25.0,599758.3560452543,28.022213021172327,1812597.5131968744
NAFTA,2000,1,Janeiro,2000-01,5660675.428261071,1705601.444210764,44295327.0,25.970502751594967,25.0,7366276.872471835,25.22471201169709,1655290.8947308967
OUTROS ENERGÉTICOS,2000,1,Janeiro,2000-01,59853.831959999996,0.0,0.0,,25.0,59853.831959999996,25.0,0.0
OUTROS NÃO ENERGÉTICOS,2000,1,Janeiro,2000-01,460109.04020330764,1553.8283725899996,703723.0,452.8962222687432,25.0,461662.86857589765,26.440179264873983,664877.29068525
PARAFINA,2000,1,Janeiro,2000-01,71044.77704171027,5516.2324045000005,719978.0,130.5198815431816,25.0,76561.00944621027,32.6027235546894,582072.1898874999
