ano,fonte,m1,m2,m3,m4,m1_fallback,share_m1,share_m2,share_m3,var_m1,var_m2,var_m3,var_m4
1995,antiga,28.493,178.752,225.001,261.170,,10.910,68.443,86.151,,,,
1996,antiga,29.807,188.734,285.941,336.155,,8.867,56.145,85.062,4.614,5.585,27.085,28.711
1997,antiga,47.363,239.775,340.208,405.942,,11.667,59.066,83.807,58.895,27.044,18.978,20.760
1998,antiga,50.707,254.965,376.015,459.308,,11.040,55.511,81.866,7.062,6.335,10.525,13.146
1999,antiga,62.744,274.770,468.728,551.092,,11.385,49.859,85.054,23.739,7.768,24.657,19.983
2000,antiga,74.352,283.785,556.577,652.093,,11.402,43.519,85.352,18.500,3.281,18.742,18.327
2001,nova,83.707,324.301,627.746,752.263,antiga,11.127,43.110,83.448,12.581,14.277,12.787,15.361
2002,nova,110.334,400.342,691.108,800.036,,13.791,50.040,86.385,31.811,23.448,10.094,6.350
2003,nova,112.766,416.248,841.738,953.805,,11.823,43.641,88.251,2.204,3.973,21.796,19.220
2004,nova,129.660,495.043,990.548,1104.058,,11.744,44.838,89.719,14.981,18.930,17.679,15.753
2005,nova,146.745,580.696,1166.453,1298.801,,11.299,44.710,89.810,13.177,17.302,17.758,17.639
2006,nova,176.890,657.427,1365.958,1506.072,,11.745,43.652,90.697,20.542,13.214,17.104,15.959
2007,nova,235.075,779.566,1600.006,1827.748,,12.861,42.652,87.540,32.894,18.578,17.134,21.359
2008,nova,227.167,1086.785,1894.809,2165.027,,10.493,50.197,87.519,-3.364,39.409,18.425,18.453
2009,nova,254.714,1185.866,2196.530,2497.479,,10.199,47.483,87.950,12.126,9.117,15.924,15.356
2010,nova,287.739,1387.912,2681.421,2976.783,,9.666,46.625,90.078,12.966,17.038,22.075,19.192
2011,nova,292.168,1649.901,3126.468,3420.780,,8.541,48.232,91.396,1.539,18.877,16.597,14.915
2012,nova,333.486,1792.891,3609.681,3860.099,,8.639,46.447,93.513,14.142,8.667,15.456,12.843
2013,nova,354.651,1985.468,3947.967,4267.350,,8.311,46.527,92.516,6.347,10.741,9.372,10.550
2014,nova,363.362,2186.472,4438.289,4774.925,,7.610,45.791,92.950,2.456,10.124,12.420,11.894
2015,nova,347.221,2334.143,4854.978,5312.283,,6.536,43.939,91.392,-4.442,6.754,9.388,11.254
2016,nova,363.029,2446.066,5370.571,5831.878,,6.225,41.943,92.090,4.553,4.795,10.620,9.781
2017,nova,383.840,2581.696,5770.355,6226.509,,6.165,41.463,92.674,5.733,5.545,7.444,6.767
2018,nova,410.226,2851.296,6327.699,6760.860,,6.068,42.174,93.593,6.874,10.443,9.659,8.582
2019,nova,447.722,3099.422,6813.474,7256.444,,6.170,42.713,93.895,9.140,8.702,7.677,7.330
2020,nova,641.108,3998.221,8035.558,8446.332,,7.590,47.337,95.137,43.193,28.999,17.936,16.398
2021,nova,653.420,4320.167,8814.965,9555.234,,6.838,45.213,92.253,1.921,8.052,9.699,13.129
2022,nova,645.798,5105.452,9687.095,10709.515,,6.030,47.672,90.453,-1.166,18.177,9.894,12.080
2023,nova,644.359,5904.636,10848.434,11939.585,,5.397,49.454,90.861,-0.223,15.654,11.989,11.486
2024,nova,677.276,6658.393,12100.598,13484.592,,5.023,49.378,89.736,5.108,12.766,11.542,12.940
2025,nova,665.600,7393.639,13310.534,14815.153,,4.493,49.906,89.844,-1.724,11.042,9.999,9.867
2026,nova,662.789,7646.641,13929.983,15762.458,,4.205,48.512,88.374,-0.422,3.422,4.654,6.394
