data,a_vista,a_prazo,poupanca_habitacional,poupanca_rural,adic_a_vista,adic_a_prazo,adic_poupanca,norma,nota
1994-07-01,100.0,20.0,20.0,20.0,,,,Série histórica BCB (compulsorios.xls),
1994-08-01,100.0,30.0,30.0,30.0,,,,Série histórica BCB (compulsorios.xls),
1994-10-01,100.0,30.0,30.0,30.0,,,,Série histórica BCB (compulsorios.xls),
1994-12-01,90.0,27.0,30.0,30.0,,,,Série histórica BCB (compulsorios.xls),
1995-04-01,90.0,30.0,30.0,30.0,,,,Série histórica BCB (compulsorios.xls),
1995-05-01,90.0,30.0,30.0,30.0,,,,Série histórica BCB (compulsorios.xls),
1995-07-01,83.0,30.0,30.0,30.0,,,,Série histórica BCB (compulsorios.xls),
1995-08-01,83.0,20.0,15.0,15.0,,,,Série histórica BCB (compulsorios.xls),
1996-08-01,82.0,20.0,15.0,15.0,,,,Série histórica BCB (compulsorios.xls),
1996-09-01,81.0,20.0,15.0,15.0,,,,Série histórica BCB (compulsorios.xls),
1996-10-01,80.0,20.0,15.0,15.0,,,,Série histórica BCB (compulsorios.xls),
1996-11-01,79.0,20.0,15.0,15.0,,,,Série histórica BCB (compulsorios.xls),
1996-12-01,78.0,20.0,15.0,15.0,,,,Série histórica BCB (compulsorios.xls),
1997-01-01,75.0,20.0,15.0,15.0,,,,Série histórica BCB (compulsorios.xls),
1999-03-01,75.0,30.0,15.0,15.0,,,,Série histórica BCB (compulsorios.xls),
1999-05-01,75.0,25.0,15.0,15.0,,,,Série histórica BCB (compulsorios.xls),
1999-07-01,75.0,20.0,15.0,15.0,,,,Série histórica BCB (compulsorios.xls),
1999-09-01,75.0,10.0,15.0,15.0,,,,Série histórica BCB (compulsorios.xls),
1999-10-01,65.0,0.0,15.0,15.0,,,,Série histórica BCB (compulsorios.xls),
2000-03-01,55.00000000000001,0.0,15.0,15.0,,,,Série histórica BCB (compulsorios.xls),
2000-06-01,45.0,0.0,15.0,15.0,,,,Série histórica BCB (compulsorios.xls),
2001-09-01,45.0,10.0,15.0,15.0,,,,Série histórica BCB (compulsorios.xls),
2002-06-01,45.0,15.0,15.0,15.0,,,,Série histórica BCB (compulsorios.xls),
2002-07-01,45.0,15.0,20.0,20.0,,,,Série histórica BCB (compulsorios.xls),
2002-08-01,45.0,15.0,20.0,20.0,3.0,3.0,5.0,Série histórica BCB (compulsorios.xls),
