a_vista,a_prazo,poupanca_habitacional,poupanca_rural,adic_a_vista,adic_a_prazo,adic_poupanca,ano,desde,norma
45.0,15.0,20.0,20.0,8.0,8.0,10.0,2002,01/10/2002,Série histórica BCB (compulsorios.xls)
45.0,15.0,20.0,20.0,8.0,8.0,10.0,2003,01/08/2003,Série histórica BCB (compulsorios.xls)
45.0,15.0,20.0,20.0,8.0,8.0,10.0,2004,01/08/2003,Série histórica BCB (compulsorios.xls)
45.0,15.0,20.0,20.0,8.0,8.0,10.0,2005,01/08/2003,Série histórica BCB (compulsorios.xls)
45.0,15.0,20.0,20.0,8.0,8.0,10.0,2006,01/08/2003,Série histórica BCB (compulsorios.xls)
45.0,15.0,20.0,20.0,8.0,8.0,10.0,2007,01/08/2003,Série histórica BCB (compulsorios.xls)
42.0,15.0,20.0,15.0,5.0,5.0,10.0,2008,01/11/2008,Série histórica BCB (compulsorios.xls)
42.0,13.5,20.0,15.0,5.0,4.0,10.0,2009,01/09/2009,Série histórica BCB (compulsorios.xls)
43.0,20.0,20.0,16.0,12.0,12.0,10.0,2010,01/12/2010,Série histórica BCB (compulsorios.xls)
43.0,20.0,20.0,17.0,12.0,12.0,10.0,2011,01/06/2011,Série histórica BCB (compulsorios.xls)
44.0,20.0,20.0,17.0,0.0,11.0,10.0,2012,01/10/2012,Série histórica BCB (compulsorios.xls)
44.0,20.0,20.0,18.0,0.0,11.0,10.0,2013,01/07/2013,Série histórica BCB (compulsorios.xls)
45.0,20.0,20.0,13.0,0.0,11.0,10.0,2014,01/10/2014,Série histórica BCB (compulsorios.xls)
45.0,25.0,24.5,15.5,0.0,11.0,5.5,2015,01/08/2015,Série histórica BCB (compulsorios.xls)
45.0,25.0,24.5,15.5,0.0,11.0,5.5,2016,01/08/2015,Série histórica BCB (compulsorios.xls)
40.0,34.0,24.5,21.0,0.0,0.0,0.0,2017,01/12/2017,Série histórica BCB (compulsorios.xls)
21.0,33.0,20.0,20.0,0.0,0.0,0.0,2018,01/12/2018,Série histórica BCB (compulsorios.xls)
21.0,31.0,20.0,20.0,0.0,0.0,0.0,2019,01/07/2019,Série histórica BCB (compulsorios.xls)
21.0,17.0,20.0,20.0,0.0,0.0,0.0,2020,30/03/2020,"Circular BCB 3.993, de 23/03/2020"
21.0,20.0,20.0,20.0,0.0,0.0,0.0,2021,29/11/2021,Resolução BCB 78/2021 e Resolução BCB 145/2021
21.0,20.0,20.0,20.0,0.0,0.0,0.0,2022,29/11/2021,Resolução BCB 78/2021 e Resolução BCB 145/2021
21.0,20.0,20.0,20.0,0.0,0.0,0.0,2023,29/11/2021,Resolução BCB 78/2021 e Resolução BCB 145/2021
21.0,20.0,20.0,20.0,0.0,0.0,0.0,2024,29/11/2021,Resolução BCB 78/2021 e Resolução BCB 145/2021
21.0,20.0,20.0,20.0,0.0,0.0,0.0,2025,29/11/2021,Resolução BCB 78/2021 e Resolução BCB 145/2021
21.0,20.0,20.0,20.0,0.0,0.0,0.0,2026,29/11/2021,Resolução BCB 78/2021 e Resolução BCB 145/2021
