ano;mes;mes_nome;mes_ordem;produto;volume_importacao_barris;dispendio_importacao_usd_fob;volume_producao_barris;preco_importacao_usd_por_barril;peso_importacao;peso_producao;custo_producao_nacional_usd_por_barril;custo_medio_ponderado_usd_por_barril;unidade_custo
2010;JAN;Janeiro;1;GASOLINA A;0,0;0,0;11579418,60281346;;0,0;1,0;25,0;25,0;US$/barril
2010;FEV;Fevereiro;2;GASOLINA A;1178427,6916233157;101161412,0;10755317,1548919;85,8443947974843;0,09874751863556304;0,901252481364437;25,0;31,008233009134138;US$/barril
2010;MAR;Março;3;GASOLINA A;1189748,790152345;111634448,0;10881661,360877959;93,83026814064289;0,09855922177002652;0,9014407782299735;25,0;31,78385766216401;US$/barril
2010;ABR;Abril;4;GASOLINA A;773893,8822615634;68618678,0;10933716,39452086;88,66677922233272;0,06610178029211364;0,9338982197078864;25,0;29,208487452061146;US$/barril
2010;MAI;Maio;5;GASOLINA A;3,611130808625337;3724,0;10408671,86934047;1031,2559132737783;3,469347099350468e-07;0,99999965306529;25,0;25,000349105103393;US$/barril
2010;JUN;Junho;6;GASOLINA A;34968,93617946092;3279915,0;10688438,7373277;93,79510383637192;0,0032609910248823076;0,9967390089751177;25,0;25,224340216166254;US$/barril
2010;JUL;Julho;7;GASOLINA A;33,500443557951485;22590,0;11470516,21607208;674,3194298583596;2,920561297050703e-06;0,999997079438703;25,0;25,001896377196267;US$/barril
2010;AGO;Agosto;8;GASOLINA A;10,307828787061995;5650,0;11126552,39603004;548,1270708620685;9,264162762042508e-07;0,9999990735837238;25,0;25,00048463343297;US$/barril
2010;SET;Setembro;9;GASOLINA A;8,66332320754717;535,0;10773010,28349513;61,754593148957845;8,04168566890506e-07;0,9999991958314332;25,0;25,0000295568885;US$/barril
2010;OUT;Outubro;10;GASOLINA A;32,8816347574124;27470,0;11732496,38195271;835,4207509043488;2,802604111925151e-06;0,9999971973958881;25,0;25,002271288528874;US$/barril
2010;NOV;Novembro;11;GASOLINA A;0,0;0,0;11810662,25353013;;0,0;1,0;25,0;25,0;US$/barril
2010;DEZ;Dezembro;12;GASOLINA A;12,57962;3843,0;13109498,11836919;305,49412462379627;9,595796738568993e-07;0,9999990404203262;25,0;25,000269156460625;US$/barril
2011;JAN;Janeiro;1;GASOLINA A;5,51841820754717;1796,0;12619104,48983873;325,4555802863457;4,3730645060835174e-07;0,9999995626935494;25,0;25,000131391163382;US$/barril
2011;FEV;Fevereiro;2;GASOLINA A;25,15924;10623,0;11526189,26164356;422,23056022359975;2,182784310728741e-06;0,9999978172156893;25,0;25,000867068634598;US$/barril
2011;MAR;Março;3;GASOLINA A;0,0;0,0;12890605,5033775;;0,0;1,0;25,0;25,0;US$/barril
2011;ABR;Abril;4;GASOLINA A;1078457,11241;134353513,0;12139478,68266834;124,57937497371935;0,08159043356917807;0,9184095664308219;25,0;33,124724378653525;US$/barril
2011;MAI;Maio;5;GASOLINA A;1520567,85731;195963458,0;13846005,28210295;128,87518110942725;0,0989529574040143;0,9010470425959857;25,0;35,278756371655426;US$/barril
2011;JUN;Junho;6;GASOLINA A;0,0;0,0;11532678,85487859;;0,0;1,0;25,0;25,0;US$/barril
2011;JUL;Julho;7;GASOLINA A;0,0;0,0;12681332,8320005;;0,0;1,0;25,0;25,0;US$/barril
2011;AGO;Agosto;8;GASOLINA A;599835,698872911;74259759,0;13075191,8026703;123,8001658446368;0,04386358263668722;0,9561364173633128;25,0;29,33372923904463;US$/barril
2011;SET;Setembro;9;GASOLINA A;2093657,60565;253543814,0;12965902,90081461;121,1008969736885;0,13902514650087278;0,8609748534991272;25,0;38,36044128063233;US$/barril
2011;OUT;Outubro;10;GASOLINA A;3198676,58569;387667795,0;12411389,307503741;121,19630872790302;0,20491115204610882;0,7950888479538912;25,0;44,71169644401776;US$/barril
2011;NOV;Novembro;11;GASOLINA A;1819453,3387;214004866,0;12067879,30983282;117,62042007238644;0,13101532056209678;0,8689846794379033;25,0;37,134694026379776;US$/barril
