ano;produto;volume_importacao_barris;dispendio_importacao_usd_fob;volume_producao_barris;custo_medio_ponderado_media_simples;custo_medio_ponderado_anual
2010;GASOLINA A;3177140,8441978036;284758265,0;135269959,76922163;26,43585153809468;26,483091686176873
2010;GLP;19640403,1189125;1128138642,0;48140207,67538695;34,32584857726214;34,39986460081843
2010;QUEROSENE DE AVIAÇÃO;12094030,813585307;1071222346,0;29339145,81512;43,53316089048593;43,556906281901774
2010;ÓLEO DIESEL;56652295,05368287;5131079360,0;260582194,7227692;36,42548152770588;36,70986164296209
2011;GASOLINA A;13754428,22232372;1644286203,0;150628685,41460845;32,18602266350985;32,91094333639473
2011;GLP;21320633,938029833;1567981781,0;50061988,80613719;39,40105869652635;39,49884989878473
2011;QUEROSENE DE AVIAÇÃO;11338352,060244592;1419817473,0;33934638,24637;49,87753776971561;50,10014610914397
2011;ÓLEO DIESEL;58701468,52292945;7421941848,0;272904248,0330874;42,48844708818336;42,956280117146015
2012;GASOLINA A;23776729,657615203;3002217906,0;164986874,39706632;37,42315956388291;37,755635158683035
2012;GLP;15851923,791172916;1075075722,0;52333635,57788023;34,667043936570956;34,95485896869754
2012;QUEROSENE DE AVIAÇÃO;10461480,485804344;1340964158,0;34108186,68389;46,28559304182725;49,21887383060514
2012;ÓLEO DIESEL;50131071,78158485;6573719918,0;286211540,5993616;40,32072497807574;40,818522326972854
2013;GASOLINA A;18102336,428045217;2143884423,0;179972679,13223502;33,264138433940424;33,53881549631456
2013;GLP;20910032,68227875;1285308483,0;49979627,737322874;35,399535410821876;35,75696598670936
2013;QUEROSENE DE AVIAÇÃO;12338397,512920137;1620508637,0;34936064,05571;51,38219362596516;52,75385812215429
2013;ÓLEO DIESEL;64678395,21112665;8284785484,0;311592069,372138;42,36259316707922;42,72083177218476
2014;GASOLINA A;13692872,714310648;1582338631,0;181598677,67791802;31,285952920192333;31,3495671505078
2014;GLP;24297041,56205625;1507805814,0;47667854,24117616;36,92650114429578;37,511374676487094
2014;QUEROSENE DE AVIAÇÃO;9457291,529081302;1142602474,0;38236472,028340004;43,116775559641866;43,99976261428763
2014;ÓLEO DIESEL;70918293,76746956;8724821352,0;312446671,3015291;42,95263847786183;43,133801054465295
2015;GASOLINA A;15533164,22744798;1047669430,0;161825384,82231635;28,613545407913325;28,717555921867618
2015;GLP;20071858,162235416;596541599,0;46710701,190322906;26,393098783543262;26,418710900909566
2015;QUEROSENE DE AVIAÇÃO;8641897,9265397;648321034,0;35580568,30679;33,98505318504662;34,774976898749046
2015;ÓLEO DIESEL;43651908,269631855;3415147205,0;311078964,092807;31,499267224979288;31,551021293361973
2016;GASOLINA A;18405130,500786576;915078818,0;166769474,8395335;27,43866430518113;27,456873363624638
2016;GLP;26100002,004818335;641626437,0;46102588,79962404;24,900049240000303;24,84940134419956
2016;QUEROSENE DE AVIAÇÃO;8015012,700678223;444694921,0;36413458,657180004;30,287762930789757;30,4991674486192
2016;ÓLEO DIESEL;49804751,706662536;2896816213,0;285367463,28687954;29,96003928741476;29,92790674896862
2017;GASOLINA A;28231841,557225943;1731628846,0;165595662,06269827;30,226441636617352;30,29250383929467
2017;GLP;20710795,099660832;708179870,0;46828735,84419313;27,60731303784276;27,819237709346375
2017;QUEROSENE DE AVIAÇÃO;3621639,015610188;222697567,0;38799321,966;27,933476253459997;28,11535666688542
