ano;mes;mes_nome;mes_ordem;produto;volume_barris;unidade;escopo
2010;JAN;Janeiro;1;GASOLINA A;11579418,60281346;b;Brasil - refinarias
2010;FEV;Fevereiro;2;GASOLINA A;10755317,1548919;b;Brasil - refinarias
2010;MAR;Março;3;GASOLINA A;10881661,360877959;b;Brasil - refinarias
2010;ABR;Abril;4;GASOLINA A;10933716,39452086;b;Brasil - refinarias
2010;MAI;Maio;5;GASOLINA A;10408671,86934047;b;Brasil - refinarias
2010;JUN;Junho;6;GASOLINA A;10688438,7373277;b;Brasil - refinarias
2010;JUL;Julho;7;GASOLINA A;11470516,21607208;b;Brasil - refinarias
2010;AGO;Agosto;8;GASOLINA A;11126552,39603004;b;Brasil - refinarias
2010;SET;Setembro;9;GASOLINA A;10773010,28349513;b;Brasil - refinarias
2010;OUT;Outubro;10;GASOLINA A;11732496,38195271;b;Brasil - refinarias
2010;NOV;Novembro;11;GASOLINA A;11810662,25353013;b;Brasil - refinarias
2010;DEZ;Dezembro;12;GASOLINA A;13109498,11836919;b;Brasil - refinarias
2011;JAN;Janeiro;1;GASOLINA A;12619104,48983873;b;Brasil - refinarias
2011;FEV;Fevereiro;2;GASOLINA A;11526189,26164356;b;Brasil - refinarias
2011;MAR;Março;3;GASOLINA A;12890605,5033775;b;Brasil - refinarias
2011;ABR;Abril;4;GASOLINA A;12139478,68266834;b;Brasil - refinarias
2011;MAI;Maio;5;GASOLINA A;13846005,28210295;b;Brasil - refinarias
2011;JUN;Junho;6;GASOLINA A;11532678,85487859;b;Brasil - refinarias
2011;JUL;Julho;7;GASOLINA A;12681332,8320005;b;Brasil - refinarias
2011;AGO;Agosto;8;GASOLINA A;13075191,8026703;b;Brasil - refinarias
2011;SET;Setembro;9;GASOLINA A;12965902,90081461;b;Brasil - refinarias
2011;OUT;Outubro;10;GASOLINA A;12411389,307503741;b;Brasil - refinarias
2011;NOV;Novembro;11;GASOLINA A;12067879,30983282;b;Brasil - refinarias
2011;DEZ;Dezembro;12;GASOLINA A;12872927,18727682;b;Brasil - refinarias
2012;JAN;Janeiro;1;GASOLINA A;13774454,88172809;b;Brasil - refinarias
2012;FEV;Fevereiro;2;GASOLINA A;12958198,84590554;b;Brasil - refinarias
2012;MAR;Março;3;GASOLINA A;14012297,17211576;b;Brasil - refinarias
2012;ABR;Abril;4;GASOLINA A;13911239,75089688;b;Brasil - refinarias
2012;MAI;Maio;5;GASOLINA A;13907835,171091031;b;Brasil - refinarias
2012;JUN;Junho;6;GASOLINA A;13450337,42497525;b;Brasil - refinarias
2012;JUL;Julho;7;GASOLINA A;13775848,48348074;b;Brasil - refinarias
2012;AGO;Agosto;8;GASOLINA A;14281047,73979887;b;Brasil - refinarias
2012;SET;Setembro;9;GASOLINA A;13501662,362632591;b;Brasil - refinarias
2012;OUT;Outubro;10;GASOLINA A;13832474,4226876;b;Brasil - refinarias
2012;NOV;Novembro;11;GASOLINA A;13352332,76303987;b;Brasil - refinarias
2012;DEZ;Dezembro;12;GASOLINA A;14229145,3787141;b;Brasil - refinarias
2013;JAN;Janeiro;1;GASOLINA A;14498903,59282864;b;Brasil - refinarias
2013;FEV;Fevereiro;2;GASOLINA A;12465741,86407401;b;Brasil - refinarias
2013;MAR;Março;3;GASOLINA A;13951280,77570403;b;Brasil - refinarias
2013;ABR;Abril;4;GASOLINA A;14711129,22936368;b;Brasil - refinarias
2013;MAI;Maio;5;GASOLINA A;16020771,50354716;b;Brasil - refinarias
2013;JUN;Junho;6;GASOLINA A;15013427,00186659;b;Brasil - refinarias
2013;JUL;Julho;7;GASOLINA A;15971583,17660796;b;Brasil - refinarias
