ano;produto;volume_barris
2010;GASOLINA A;135269959,76922163
2010;GLP;48140207,67538695
2010;QUEROSENE DE AVIAÇÃO;29339145,81512
2010;ÓLEO DIESEL;260582194,7227692
2011;GASOLINA A;150628685,41460845
2011;GLP;50061988,80613719
2011;QUEROSENE DE AVIAÇÃO;33934638,24637
2011;ÓLEO DIESEL;272904248,0330874
2012;GASOLINA A;164986874,39706632
2012;GLP;52333635,57788023
2012;QUEROSENE DE AVIAÇÃO;34108186,68389
2012;ÓLEO DIESEL;286211540,5993616
2013;GASOLINA A;179972679,13223502
2013;GLP;49979627,737322874
2013;QUEROSENE DE AVIAÇÃO;34936064,05571
2013;ÓLEO DIESEL;311592069,372138
2014;GASOLINA A;181598677,67791802
2014;GLP;47667854,24117616
2014;QUEROSENE DE AVIAÇÃO;38236472,028340004
2014;ÓLEO DIESEL;312446671,3015291
2015;GASOLINA A;161825384,82231635
2015;GLP;46710701,190322906
2015;QUEROSENE DE AVIAÇÃO;35580568,30679
2015;ÓLEO DIESEL;311078964,092807
2016;GASOLINA A;166769474,8395335
2016;GLP;46102588,79962404
2016;QUEROSENE DE AVIAÇÃO;36413458,657180004
2016;ÓLEO DIESEL;285367463,28687954
2017;GASOLINA A;165595662,06269827
2017;GLP;46828735,84419313
2017;QUEROSENE DE AVIAÇÃO;38799321,966
2017;ÓLEO DIESEL;255528748,84998688
2018;GASOLINA A;149768990,9822952
2018;GLP;46768704,36464466
2018;QUEROSENE DE AVIAÇÃO;40105923,06673
2018;ÓLEO DIESEL;263904011,9223914
2019;GASOLINA A;150665705,7392937
2019;GLP;45758463,321439594
2019;QUEROSENE DE AVIAÇÃO;38158226,79194
2019;ÓLEO DIESEL;257872818,75112772
2020;GASOLINA A;139504112,6041899
2020;GLP;45904640,43784958
2020;QUEROSENE DE AVIAÇÃO;20562049,09990665
2020;ÓLEO DIESEL;265630365,80117851
2021;GASOLINA A;159779191,3612408
2021;GLP;45463718,30760657
2021;QUEROSENE DE AVIAÇÃO;25870653,35662719
2021;ÓLEO DIESEL;269537122,27377164
2022;GASOLINA A;165680949,65970555
2022;GLP;48353995,12477715
2022;QUEROSENE DE AVIAÇÃO;30532516,1837775
2022;ÓLEO DIESEL;286371472,7253397
2023;GASOLINA A;179438862,5738566
2023;GLP;51182819,18462217
2023;QUEROSENE DE AVIAÇÃO;34203913,27099053
2023;ÓLEO DIESEL;297859180,91053385
2024;GASOLINA A;188782036,76725373
2024;GLP;49644419,58579045
2024;QUEROSENE DE AVIAÇÃO;36867494,01384622
2024;ÓLEO DIESEL;307686542,9417434
2025;GASOLINA A;189574404,67077917
2025;GLP;46898638,00035785
2025;QUEROSENE DE AVIAÇÃO;36707142,39651209
2025;ÓLEO DIESEL;297820771,1919789
2026;GASOLINA A;102013292,69561659
2026;GLP;27834339,401259996
2026;QUEROSENE DE AVIAÇÃO;24196879,420633562
2026;ÓLEO DIESEL;182860228,53028744
